assembly_id,demand_qty,capacity_multiplier,material_cost,discounted_material_cost,effective_material_cost,labor_cost,total_cost
ASM0001,10,0.85,17772.5416,17591.4007,14952.6906,21423.173,36375.8636
ASM0002,20,0.95,81934.1913,81003.7576,76953.5698,62771.3922,139724.962
ASM0003,10,1.15,41972.0277,40984.4218,47132.0851,43545.8129,90677.898
ASM0004,5,1.05,5506.4362,5373.19,5641.8495,7812.6257,13454.4752
ASM0005,10,1.05,9037.8823,8651.759,9084.347,4954.2446,14038.5916
ASM0006,5,0.9,14979.2355,14726.0995,13253.4895,15952.9545,29206.444
ASM0007,15,0.9,54633.806,53222.4633,47900.217,49757.5732,97657.7902
ASM0008,25,1.0,39380.569,38925.3555,38925.3555,42407.6525,81333.008
ASM0009,25,0.8,54168.015,51856.1679,41484.9344,44802.4886,86287.423
ASM0010,10,1.0,12370.0303,12060.2245,12060.2245,7497.3775,19557.602
ASM0011,20,1.05,41105.1069,40622.9094,42654.0549,31145.2056,73799.2605
ASM0012,10,1.0,24374.5034,24048.7896,24048.7896,26649.1825,50697.9721
