assembly_id,component_id,demand_qty,gross_qty_required,net_qty_required,unit_price,contract_discount,discounted_unit_price
ASM0001,CMP00016,10,50.2656,50.2656,43.8932,0.0,43.8932
ASM0001,CMP00045,10,33.7602,33.7602,33.15,0.0,33.15
ASM0001,CMP00060,10,80.0,80.0,28.73,0.0,28.73
ASM0001,CMP00064,10,80.0,80.0,30.77,0.0,30.77
ASM0001,MAT00007,10,33.0,33.0,12.92,0.07,12.0156
ASM0001,MAT00022,10,34.884,34.884,5.61,0.0,5.61
ASM0001,MAT00047,10,41.4283,41.4283,37.04,0.0,37.04
ASM0001,MAT00055,10,21.42,21.42,160.75,0.0,160.75
ASM0001,MAT00058,10,26.677,26.677,4.58,0.0,4.58
ASM0001,MAT00062,10,80.0,80.0,8.63,0.0,8.63
ASM0001,MAT00066,10,80.0,80.0,21.25,0.05,20.1875
ASM0001,PRT00013,10,31.0702,5.0702,6.6,0.0,6.6
ASM0001,PRT00032,10,20.1055,20.1055,22.13,0.09,20.1383
ASM0001,PRT00043,10,14.3734,9.3734,15.22,0.12,13.3936
ASM0001,RAW00030,10,22.9786,22.9786,30.72,0.0,30.72
ASM0002,CMP00001,20,41.612,0.0,76.0,0.0,76.0
ASM0002,CMP00016,20,27.25,27.25,47.71,0.0,47.71
ASM0002,CMP00020,20,51.3212,0.0,26.7812,0.0,26.7812
ASM0002,CMP00034,20,48.614,0.0,58.71,0.0,58.71
ASM0002,CMP00045,20,97.3787,97.3787,30.498,0.0,30.498
ASM0002,CMP00056,20,58.4272,0.0,54.4824,0.0,54.4824
ASM0002,MAT00011,20,73.4,73.4,11.6104,0.0,11.6104
ASM0002,MAT00033,20,128.5688,124.5688,45.8252,0.0,45.8252
ASM0002,PRT00006,20,50.0448,33.0448,89.8196,0.06,84.4304
ASM0002,PRT00017,20,63.036,63.036,50.3056,0.06,47.2873
ASM0002,PRT00024,20,162.6146,162.6146,5.5384,0.0,5.5384
ASM0002,PRT00057,20,45.0048,0.0,156.9,0.05,149.055
ASM0002,PRT00061,20,120.0,120.0,40.08,0.0,40.08
ASM0002,PRT00065,20,120.0,120.0,97.33,0.0,97.33
ASM0002,RAW00026,20,67.798,67.798,25.852,0.0,25.852
ASM0002,RAW00048,20,65.076,56.076,258.5936,0.0,258.5936
ASM0002,RAW00052,20,92.7554,87.7554,9.3656,0.0,9.3656
ASM0002,RAW00059,20,120.0,120.0,48.7,0.0,48.7
ASM0002,RAW00063,20,120.0,120.0,24.46,0.04,23.4816
ASM0003,CMP00001,10,15.251,0.0,76.0,0.0,76.0
ASM0003,CMP00016,10,28.1775,28.1775,47.71,0.0,47.71
ASM0003,CMP00020,10,25.0127,0.0,29.11,0.0,29.11
ASM0003,CMP00023,10,34.917,0.0,29.01,0.07,26.9793
ASM0003,CMP00027,10,56.8226,56.8226,116.6468,0.0,116.6468
ASM0003,CMP00034,10,50.2687,0.0,54.0132,0.0,54.0132
ASM0003,CMP00045,10,47.4599,47.4599,33.15,0.0,33.15
ASM0003,CMP00056,10,28.4759,0.0,59.22,0.0,59.22
ASM0003,MAT00011,10,38.8575,38.8575,12.62,0.0,12.62
ASM0003,MAT00033,10,76.412,72.412,45.8252,0.0,45.8252
ASM0003,MAT00044,10,35.424,13.424,67.45,0.0,67.45
ASM0003,PRT00006,10,51.7482,34.7482,89.8196,0.06,84.4304
ASM0003,PRT00013,10,27.4316,1.4316,6.6,0.0,6.6
ASM0003,PRT00017,10,39.9,39.9,54.68,0.06,51.3992
ASM0003,PRT00024,10,41.1747,41.1747,6.02,0.0,6.02
ASM0003,PRT00043,10,79.0212,74.0212,14.0024,0.12,12.3221
ASM0003,PRT00054,10,19.11,0.0,132.17,0.08,121.5964
ASM0003,PRT00057,10,21.9342,0.0,156.9,0.05,149.055
ASM0003,RAW00026,10,70.1056,70.1056,25.852,0.0,25.852
ASM0003,RAW00030,10,60.1575,60.1575,28.2624,0.0,28.2624
ASM0003,RAW00052,10,95.9125,90.9125,9.3656,0.0,9.3656
ASM0004,CMP00016,5,40.7904,40.7904,47.71,0.0,47.71
ASM0004,CMP00023,5,11.9175,0.0,29.01,0.07,26.9793
ASM0004,CMP00045,5,14.103,14.103,33.15,0.0,33.15
ASM0004,CMP00049,5,19.15,19.15,24.97,0.0,24.97
ASM0004,MAT00047,5,6.6539,6.6539,37.04,0.0,37.04
ASM0004,PRT00002,5,7.56,0.0,82.12,0.07,76.3716
ASM0004,PRT00013,5,12.9792,0.0,6.6,0.0,6.6
ASM0004,PRT00017,5,11.55,11.55,54.68,0.06,51.3992
ASM0004,PRT00024,5,18.65,18.65,6.02,0.0,6.02
ASM0004,PRT00032,5,8.3988,8.3988,22.13,0.09,20.1383
