assembly_id,demand_quantity,unit_material_cost,unit_labor_cost,unit_overhead_cost,unit_total_cost,extended_material,extended_labor,extended_overhead,extended_total,margin_rate,margin_amount,selling_price
ASM0001,20,21943.36,75.0,37.5,22055.86,438867.2,1500.0,750.0,441117.2,0.15,66167.58,507284.78
ASM0002,25,11155.02,75.0,37.5,11267.52,278875.5,1875.0,937.5,281688.0,0.15,42253.2,323941.2
ASM0003,15,24485.68,75.0,37.5,24598.18,367285.2,1125.0,562.5,368972.7,0.15,55345.9,424318.6
ASM0004,25,7139.71,75.0,37.5,7252.21,178492.75,1875.0,937.5,181305.25,0.15,27195.79,208501.04
ASM0005,30,18459.05,75.0,37.5,18571.55,553771.5,2250.0,1125.0,557146.5,0.15,83571.97,640718.47
ASM0006,30,11545.08,75.0,37.5,11657.58,346352.4,2250.0,1125.0,349727.4,0.15,52459.11,402186.51
ASM0007,25,9394.13,75.0,37.5,9506.63,234853.25,1875.0,937.5,237665.75,0.15,35649.86,273315.61
ASM0008,20,7473.47,75.0,37.5,7585.97,149469.4,1500.0,750.0,151719.4,0.15,22757.91,174477.31
ASM0009,15,7918.75,75.0,37.5,8031.25,118781.25,1125.0,562.5,120468.75,0.15,18070.31,138539.06
ASM0010,20,12636.19,75.0,37.5,12748.69,252723.8,1500.0,750.0,254973.8,0.15,38246.07,293219.87
ASM0011,15,16491.38,75.0,37.5,16603.88,247370.7,1125.0,562.5,249058.2,0.15,37358.73,286416.93
ASM0012,5,7704.05,75.0,37.5,7816.55,38520.25,375.0,187.5,39082.75,0.15,5862.41,44945.16
