component_id,total_required_qty,num_parent_assemblies,deepest_level,category,unit_cost,extended_cost
CMP00002,40.09,1,1,STRUCTURAL,126.89,5087.02
CMP00005,366.89,5,2,STRUCTURAL,5.62,2061.92
CMP00015,9.0,1,1,ELECTRICAL,6.56,59.04
CMP00017,41.83,2,2,ELECTRICAL,12.0,501.96
CMP00024,500.62,5,2,HYDRAULIC,5.86,2933.63
CMP00028,369.82,2,3,HYDRAULIC,58.48,21627.07
CMP00031,169.43,1,1,HYDRAULIC,70.16,11887.21
CMP00033,153.28,3,3,AVIONICS,421.01,64532.41
CMP00036,374.8,3,1,AVIONICS,175.48,65769.9
CMP00037,319.65,4,3,AVIONICS,13.74,4391.99
CMP00048,125.44,2,2,INTERIOR,313.06,39270.25
CMP00051,647.47,4,2,INTERIOR,75.51,48890.46
CMP00052,416.13,4,2,INTERIOR,36.06,15005.65
CMP00055,369.6,5,2,INTERIOR,15.55,5747.28
CMP00057,242.66,1,1,INTERIOR,11.76,2853.68
CMP00060,453.75,3,2,FASTENER,45.66,20718.22
CMP00061,229.84,2,1,FASTENER,14.31,3289.01
CMP00065,5.76,1,1,FASTENER,4.09,23.56
MAT00008,88.26,2,2,STRUCTURAL,11.16,984.98
MAT00010,135.25,1,1,ELECTRICAL,47.27,6393.27
MAT00014,68.47,2,1,ELECTRICAL,132.93,9101.72
MAT00018,121.03,1,1,ELECTRICAL,12.34,1493.51
MAT00025,1214.57,5,3,HYDRAULIC,7.51,9121.42
MAT00039,42.7,2,1,AVIONICS,7.84,334.77
MAT00042,622.31,4,1,AVIONICS,74.85,46579.9
MAT00043,188.4,2,2,AVIONICS,14.97,2820.35
MAT00044,642.69,3,3,INTERIOR,92.1,59191.75
MAT00046,217.3,3,2,INTERIOR,25.91,5630.24
MAT00049,180.6,2,1,INTERIOR,1516.92,273955.75
MAT00050,437.07,6,2,INTERIOR,36.63,16009.87
MAT00053,801.91,6,2,INTERIOR,25.8,20689.28
MAT00058,60.28,1,1,FASTENER,85.52,5155.15
MAT00059,114.36,2,3,FASTENER,37.5,4288.5
MAT00062,449.85,6,2,FASTENER,32.77,14741.58
PRT00019,533.56,4,3,HYDRAULIC,1.65,880.37
PRT00020,813.6,8,2,HYDRAULIC,195.66,159188.98
PRT00038,380.53,3,2,AVIONICS,41.86,15928.99
PRT00045,116.57,4,3,INTERIOR,22.57,2630.98
PRT00066,336.0,2,1,FASTENER,119.51,40155.36
RAW00001,90.61,2,2,STRUCTURAL,2.91,263.68
RAW00007,1325.56,6,2,STRUCTURAL,71.06,94194.29
RAW00009,87.55,1,1,ELECTRICAL,90.18,7895.26
RAW00016,43.19,2,1,ELECTRICAL,9.75,421.1
RAW00022,488.11,4,3,HYDRAULIC,94.47,46111.75
RAW00040,12.25,1,1,AVIONICS,140.0,1715.0
RAW00041,58.27,1,1,AVIONICS,14.04,818.11
RAW00054,111.69,1,1,INTERIOR,18.33,2047.28
RAW00056,954.53,10,2,INTERIOR,94.83,90518.08
RAW00067,797.62,8,2,FASTENER,223.23,178052.71
