assembly_id,component_id,net_qty_required,available_substitute_qty,shortage_covered,shortage_severity
ASM0001,CMP00016,50.2656,222.22,YES,CRITICAL
ASM0001,CMP00045,33.7602,0.0,NO,STANDARD
ASM0001,CMP00060,80.0,79992.0,YES,CRITICAL
ASM0001,CMP00064,80.0,79992.0,YES,CRITICAL
ASM0001,MAT00007,33.0,0.0,NO,CRITICAL
ASM0001,MAT00022,34.884,0.0,NO,STANDARD
ASM0001,MAT00047,41.4283,0.0,NO,STANDARD
ASM0001,MAT00055,21.42,0.0,NO,STANDARD
ASM0001,MAT00058,26.677,0.0,NO,STANDARD
ASM0001,MAT00062,80.0,79992.0,YES,CRITICAL
ASM0001,MAT00066,80.0,79992.0,YES,CRITICAL
ASM0001,PRT00013,5.0702,0.0,NO,STANDARD
ASM0001,PRT00032,20.1055,0.0,NO,STANDARD
ASM0001,PRT00043,9.3734,0.0,NO,STANDARD
ASM0001,RAW00030,22.9786,0.0,NO,STANDARD
ASM0002,CMP00016,27.25,222.22,YES,STANDARD
ASM0002,CMP00045,97.3787,0.0,NO,CRITICAL
ASM0002,MAT00011,73.4,0.0,NO,CRITICAL
ASM0002,MAT00033,124.5688,0.0,NO,CRITICAL
ASM0002,PRT00006,33.0448,0.0,NO,STANDARD
ASM0002,PRT00017,63.036,0.0,NO,CRITICAL
ASM0002,PRT00024,162.6146,9.09,NO,CRITICAL
ASM0002,PRT00061,120.0,79992.0,YES,CRITICAL
ASM0002,PRT00065,120.0,79992.0,YES,CRITICAL
ASM0002,RAW00026,67.798,0.0,NO,CRITICAL
ASM0002,RAW00048,56.076,0.0,NO,CRITICAL
ASM0002,RAW00052,87.7554,0.0,NO,CRITICAL
ASM0002,RAW00059,120.0,79992.0,YES,CRITICAL
ASM0002,RAW00063,120.0,79992.0,YES,CRITICAL
ASM0003,CMP00016,28.1775,222.22,YES,STANDARD
ASM0003,CMP00027,56.8226,0.0,NO,CRITICAL
ASM0003,CMP00045,47.4599,0.0,NO,STANDARD
ASM0003,MAT00011,38.8575,0.0,NO,STANDARD
ASM0003,MAT00033,72.412,0.0,NO,CRITICAL
ASM0003,MAT00044,13.424,0.0,NO,STANDARD
ASM0003,PRT00006,34.7482,0.0,NO,STANDARD
ASM0003,PRT00013,1.4316,0.0,NO,STANDARD
ASM0003,PRT00017,39.9,0.0,NO,STANDARD
ASM0003,PRT00024,41.1747,9.09,NO,STANDARD
ASM0003,PRT00043,74.0212,0.0,NO,CRITICAL
ASM0003,RAW00026,70.1056,0.0,NO,CRITICAL
ASM0003,RAW00030,60.1575,0.0,NO,CRITICAL
ASM0003,RAW00052,90.9125,0.0,NO,CRITICAL
ASM0004,CMP00016,40.7904,222.22,YES,STANDARD
ASM0004,CMP00045,14.103,0.0,NO,STANDARD
ASM0004,CMP00049,19.15,0.0,NO,CRITICAL
