assembly_id,demand_quantity,unit_material_cost,unit_labor_cost,unit_overhead_cost,unit_total_cost,extended_material,extended_labor,extended_overhead,extended_total,margin_rate,margin_amount,selling_price
ASM0001,20,21943.34,75.0,37.5,22055.84,438866.8,1500.0,750.0,441116.8,0.15,66167.52,507284.32
ASM0002,25,11155.01,75.0,37.5,11267.51,278875.25,1875.0,937.5,281687.75,0.15,42253.16,323940.91
ASM0003,15,24485.7,75.0,37.5,24598.2,367285.5,1125.0,562.5,368973.0,0.15,55345.95,424318.95
ASM0004,25,7139.69,75.0,37.5,7252.19,178492.25,1875.0,937.5,181304.75,0.15,27195.71,208500.46
ASM0005,30,18459.03,75.0,37.5,18571.53,553770.9,2250.0,1125.0,557145.9,0.15,83571.88,640717.78
ASM0006,30,11545.13,75.0,37.5,11657.63,346353.9,2250.0,1125.0,349728.9,0.15,52459.33,402188.23
ASM0007,25,9394.17,75.0,37.5,9506.67,234854.25,1875.0,937.5,237666.75,0.15,35650.01,273316.76
ASM0008,20,7473.46,75.0,37.5,7585.96,149469.2,1500.0,750.0,151719.2,0.15,22757.88,174477.08
ASM0009,15,7918.75,75.0,37.5,8031.25,118781.25,1125.0,562.5,120468.75,0.15,18070.31,138539.06
ASM0010,20,12636.19,75.0,37.5,12748.69,252723.8,1500.0,750.0,254973.8,0.15,38246.07,293219.87
ASM0011,15,16491.38,75.0,37.5,16603.88,247370.7,1125.0,562.5,249058.2,0.15,37358.73,286416.93
ASM0012,5,7704.05,75.0,37.5,7816.55,38520.25,375.0,187.5,39082.75,0.15,5862.41,44945.16
