assembly_id,priority,due_date,total_lead_time_days,num_direct_children,critical_path_child,critical_child_lead_time,buffer_days,required_start_days,capacity_adjusted_days,required_start_date
ASM0001,CRITICAL,2024-07-15,112,6,SUB0004,102,14,126,128,2024-03-09
ASM0002,CRITICAL,2024-10-11,105,7,SUB0005,95,14,119,124,2024-06-09
ASM0003,STANDARD,2024-09-13,100,8,RAW00056,90,7,107,117,2024-05-19
ASM0004,LOW,2024-10-12,112,5,SUB0004,102,7,119,124,2024-06-10
ASM0005,CRITICAL,2024-07-02,112,10,SUB0004,102,14,126,128,2024-02-25
ASM0006,HIGH,2024-11-07,112,9,SUB0002,102,7,119,121,2024-07-09
ASM0007,CRITICAL,2024-08-27,112,8,SUB0002,102,14,126,125,2024-04-24
ASM0008,CRITICAL,2024-08-18,105,7,SUB0006,95,14,119,118,2024-04-22
ASM0009,STANDARD,2024-07-15,105,6,SUB0005,95,7,112,114,2024-03-23
ASM0010,STANDARD,2024-09-02,105,5,SUB0006,95,7,112,122,2024-05-03
ASM0011,CRITICAL,2024-08-20,105,6,SUB0001,95,14,119,118,2024-04-24
ASM0012,STANDARD,2024-07-18,100,4,RAW00067,90,7,107,109,2024-03-31
