component_id,total_required_qty,num_parent_assemblies,deepest_level,category,unit_cost,extended_cost
CMP00002,40.09,1,1,STRUCTURAL,126.89,5087.02
CMP00005,366.9,5,2,STRUCTURAL,5.62,2061.98
CMP00015,9.0,1,1,ELECTRICAL,6.56,59.04
CMP00017,41.83,2,2,ELECTRICAL,12.0,501.96
CMP00024,500.66,5,2,HYDRAULIC,5.86,2933.87
CMP00028,369.8,2,3,HYDRAULIC,58.48,21625.9
CMP00031,169.43,1,1,HYDRAULIC,70.16,11887.21
CMP00033,153.28,3,3,AVIONICS,421.01,64532.41
CMP00036,374.81,3,1,AVIONICS,175.48,65771.66
CMP00037,319.67,4,3,AVIONICS,13.74,4392.27
CMP00048,125.45,2,2,INTERIOR,313.06,39273.38
CMP00051,647.49,4,2,INTERIOR,75.51,48891.97
CMP00052,416.14,4,2,INTERIOR,36.06,15006.01
CMP00055,369.62,5,2,INTERIOR,15.55,5747.59
CMP00057,242.66,1,1,INTERIOR,11.76,2853.68
CMP00060,453.75,3,2,FASTENER,45.66,20718.22
CMP00061,229.84,2,1,FASTENER,14.31,3289.01
CMP00065,5.76,1,1,FASTENER,4.09,23.56
MAT00008,88.26,2,2,STRUCTURAL,11.16,984.98
MAT00010,135.25,1,1,ELECTRICAL,47.27,6393.27
MAT00014,68.47,2,1,ELECTRICAL,132.93,9101.72
MAT00018,121.03,1,1,ELECTRICAL,12.34,1493.51
MAT00025,1214.58,5,3,HYDRAULIC,7.51,9121.5
MAT00039,42.7,2,1,AVIONICS,7.84,334.77
MAT00042,622.32,4,1,AVIONICS,74.85,46580.65
MAT00043,188.4,2,2,AVIONICS,14.97,2820.35
MAT00044,642.68,3,3,INTERIOR,92.1,59190.83
MAT00046,217.31,3,2,INTERIOR,25.91,5630.5
MAT00049,180.6,2,1,INTERIOR,1516.92,273955.75
MAT00050,437.08,6,2,INTERIOR,36.63,16010.24
MAT00053,801.91,6,2,INTERIOR,25.8,20689.28
MAT00058,60.28,1,1,FASTENER,85.52,5155.15
MAT00059,114.37,2,3,FASTENER,37.5,4288.88
MAT00062,449.86,6,2,FASTENER,32.77,14741.91
PRT00019,533.55,4,3,HYDRAULIC,1.65,880.36
PRT00020,813.6,8,2,HYDRAULIC,195.66,159188.98
PRT00038,380.52,3,2,AVIONICS,41.86,15928.57
PRT00045,116.58,4,3,INTERIOR,22.57,2631.21
PRT00066,336.0,2,1,FASTENER,119.51,40155.36
RAW00001,90.61,2,2,STRUCTURAL,2.91,263.68
RAW00007,1325.59,6,2,STRUCTURAL,71.06,94196.43
RAW00009,87.55,1,1,ELECTRICAL,90.18,7895.26
RAW00016,43.19,2,1,ELECTRICAL,9.75,421.1
RAW00022,488.11,4,3,HYDRAULIC,94.47,46111.75
RAW00040,12.25,1,1,AVIONICS,140.0,1715.0
RAW00041,58.28,1,1,AVIONICS,14.04,818.25
RAW00054,111.69,1,1,INTERIOR,18.33,2047.28
RAW00056,954.57,10,2,INTERIOR,94.83,90521.87
RAW00067,797.63,8,2,FASTENER,223.23,178054.94
