po_number,supplier_id,num_line_items,total_qty,total_value,max_lead_time_days,meets_minimum,min_order_value
PO00002,SUP001,3,698,51386.9,30,YES,250
PO00008,SUP002,5,2180,435591.5,21,YES,100
PO00004,SUP003,3,960,33998.3,21,YES,250
PO00010,SUP004,4,1750,20978.65,21,YES,2500
PO00014,SUP005,1,1285,77614.0,21,YES,1000
PO00015,SUP006,2,50,594.75,30,NO,1000
PO00012,SUP007,1,175,4172.0,7,YES,500
PO00007,SUP008,3,1698,112613.61,21,YES,100
PO00001,SUP009,2,870,128088.5,7,YES,250
PO00013,SUP010,1,252,7018.2,21,YES,2500
PO00011,SUP011,1,80,3479.2,21,YES,250
PO00003,SUP012,2,563,2899.42,14,YES,2500
PO00006,SUP013,5,1195,79153.5,7,YES,250
PO00009,SUP014,3,1234,53894.78,21,YES,100
PO00005,SUP015,3,251,43998.18,7,YES,1000
