assembly_id,assembly_name,demand_quantity,priority,due_date,customer_id
ASM0001,Assembly_1,20,CRITICAL,2024-07-15,CUST003
ASM0002,Assembly_2,25,CRITICAL,2024-10-11,CUST002
ASM0003,Assembly_3,15,STANDARD,2024-09-13,CUST003
ASM0004,Assembly_4,25,LOW,2024-10-12,CUST003
ASM0005,Assembly_5,30,CRITICAL,2024-07-02,CUST004
ASM0006,Assembly_6,30,HIGH,2024-11-07,CUST004
ASM0007,Assembly_7,25,CRITICAL,2024-08-27,CUST005
ASM0008,Assembly_8,20,CRITICAL,2024-08-18,CUST003
ASM0009,Assembly_9,15,STANDARD,2024-07-15,CUST003
ASM0010,Assembly_10,20,STANDARD,2024-09-02,CUST001
ASM0011,Assembly_11,15,CRITICAL,2024-08-20,CUST005
ASM0012,Assembly_12,5,STANDARD,2024-07-18,CUST004
