parent_id,child_id,quantity_per,level,scrap_rate
ASM0001,MAT00022,3.42,1,0.02
ASM0001,MAT00047,2.5,1,0.02
ASM0001,MAT00058,2.59,1,0.03
ASM0001,MAT00055,2.04,1,0.05
ASM0001,MAT00007,3.3,1,0.0
ASM0002,PRT00024,3.83,1,0.02
ASM0002,PRT00017,3.06,1,0.03
ASM0002,MAT00033,2.68,1,0.02
ASM0002,RAW00048,3.19,1,0.02
ASM0002,CMP00001,2.06,1,0.01
ASM0002,MAT00011,3.67,1,0.0
ASM0003,PRT00017,3.8,1,0.05
ASM0003,PRT00054,1.82,1,0.05
ASM0003,CMP00001,1.51,1,0.01
ASM0003,CMP00023,3.39,1,0.03
ASM0004,CMP00023,2.27,1,0.05
ASM0004,CMP00049,3.83,1,0.0
ASM0004,PRT00024,3.73,1,0.0
ASM0004,PRT00002,1.44,1,0.05
ASM0004,CMP00016,3.77,1,0.05
ASM0004,PRT00017,2.2,1,0.05
ASM0005,RAW00026,1.05,1,0.01
ASM0005,MAT00018,1.24,1,0.0
ASM0005,PRT00002,1.53,1,0.02
ASM0005,PRT00039,2.25,1,0.01
ASM0005,CMP00012,1.7,1,0.0
ASM0006,MAT00022,2.86,1,0.02
ASM0006,MAT00047,2.67,1,0.05
ASM0006,MAT00055,1.64,1,0.02
ASM0006,PRT00006,2.69,1,0.01
ASM0006,MAT00040,3.88,1,0.03
ASM0006,PRT00024,2.63,1,0.02
ASM0007,PRT00032,3.37,1,0.05
ASM0007,MAT00003,3.91,1,0.0
ASM0007,CMP00023,3.38,1,0.01
ASM0007,MAT00025,3.82,1,0.03
ASM0007,PRT00046,2.73,1,0.03
ASM0007,RAW00048,3.43,1,0.0
ASM0008,PRT00010,2.55,1,0.03
ASM0008,MAT00003,2.0,1,0.05
ASM0008,PRT00013,3.24,1,0.02
ASM0008,MAT00022,3.02,1,0.0
ASM0009,MAT00033,2.3,1,0.05
ASM0009,PRT00032,2.41,1,0.0
ASM0009,PRT00021,1.58,1,0.05
ASM0009,MAT00036,3.45,1,0.05
ASM0010,RAW00004,3.79,1,0.03
ASM0010,CMP00031,2.6,1,0.02
ASM0010,PRT00010,3.79,1,0.01
ASM0010,RAW00048,1.93,1,0.01
ASM0011,PRT00028,1.83,1,0.05
ASM0011,PRT00057,2.15,1,0.02
ASM0011,CMP00045,2.24,1,0.02
ASM0011,CMP00020,3.85,1,0.0
ASM0011,RAW00048,2.82,1,0.03
ASM0011,CMP00009,3.17,1,0.03
ASM0012,CMP00053,3.4,1,0.05
ASM0012,MAT00047,1.94,1,0.01
ASM0012,PRT00017,1.07,1,0.02
SUB0001,RAW00026,3.11,2,0.0
SUB0001,CMP00016,1.25,2,0.0
SUB0001,CMP00034,2.23,2,0.0
SUB0002,PRT00013,1.4,2,0.0
SUB0002,CMP00027,2.9,2,0.0
SUB0002,RAW00030,3.01,2,0.02
SUB0002,MAT00044,1.79,2,0.01
SUB0003,CMP00016,3.85,2,0.0
SUB0003,MAT00047,1.22,2,0.0
SUB0003,PRT00043,1.09,2,0.01
SUB0003,RAW00030,1.76,2,0.0
SUB0004,CMP00045,3.62,2,0.0
SUB0004,MAT00036,2.24,2,0.0
SUB0004,RAW00037,1.85,2,0.02
SUB0004,PRT00057,3.62,2,0.0
SUB0004,CMP00023,1.44,2,0.01
SUB0005,MAT00036,1.45,2,0.01
SUB0005,MAT00058,1.91,2,0.0
SUB0005,PRT00002,1.16,2,0.02
SUB0006,MAT00044,2.9,2,0.02
SUB0006,CMP00027,1.42,2,0.0
SUB0006,MAT00033,2.32,2,0.02
SUB0006,RAW00048,2.45,2,0.0
SUB0006,MAT00029,2.71,2,0.02
SUB0007,PRT00013,2.95,2,0.01
SUB0007,RAW00008,2.85,2,0.02
SUB0007,PRT00050,1.86,2,0.01
SUB0007,MAT00003,1.26,2,0.01
SUB0007,MAT00033,3.56,2,0.0
SUB0008,CMP00020,1.95,2,0.01
SUB0008,CMP00045,3.7,2,0.01
SUB0008,PRT00057,1.71,2,0.01
SUB0008,CMP00056,2.22,2,0.01
SUB0008,PRT00024,3.21,2,0.01
MOD0001,PRT00006,1.16,3,0.01
MOD0001,MAT00033,1.73,3,0.0
MOD0001,RAW00052,2.15,3,0.01
MOD0002,PRT00043,2.42,3,0.0
