component_id,component_name,category,unit,unit_cost,default_supplier,lead_time_days,min_order_qty,is_critical
CMP00001,STRUCTURAL_1,STRUCTURAL,EA,76.0,SUP006,21,50,NO
PRT00002,STRUCTURAL_2,STRUCTURAL,EA,82.12,SUP008,7,50,NO
MAT00003,STRUCTURAL_3,STRUCTURAL,L,47.97,SUP006,21,50,NO
RAW00004,STRUCTURAL_4,STRUCTURAL,KG,30.52,SUP008,45,5,NO
CMP00005,STRUCTURAL_5,STRUCTURAL,L,10.7,SUP003,14,25,NO
PRT00006,STRUCTURAL_6,STRUCTURAL,M,97.63,SUP003,21,25,NO
MAT00007,STRUCTURAL_7,STRUCTURAL,L,12.92,SUP008,60,5,YES
RAW00008,STRUCTURAL_8,STRUCTURAL,L,26.94,SUP009,45,10,NO
CMP00009,STRUCTURAL_9,STRUCTURAL,L,31.13,SUP010,14,5,NO
PRT00010,STRUCTURAL_10,STRUCTURAL,SET,30.01,SUP011,45,25,NO
MAT00011,STRUCTURAL_11,STRUCTURAL,EA,12.62,SUP012,14,25,NO
CMP00012,ELECTRICAL_12,ELECTRICAL,L,167.69,SUP001,7,25,NO
PRT00013,ELECTRICAL_13,ELECTRICAL,M,6.6,SUP002,7,25,NO
MAT00014,ELECTRICAL_14,ELECTRICAL,L,120.29,SUP003,21,10,YES
RAW00015,ELECTRICAL_15,ELECTRICAL,L,72.12,SUP004,14,25,NO
CMP00016,ELECTRICAL_16,ELECTRICAL,SET,47.71,SUP005,45,5,NO
PRT00017,ELECTRICAL_17,ELECTRICAL,EA,54.68,SUP006,30,25,NO
MAT00018,ELECTRICAL_18,ELECTRICAL,L,18.3,SUP007,45,5,NO
RAW00019,ELECTRICAL_19,ELECTRICAL,L,24.28,SUP008,21,50,NO
CMP00020,ELECTRICAL_20,ELECTRICAL,EA,29.11,SUP009,7,25,NO
PRT00021,ELECTRICAL_21,ELECTRICAL,EA,513.79,SUP010,14,5,YES
MAT00022,ELECTRICAL_22,ELECTRICAL,M,5.61,SUP011,21,10,NO
CMP00023,HYDRAULIC_23,HYDRAULIC,SET,29.01,SUP012,14,10,NO
PRT00024,HYDRAULIC_24,HYDRAULIC,M,6.02,SUP001,7,25,NO
MAT00025,HYDRAULIC_25,HYDRAULIC,L,148.18,SUP002,21,10,NO
RAW00026,HYDRAULIC_26,HYDRAULIC,M,28.1,SUP003,21,5,NO
CMP00027,HYDRAULIC_27,HYDRAULIC,L,126.79,SUP004,30,10,NO
PRT00028,HYDRAULIC_28,HYDRAULIC,SET,69.17,SUP005,45,50,YES
MAT00029,HYDRAULIC_29,HYDRAULIC,KG,50.03,SUP006,30,5,NO
RAW00030,HYDRAULIC_30,HYDRAULIC,EA,30.72,SUP007,60,10,NO
CMP00031,HYDRAULIC_31,HYDRAULIC,EA,41.0,SUP008,21,25,NO
PRT00032,HYDRAULIC_32,HYDRAULIC,M,22.13,SUP009,45,1,NO
MAT00033,HYDRAULIC_33,HYDRAULIC,L,49.81,SUP010,30,5,NO
CMP00034,AVIONICS_34,AVIONICS,L,58.71,SUP011,7,5,NO
PRT00035,AVIONICS_35,AVIONICS,EA,2.6,SUP012,7,50,YES
MAT00036,AVIONICS_36,AVIONICS,KG,29.82,SUP001,7,5,NO
RAW00037,AVIONICS_37,AVIONICS,EA,10.75,SUP002,45,1,NO
CMP00038,AVIONICS_38,AVIONICS,M,57.07,SUP003,60,10,NO
PRT00039,AVIONICS_39,AVIONICS,M,43.85,SUP004,60,10,NO
MAT00040,AVIONICS_40,AVIONICS,KG,18.64,SUP005,60,50,NO
RAW00041,AVIONICS_41,AVIONICS,KG,2.84,SUP006,21,5,NO
CMP00042,AVIONICS_42,AVIONICS,M,3.61,SUP007,45,50,YES
PRT00043,AVIONICS_43,AVIONICS,M,15.22,SUP008,30,25,NO
MAT00044,AVIONICS_44,AVIONICS,KG,67.45,SUP009,60,25,NO
CMP00045,INTERIOR_45,INTERIOR,M,33.15,SUP010,21,5,NO
PRT00046,INTERIOR_46,INTERIOR,EA,12.95,SUP011,7,25,NO
MAT00047,INTERIOR_47,INTERIOR,M,37.04,SUP012,14,5,NO
RAW00048,INTERIOR_48,INTERIOR,EA,281.08,SUP001,45,1,NO
CMP00049,INTERIOR_49,INTERIOR,SET,24.97,SUP002,21,5,YES
PRT00050,INTERIOR_50,INTERIOR,EA,32.94,SUP003,60,25,NO
MAT00051,INTERIOR_51,INTERIOR,SET,47.85,SUP004,45,25,NO
RAW00052,INTERIOR_52,INTERIOR,KG,10.18,SUP005,60,50,NO
CMP00053,INTERIOR_53,INTERIOR,L,34.46,SUP006,21,1,NO
PRT00054,INTERIOR_54,INTERIOR,L,132.17,SUP007,30,10,NO
MAT00055,INTERIOR_55,INTERIOR,EA,160.75,SUP008,14,25,NO
CMP00056,FASTENER_56,FASTENER,L,59.22,SUP009,30,5,YES
PRT00057,FASTENER_57,FASTENER,L,156.9,SUP010,45,25,NO
MAT00058,FASTENER_58,FASTENER,SET,4.58,SUP011,45,25,NO
RAW00059,FASTENER_59,FASTENER,EA,48.7,SUP012,14,25,NO
CMP00060,FASTENER_60,FASTENER,KG,28.73,SUP001,45,50,NO
PRT00061,FASTENER_61,FASTENER,SET,40.08,SUP002,7,25,NO
MAT00062,FASTENER_62,FASTENER,L,8.63,SUP003,30,25,NO
RAW00063,FASTENER_63,FASTENER,EA,24.46,SUP004,45,5,YES
CMP00064,FASTENER_64,FASTENER,L,30.77,SUP005,14,1,NO
PRT00065,FASTENER_65,FASTENER,L,97.33,SUP006,45,50,NO
MAT00066,FASTENER_66,FASTENER,SET,21.25,SUP007,60,5,NO
