component_id,on_hand_qty,allocated_qty,on_order_qty,expected_receipt_date
CMP00001,200,88,50,2024-07-01
PRT00002,100,40,0,
MAT00003,10,1,100,2024-07-25
RAW00004,5,1,50,2024-07-18
CMP00005,0,0,50,2024-07-08
PRT00006,25,8,0,
MAT00007,0,0,0,
RAW00008,0,0,25,2024-07-12
CMP00009,0,0,100,2024-07-09
PRT00010,100,9,0,
MAT00011,0,0,25,2024-06-19
CMP00012,200,69,0,
PRT00013,50,24,25,2024-07-01
MAT00014,5,1,0,
RAW00015,200,93,0,
CMP00016,0,0,100,2024-07-10
PRT00017,0,0,0,
MAT00018,0,0,0,
RAW00019,100,14,25,2024-06-08
CMP00020,200,27,0,
PRT00021,500,5,0,
MAT00022,0,0,0,
CMP00023,200,89,25,2024-07-28
PRT00024,0,0,25,2024-07-01
MAT00025,10,4,50,2024-07-23
RAW00026,0,0,0,
CMP00027,0,0,100,2024-07-30
PRT00028,100,7,50,2024-07-05
MAT00029,100,13,25,2024-06-27
RAW00030,0,0,25,2024-07-20
CMP00031,50,12,25,2024-07-01
PRT00032,0,0,0,
MAT00033,5,1,0,
CMP00034,500,174,0,
PRT00035,0,0,0,
MAT00036,500,149,0,
RAW00037,0,0,0,
CMP00038,500,193,50,2024-06-12
PRT00039,0,0,25,2024-06-20
MAT00040,25,1,0,
RAW00041,200,58,50,2024-07-29
CMP00042,100,17,50,2024-06-24
PRT00043,5,0,50,2024-06-20
MAT00044,25,3,0,
CMP00045,0,0,100,2024-06-08
PRT00046,0,0,0,
MAT00047,0,0,0,
RAW00048,10,1,0,
CMP00049,0,0,0,
PRT00050,0,0,0,
MAT00051,10,3,0,
RAW00052,5,0,25,2024-07-07
CMP00053,0,0,25,2024-07-19
PRT00054,50,13,25,2024-06-18
MAT00055,0,0,0,
CMP00056,79992,0,0,
PRT00057,200,43,0,
MAT00058,0,0,0,
RAW00059,0,0,2,2024-07-15
CMP00060,0,0,2,2024-07-15
PRT00061,0,0,2,2024-07-15
MAT00062,0,0,2,2024-07-15
RAW00063,0,0,2,2024-07-15
CMP00064,0,0,2,2024-07-15
PRT00065,0,0,2,2024-07-15
MAT00066,0,0,2,2024-07-15
