component_id,supplier_id,min_qty,max_qty,unit_price
CMP00001,SUP006,1,49,76.0
CMP00001,SUP006,50,199,69.92
CMP00001,SUP006,200,999999,64.6
PRT00002,SUP008,1,49,82.12
PRT00002,SUP008,50,199,75.5504
PRT00002,SUP008,200,999999,69.802
MAT00003,SUP006,1,49,47.97
MAT00003,SUP006,50,199,44.1324
MAT00003,SUP006,200,999999,40.7745
RAW00004,SUP008,1,49,30.52
RAW00004,SUP008,50,199,28.0784
RAW00004,SUP008,200,999999,25.942
CMP00005,SUP003,1,49,10.7
CMP00005,SUP003,50,199,9.844
CMP00005,SUP003,200,999999,9.095
PRT00006,SUP003,1,49,97.63
PRT00006,SUP003,50,199,89.8196
PRT00006,SUP003,200,999999,82.9855
MAT00007,SUP008,1,49,12.92
MAT00007,SUP008,50,199,11.8864
MAT00007,SUP008,200,999999,10.982
RAW00008,SUP009,1,49,26.94
RAW00008,SUP009,50,199,24.7848
RAW00008,SUP009,200,999999,22.899
CMP00009,SUP010,1,49,31.13
CMP00009,SUP010,50,199,28.6396
CMP00009,SUP010,200,999999,26.4605
PRT00010,SUP011,1,49,30.01
PRT00010,SUP011,50,199,27.6092
PRT00010,SUP011,200,999999,25.5085
MAT00011,SUP012,1,49,12.62
MAT00011,SUP012,50,199,11.6104
MAT00011,SUP012,200,999999,10.727
CMP00012,SUP001,1,49,167.69
CMP00012,SUP001,50,199,154.2748
CMP00012,SUP001,200,999999,142.5365
PRT00013,SUP002,1,49,6.6
PRT00013,SUP002,50,199,6.072
PRT00013,SUP002,200,999999,5.61
MAT00014,SUP003,1,49,120.29
MAT00014,SUP003,50,199,110.6668
MAT00014,SUP003,200,999999,102.2465
RAW00015,SUP004,1,49,72.12
RAW00015,SUP004,50,199,66.3504
RAW00015,SUP004,200,999999,61.302
CMP00016,SUP005,1,49,47.71
CMP00016,SUP005,50,199,43.8932
CMP00016,SUP005,200,999999,40.5535
PRT00017,SUP006,1,49,54.68
PRT00017,SUP006,50,199,50.3056
PRT00017,SUP006,200,999999,46.478
MAT00018,SUP007,1,49,18.3
MAT00018,SUP007,50,199,16.836
MAT00018,SUP007,200,999999,15.555
RAW00019,SUP008,1,49,24.28
RAW00019,SUP008,50,199,22.3376
RAW00019,SUP008,200,999999,20.638
CMP00020,SUP009,1,49,29.11
CMP00020,SUP009,50,199,26.7812
CMP00020,SUP009,200,999999,24.7435
PRT00021,SUP010,1,49,513.79
PRT00021,SUP010,50,199,472.6868
PRT00021,SUP010,200,999999,436.7215
MAT00022,SUP011,1,49,5.61
MAT00022,SUP011,50,199,5.1612
MAT00022,SUP011,200,999999,4.7685
CMP00023,SUP012,1,49,29.01
CMP00023,SUP012,50,199,26.6892
CMP00023,SUP012,200,999999,24.6585
PRT00024,SUP001,1,49,6.02
PRT00024,SUP001,50,199,5.5384
PRT00024,SUP001,200,999999,5.117
MAT00025,SUP002,1,49,148.18
MAT00025,SUP002,50,199,136.3256
MAT00025,SUP002,200,999999,125.953
RAW00026,SUP003,1,49,28.1
RAW00026,SUP003,50,199,25.852
RAW00026,SUP003,200,999999,23.885
CMP00027,SUP004,1,49,126.79
CMP00027,SUP004,50,199,116.6468
CMP00027,SUP004,200,999999,107.7715
PRT00028,SUP005,1,49,69.17
PRT00028,SUP005,50,199,63.6364
PRT00028,SUP005,200,999999,58.7945
MAT00029,SUP006,1,49,50.03
MAT00029,SUP006,50,199,46.0276
MAT00029,SUP006,200,999999,42.5255
RAW00030,SUP007,1,49,30.72
RAW00030,SUP007,50,199,28.2624
RAW00030,SUP007,200,999999,26.112
CMP00031,SUP008,1,49,41.0
CMP00031,SUP008,50,199,37.72
CMP00031,SUP008,200,999999,34.85
PRT00032,SUP009,1,49,22.13
PRT00032,SUP009,50,199,20.3596
PRT00032,SUP009,200,999999,18.8105
MAT00033,SUP010,1,49,49.81
MAT00033,SUP010,50,199,45.8252
MAT00033,SUP010,200,999999,42.3385
CMP00034,SUP011,1,49,58.71
CMP00034,SUP011,50,199,54.0132
CMP00034,SUP011,200,999999,49.9035
PRT00035,SUP012,1,49,2.6
PRT00035,SUP012,50,199,2.392
PRT00035,SUP012,200,999999,2.21
MAT00036,SUP001,1,49,29.82
MAT00036,SUP001,50,199,27.4344
MAT00036,SUP001,200,999999,25.347
RAW00037,SUP002,1,49,10.75
RAW00037,SUP002,50,199,9.89
RAW00037,SUP002,200,999999,9.1375
CMP00038,SUP003,1,49,57.07
CMP00038,SUP003,50,199,52.5044
CMP00038,SUP003,200,999999,48.5095
PRT00039,SUP004,1,49,43.85
PRT00039,SUP004,50,199,40.342
PRT00039,SUP004,200,999999,37.2725
MAT00040,SUP005,1,49,18.64
MAT00040,SUP005,50,199,17.1488
MAT00040,SUP005,200,999999,15.844
RAW00041,SUP006,1,49,2.84
