supplier_id,supplier_name,country,base_lead_time,reliability_score,payment_terms,min_order_value
SUP001,Supplier_SUP001,UK,14,0.88,60,500
SUP002,Supplier_SUP002,CHINA,21,0.92,15,100
SUP003,Supplier_SUP003,FRANCE,7,0.97,15,1000
SUP004,Supplier_SUP004,FRANCE,30,0.92,45,1000
SUP005,Supplier_SUP005,FRANCE,21,0.86,45,100
SUP006,Supplier_SUP006,JAPAN,14,0.8,60,250
SUP007,Supplier_SUP007,GERMANY,30,0.92,60,100
SUP008,Supplier_SUP008,USA,7,0.92,15,100
SUP009,Supplier_SUP009,JAPAN,21,0.88,45,250
SUP010,Supplier_SUP010,USA,14,0.88,15,1000
SUP011,Supplier_SUP011,USA,30,0.88,60,2500
SUP012,Supplier_SUP012,UK,21,0.79,45,250
