campus,quarter,facility_count,active_facilities,total_kwh,total_energy_cost,total_demand_charges,total_solar_credits,total_curtailment_credits,total_bills,avg_power_factor,avg_fes,cost_efficiency_rate
CENTRAL,1,5,5,611191.5,79521.48,68892.76,1143.47,285.11,164890.13,0.9199,42.386,0.6
CENTRAL,2,5,5,668668.8,97752.9,82260.35,1357.24,384.08,200545.31,0.9324,34.557,0.4
EAST,1,5,5,466287.9,57717.46,54029.69,1519.97,494.61,120718.53,0.9023,38.365,0.2
EAST,2,5,5,503623.2,70032.56,62696.98,2005.14,0.0,143457.59,0.9093,34.682,0.4
NORTH,1,5,5,786743.3,98060.33,79483.49,1742.12,1159.24,194509.61,0.9237,18.575,0.2
NORTH,2,5,5,836384.7,117217.06,97404.95,2010.14,338.33,234397.08,0.9355,9.674,0.2
SOUTH,1,5,5,624842.7,80622.54,72037.33,1758.52,283.21,169954.34,0.904,42.087,0.4
SOUTH,2,5,5,671162.7,97878.19,84080.8,2265.88,179.11,203003.32,0.9086,35.716,0.2
WEST,1,5,5,569453.6,78020.52,67364.82,2419.53,0.0,158902.93,0.9293,47.483,0.6
WEST,2,5,5,644443.7,99199.67,80325.56,3041.65,418.46,196526.44,0.9409,23.373,0.2
