facility_id,event_date,baseline_kwh,actual_kwh,reduction_kwh,reduction_pct,target_met,credit_amount
F001,2024-01-18,1285.42,1155.8,129.62,0.1008,NO,0.0
F002,2024-01-18,1912.15,0.0,1912.15,1.0,YES,478.04
F003,2024-01-18,1402.74,1511.9,0.0,0.0,NO,0.0
F004,2024-01-18,2149.84,2414.0,0.0,0.0,NO,0.0
F005,2024-01-18,2643.12,2812.6,0.0,0.0,NO,0.0
F006,2024-01-25,1621.82,1527.2,94.62,0.0583,NO,0.0
F007,2024-01-25,1772.76,2255.1,0.0,0.0,NO,0.0
F008,2024-01-25,1756.85,1845.4,0.0,0.0,NO,0.0
F009,2024-01-25,974.66,866.9,107.76,0.1106,NO,0.0
F010,2024-01-25,1350.28,1365.5,0.0,0.0,NO,0.0
F011,2024-02-08,981.3,0.0,981.3,1.0,YES,215.89
F012,2024-02-08,1479.06,4169.6,0.0,0.0,NO,0.0
F013,2024-02-08,1192.7,0.0,1192.7,1.0,YES,262.39
F014,2024-02-08,1389.21,1814.5,0.0,0.0,NO,0.0
F015,2024-02-08,741.91,667.7,74.21,0.1,YES,16.33
F016,2024-02-15,2365.14,2136.7,228.44,0.0966,NO,0.0
F017,2024-02-15,1358.01,1335.7,22.31,0.0164,NO,0.0
F018,2024-02-15,2401.8,2492.8,0.0,0.0,NO,0.0
F019,2024-02-15,513.3,507.8,5.5,0.0107,NO,0.0
F020,2024-02-15,764.87,912.9,0.0,0.0,NO,0.0
F021,2024-02-22,2336.43,1832.1,504.33,0.2159,YES,121.04
F022,2024-02-22,2010.43,2691.1,0.0,0.0,NO,0.0
F023,2024-02-22,541.45,586.6,0.0,0.0,NO,0.0
F024,2024-02-22,1936.94,1642.8,294.14,0.1519,YES,70.59
F025,2024-02-22,1208.78,819.3,389.48,0.3222,YES,93.48
F001,2024-03-07,1325.62,1144.5,181.12,0.1366,NO,0.0
F002,2024-03-07,2128.76,0.0,2128.76,1.0,YES,681.2
F003,2024-03-07,1566.64,1401.7,164.94,0.1053,NO,0.0
F004,2024-03-07,2365.41,2936.3,0.0,0.0,NO,0.0
F005,2024-03-07,2740.14,2250.4,489.74,0.1787,NO,0.0
F006,2024-03-14,1982.07,1466.7,515.37,0.26,YES,134.0
F007,2024-03-14,1929.28,1355.4,573.88,0.2975,YES,149.21
F008,2024-03-14,2183.82,2562.9,0.0,0.0,NO,0.0
F009,2024-03-14,1052.96,950.9,102.06,0.0969,NO,0.0
F010,2024-03-14,1545.03,1478.7,66.33,0.0429,NO,0.0
F011,2024-04-04,956.58,1340.8,0.0,0.0,NO,0.0
F012,2024-04-04,1515.66,1223.8,291.86,0.1926,NO,0.0
F013,2024-04-04,1118.27,1221.8,0.0,0.0,NO,0.0
F014,2024-04-04,1546.72,1617.4,0.0,0.0,NO,0.0
F015,2024-04-04,737.66,619.4,118.26,0.1603,NO,0.0
F016,2024-04-18,2306.22,2358.2,0.0,0.0,NO,0.0
F017,2024-04-18,1483.35,1378.1,105.25,0.071,NO,0.0
F018,2024-04-18,3089.7,2310.7,779.0,0.2521,YES,155.8
F019,2024-04-18,579.9,486.8,93.1,0.1605,YES,18.62
F020,2024-04-18,720.75,1616.0,0.0,0.0,NO,0.0
F021,2024-04-25,2177.56,2780.0,0.0,0.0,NO,0.0
F022,2024-04-25,2210.72,2219.9,0.0,0.0,NO,0.0
F023,2024-04-25,541.59,454.6,86.99,0.1606,YES,23.49
F024,2024-04-25,2200.91,2276.7,0.0,0.0,NO,0.0
F025,2024-04-25,1254.52,1531.7,0.0,0.0,NO,0.0
F001,2024-05-09,1370.7,1346.3,24.4,0.0178,NO,0.0
F002,2024-05-09,2517.43,1627.1,890.33,0.3537,YES,338.33
F003,2024-05-09,1648.6,3654.4,0.0,0.0,NO,0.0
F004,2024-05-09,2546.37,2054.2,492.17,0.1933,NO,0.0
F005,2024-05-09,2959.83,2918.5,41.33,0.014,NO,0.0
F006,2024-05-16,1813.46,1892.9,0.0,0.0,NO,0.0
F007,2024-05-16,2074.72,1648.5,426.22,0.2054,YES,123.6
F008,2024-05-16,2042.12,2567.0,0.0,0.0,NO,0.0
F009,2024-05-16,964.4,773.0,191.4,0.1985,YES,55.51
F010,2024-05-16,1512.08,1903.8,0.0,0.0,NO,0.0
F011,2024-05-30,1129.18,1064.7,64.48,0.0571,NO,0.0
F012,2024-05-30,1894.07,2065.0,0.0,0.0,NO,0.0
F013,2024-05-30,1170.04,1299.1,0.0,0.0,NO,0.0
F014,2024-05-30,1452.85,2020.9,0.0,0.0,NO,0.0
F015,2024-05-30,782.32,898.5,0.0,0.0,NO,0.0
F016,2024-06-06,2481.97,2843.1,0.0,0.0,NO,0.0
F017,2024-06-06,1370.48,1604.3,0.0,0.0,NO,0.0
F018,2024-06-06,3074.01,2286.8,787.21,0.2561,YES,244.04
F019,2024-06-06,621.91,604.7,17.21,0.0277,NO,0.0
F020,2024-06-06,930.11,999.6,0.0,0.0,NO,0.0
F021,2024-06-20,2526.05,1798.9,727.15,0.2879,YES,181.79
F022,2024-06-20,2237.72,2198.4,39.32,0.0176,NO,0.0
F023,2024-06-20,574.74,769.6,0.0,0.0,NO,0.0
F024,2024-06-20,2339.0,1892.6,446.4,0.1909,YES,111.6
F025,2024-06-20,1284.81,1016.0,268.81,0.2092,YES,67.2
