facility_id,campus,utility_zone,demand_class,months_active,total_kwh,avg_monthly_bill,min_monthly_bill,max_monthly_bill,final_billed_demand,total_demand_charges,total_solar_credits,total_pf_adjustments,worst_cost_grade,final_fes,cost_category
F001,NORTH,ZA,3,6,213445.1,11817.04,10390.57,13501.77,444.5,33257.69,0.0,-287.67,OVER_DEMAND,0.781,HIGH_COST
F002,NORTH,ZA,2,6,332232.0,15699.97,14212.97,18062.75,561.5,41028.87,1218.56,958.57,OVER_DEMAND,0.781,HIGH_COST
F003,NORTH,ZB,2,6,262359.0,13538.67,11759.99,16740.74,474.4,38596.67,1270.01,-161.84,OVER_DEMAND,0.781,HIGH_COST
F004,NORTH,ZC,1,6,378305.8,14376.94,12286.55,17151.06,471.0,32753.59,0.0,692.95,OVER_DEMAND,0.781,HIGH_COST
F005,NORTH,ZA,2,6,436786.1,16051.83,13479.7,20435.76,427.6,31251.62,1263.69,-361.51,OVER_DEMAND,45.248,HIGH_COST
F006,SOUTH,ZB,3,6,290632.3,16414.19,14523.68,19084.89,567.2,45790.81,1232.47,0.0,OVER_DEMAND,0.781,HIGH_COST
F007,SOUTH,ZC,1,6,296273.7,10613.28,9389.52,12451.5,250.2,21020.54,0.0,505.41,OVER_DEMAND,83.544,ELEVATED
F008,SOUTH,ZB,3,6,325026.2,14258.08,12126.85,16633.41,354.0,29297.19,0.0,0.0,STANDARD,75.874,ELEVATED
F009,SOUTH,ZD,1,6,147911.5,10405.0,9204.74,12018.29,451.6,38271.21,1536.07,0.0,OVER_DEMAND,0.781,HIGH_COST
F010,SOUTH,ZB,3,6,236161.7,10469.07,8260.17,12347.88,261.6,21738.38,1255.86,0.0,OVER_DEMAND,17.598,HIGH_COST
F011,EAST,ZC,1,6,164383.7,8533.18,7167.18,10257.32,417.2,29151.46,1158.63,0.0,OVER_DEMAND,0.781,HIGH_COST
F012,EAST,ZC,2,6,262974.8,13393.06,12121.06,15776.51,579.6,42534.75,1196.52,0.0,OVER_DEMAND,0.781,HIGH_COST
F013,EAST,ZD,2,6,177627.0,7469.75,6012.65,8585.25,151.7,14283.91,0.0,0.0,STANDARD,74.847,ELEVATED
F014,EAST,ZA,2,6,241484.6,9373.91,8282.17,10991.06,258.5,18816.15,0.0,709.64,OVER_DEMAND,14.209,HIGH_COST
F015,EAST,ZC,4,6,123441.0,5259.44,4589.49,6383.46,169.2,11940.4,1169.96,15.37,LOW_EFFICIENCY,82.794,ELEVATED
F016,WEST,ZD,1,6,359043.7,16429.84,13855.35,19212.35,446.1,39274.86,0.0,-161.33,OVER_DEMAND,0.781,HIGH_COST
F017,WEST,ZA,1,6,207964.7,10082.41,8733.94,12072.18,404.0,29859.39,1181.84,-353.87,OVER_DEMAND,18.022,HIGH_COST
F018,WEST,ZD,4,6,434757.9,21844.28,18758.11,25644.62,542.4,45898.55,1447.4,-256.94,OVER_DEMAND,17.85,HIGH_COST
F019,WEST,ZD,2,6,88875.9,4888.25,4320.83,5738.43,175.7,14979.3,1442.86,0.0,OVER_DEMAND,3.78,HIGH_COST
F020,WEST,ZB,1,6,123255.1,5993.46,4968.96,7418.29,218.3,17678.28,1389.08,0.0,STANDARD,76.432,ELEVATED
F021,CENTRAL,ZA,3,6,352029.0,14695.42,13114.19,17895.18,413.3,29781.13,1228.49,-28.51,OVER_DEMAND,17.661,HIGH_COST
F022,CENTRAL,ZB,1,6,337462.6,16133.83,14174.46,19381.93,513.3,43707.77,1272.22,0.0,OVER_DEMAND,0.781,HIGH_COST
F023,CENTRAL,ZC,1,6,84265.4,3355.1,2977.19,4061.85,119.0,8267.48,0.0,0.0,STANDARD,77.25,ELEVATED
F024,CENTRAL,ZD,3,6,318160.2,17968.12,15182.68,20640.53,535.6,45599.49,0.0,0.0,OVER_DEMAND,0.781,HIGH_COST
F025,CENTRAL,ZA,1,6,187943.1,8753.44,7575.48,10218.34,322.3,23797.24,0.0,0.0,STANDARD,76.314,HIGH_COST
