facility_id,month,total_kwh,valid_reading_days,peak_kwh,shoulder_kwh,offpeak_kwh,energy_cost,month_peak_demand,ratchet_demand,billed_demand,demand_charge,power_factor,pf_adjustment,solar_credit,equipment_surcharge,overhead_cost,total_bill,cost_grade,consecutive_penalty_months,facility_efficiency_score
F001,2024-01,32603.8,25,9797.405,10953.695,11852.7,4106.25,393.2,393.2,393.2,4915.0,0.9521,-7.86,0.0,171.44,1205.74,10390.57,OVER_DEMAND,0,25.0
F001,2024-02,38909.0,25,11074.385,12872.375,14962.24,4824.88,407.3,407.3,407.3,5091.25,0.9708,-85.53,0.0,206.26,1334.69,11371.55,OVER_DEMAND,1,12.5
F001,2024-03,37900.9,30,11625.375,12855.33,13420.195,4804.38,417.5,417.5,417.5,5218.75,0.9655,-66.8,0.0,210.19,1346.91,11513.43,OVER_DEMAND,2,6.25
F001,2024-04,34896.2,26,10919.29,11890.075,12086.835,4449.13,424.3,424.3,424.3,5303.75,0.9563,-25.46,0.0,199.1,1303.82,11230.34,OVER_DEMAND,3,3.125
F001,2024-05,36247.7,28,12605.068,10575.477,13067.155,5372.93,441.3,441.3,441.3,6341.48,0.9547,-25.37,0.0,245.81,1566.92,13501.77,OVER_DEMAND,4,1.562
F001,2024-06,32887.5,20,11320.908,9581.137,11985.455,4859.88,444.5,444.5,444.5,6387.46,0.9647,-76.65,0.0,228.41,1495.48,12894.58,OVER_DEMAND,5,0.781
F002,2024-01,53928.8,26,15836.66,17935.01,20157.13,6743.93,487.6,487.6,487.6,6095.0,0.8699,274.27,204.99,330.45,1027.11,14265.77,OVER_DEMAND,0,25.0
F002,2024-02,52906.0,25,15272.505,17563.89,20069.605,6586.32,505.4,505.4,505.4,6317.5,0.8879,113.71,167.83,330.96,1032.31,14212.97,OVER_DEMAND,1,12.5
F002,2024-03,52733.7,27,16100.655,17867.76,18765.285,6675.77,521.6,521.6,521.6,6520.0,0.8736,254.28,191.28,343.8,1055.66,14658.23,OVER_DEMAND,2,6.25
F002,2024-04,59166.6,28,17810.64,19887.66,21468.3,7455.44,516.6,516.6,516.6,6457.5,0.9011,0.0,218.88,393.27,1113.04,15200.37,OVER_DEMAND,3,3.125
