utility_zone,date,day_type,season,peak_frac,shoulder_frac,offpeak_frac
ZA,2024-01-01,HOLIDAY,WINTER,0.1,0.25,0.65
ZA,2024-01-02,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-03,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-04,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-05,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-06,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-01-07,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-01-08,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-09,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-10,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-11,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-12,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-13,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-01-14,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-01-15,HOLIDAY,WINTER,0.1,0.25,0.65
ZA,2024-01-16,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-17,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-18,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-19,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-20,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-01-21,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-01-22,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-23,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-24,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-25,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-26,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-27,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-01-28,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-01-29,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-30,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-01-31,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-01,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-02,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-03,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-02-04,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-02-05,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-06,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-07,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-08,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-09,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-10,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-02-11,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-02-12,HOLIDAY,WINTER,0.1,0.25,0.65
ZA,2024-02-13,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-14,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-15,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-16,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-17,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-02-18,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-02-19,HOLIDAY,WINTER,0.1,0.25,0.65
ZA,2024-02-20,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-21,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-22,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-23,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-24,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-02-25,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-02-26,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-27,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-28,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-02-29,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-03-01,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-03-02,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-03-03,WEEKEND,WINTER,0.15,0.3,0.55
ZA,2024-03-04,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-03-05,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-03-06,WEEKDAY,WINTER,0.35,0.35,0.3
ZA,2024-03-07,WEEKDAY,WINTER,0.35,0.35,0.3
