facility_id,equipment_id,install_date,rated_efficiency,degradation_rate_monthly
F001,EQ0001,2021-06-15,0.98,0.0098
F001,EQ0002,2021-01-16,0.88,0.0113
F001,EQ0003,2021-04-16,0.97,0.0029
F002,EQ0004,2020-07-20,0.96,0.0095
F002,EQ0005,2021-11-12,0.88,0.0048
F002,EQ0006,2020-02-21,0.84,0.01
F002,EQ0007,2023-10-03,0.82,0.0062
F003,EQ0008,2020-03-22,0.87,0.0021
F003,EQ0009,2022-06-10,0.93,0.0099
F004,EQ0010,2023-06-05,0.97,0.0085
F004,EQ0011,2021-07-15,0.96,0.0082
F004,EQ0012,2021-01-16,0.84,0.0057
F004,EQ0013,2021-11-12,0.93,0.0079
F005,EQ0014,2021-08-14,0.91,0.0058
F005,EQ0015,2022-09-08,0.96,0.0092
F005,EQ0016,2022-09-08,0.9,0.0072
F006,EQ0017,2021-09-13,0.82,0.0031
F006,EQ0018,2021-03-17,0.92,0.0051
F006,EQ0019,2021-03-17,0.93,0.0034
F006,EQ0020,2020-08-19,0.89,0.0096
F007,EQ0021,2021-03-17,0.92,0.0089
F007,EQ0022,2021-07-15,0.97,0.0101
F008,EQ0023,2023-05-06,0.89,0.0042
F008,EQ0024,2022-03-12,0.96,0.0074
F009,EQ0025,2021-07-15,0.88,0.0111
F009,EQ0026,2023-10-03,0.86,0.0063
F009,EQ0027,2022-10-08,0.96,0.0021
F010,EQ0028,2023-02-05,0.9,0.0089
F010,EQ0029,2020-05-21,0.87,0.0114
F010,EQ0030,2021-03-17,0.9,0.009
F010,EQ0031,2022-11-07,0.86,0.007
F011,EQ0032,2020-10-18,0.87,0.0024
F011,EQ0033,2023-09-03,0.9,0.0025
F012,EQ0034,2021-03-17,0.97,0.0044
F012,EQ0035,2023-09-03,0.9,0.0065
F013,EQ0036,2021-03-17,0.91,0.0028
F013,EQ0037,2022-06-10,0.94,0.0057
F013,EQ0038,2021-01-16,0.92,0.0074
F014,EQ0039,2023-02-05,0.87,0.0039
F014,EQ0040,2021-06-15,0.96,0.0053
F015,EQ0041,2021-09-13,0.9,0.0043
F015,EQ0042,2021-03-17,0.84,0.0114
F015,EQ0043,2020-07-20,0.88,0.0114
F015,EQ0044,2023-10-03,0.93,0.0094
F016,EQ0045,2021-12-12,0.91,0.009
F016,EQ0046,2023-04-06,0.93,0.0102
F016,EQ0047,2023-09-03,0.98,0.0117
F017,EQ0048,2020-10-18,0.96,0.0039
F017,EQ0049,2020-06-20,0.88,0.0093
F018,EQ0050,2022-03-12,0.96,0.0098
F018,EQ0051,2021-11-12,0.96,0.0114
F018,EQ0052,2020-11-17,0.96,0.0081
F018,EQ0053,2020-12-17,0.88,0.0114
F019,EQ0054,2021-06-15,0.87,0.0051
F019,EQ0055,2023-09-03,0.93,0.0085
F020,EQ0056,2020-11-17,0.93,0.0044
F020,EQ0057,2022-02-10,0.85,0.0057
F021,EQ0058,2023-08-04,0.93,0.0077
F021,EQ0059,2022-11-07,0.9,0.0084
F021,EQ0060,2022-01-11,0.86,0.0117
F021,EQ0061,2020-02-21,0.9,0.0111
F022,EQ0062,2021-01-16,0.88,0.0085
F022,EQ0063,2021-02-15,0.85,0.0092
F022,EQ0064,2022-04-11,0.91,0.0097
F022,EQ0065,2022-06-10,0.98,0.0067
F023,EQ0066,2023-05-06,0.88,0.0022
F023,EQ0067,2021-11-12,0.87,0.0075
F023,EQ0068,2021-04-16,0.97,0.0105
F024,EQ0069,2022-02-10,0.85,0.0047
F024,EQ0070,2023-08-04,0.85,0.0076
F024,EQ0071,2021-04-16,0.96,0.0113
F024,EQ0072,2021-11-12,0.85,0.0087
F025,EQ0073,2023-09-03,0.86,0.005
F025,EQ0074,2021-09-13,0.94,0.009
F025,EQ0075,2020-04-21,0.93,0.0075
F025,EQ0076,2020-05-21,0.95,0.0101
