facility_id,reading_date,kwh_consumed,kvar_reactive,peak_demand_kw,solar_kwh
F001,2024-01-02,1218.3,420.3,257.4,0.0
F001,2024-01-03,999.0,424.0,245.4,0.0
F001,2024-01-04,1709.5,338.3,318.9,0.0
F001,2024-01-05,993.5,601.3,241.3,0.0
F001,2024-01-06,694.9,200.5,170.3,0.0
F001,2024-01-07,750.2,330.8,252.4,0.0
F001,2024-01-08,,517.1,,0.0
F001,2024-01-11,1492.3,245.8,312.3,0.0
F001,2024-01-12,1277.0,,300.3,0.0
F001,2024-01-13,929.7,362.5,205.9,0.0
F001,2024-01-14,938.2,290.1,156.9,0.0
F001,2024-01-15,1444.1,429.9,309.7,0.0
F001,2024-01-16,1653.2,,268.2,0.0
F001,2024-01-17,1475.8,,248.5,0.0
F001,2024-01-18,1155.8,492.0,256.0,0.0
F001,2024-01-19,1572.0,278.5,281.9,0.0
F001,2024-01-20,819.1,341.1,192.5,0.0
F001,2024-01-21,827.6,335.2,231.4,0.0
F001,2024-01-22,1590.3,,287.9,0.0
F001,2024-01-23,1003.7,596.1,287.8,0.0
F001,2024-01-24,1288.7,340.7,283.6,0.0
F001,2024-01-25,,408.8,251.7,0.0
F001,2024-01-26,1639.2,253.7,292.8,0.0
F001,2024-01-27,657.5,320.9,,0.0
F001,2024-01-28,647.3,397.3,162.9,0.0
F001,2024-01-29,1686.7,515.3,393.2,0.0
F001,2024-01-30,1376.4,578.2,304.4,0.0
F001,2024-02-01,1005.1,253.9,263.7,0.0
F001,2024-02-02,1749.5,323.0,305.5,0.0
F001,2024-02-03,629.7,145.1,261.6,0.0
F001,2024-02-04,662.6,392.6,217.5,0.0
F001,2024-02-05,1332.3,,346.6,0.0
F001,2024-02-06,1739.9,392.9,389.4,0.0
F001,2024-02-07,1339.9,445.5,,0.0
F001,2024-02-08,1532.6,332.8,331.7,0.0
F001,2024-02-09,1707.4,596.0,378.4,0.0
F001,2024-02-10,,145.7,,0.0
F001,2024-02-11,1150.6,292.4,174.8,0.0
F001,2024-02-12,1647.8,,320.7,0.0
F001,2024-02-13,1626.9,615.3,407.3,0.0
F001,2024-02-14,1657.1,390.8,284.7,0.0
