utility_zone,season,period_type,rate_per_kwh,demand_charge_per_kw
ZA,WINTER,PEAK,0.185,12.5
ZA,WINTER,SHOULDER,0.125,8.0
ZA,WINTER,OFF_PEAK,0.078,5.0
ZA,SUMMER,PEAK,0.2127,14.37
ZA,SUMMER,SHOULDER,0.1437,9.2
ZA,SUMMER,OFF_PEAK,0.0897,5.75
ZB,WINTER,PEAK,0.198,13.8
ZB,WINTER,SHOULDER,0.132,8.5
ZB,WINTER,OFF_PEAK,0.082,5.2
ZB,SUMMER,PEAK,0.2277,15.87
ZB,SUMMER,SHOULDER,0.1518,9.77
ZB,SUMMER,OFF_PEAK,0.0943,5.98
ZC,WINTER,PEAK,0.172,11.9
ZC,WINTER,SHOULDER,0.118,7.6
ZC,WINTER,OFF_PEAK,0.071,4.8
ZC,SUMMER,PEAK,0.1978,13.68
ZC,SUMMER,SHOULDER,0.1357,8.74
ZC,SUMMER,OFF_PEAK,0.0816,5.52
ZD,WINTER,PEAK,0.21,14.5
ZD,WINTER,SHOULDER,0.14,9.0
ZD,WINTER,OFF_PEAK,0.088,5.5
ZD,SUMMER,PEAK,0.2415,16.67
ZD,SUMMER,SHOULDER,0.161,10.35
ZD,SUMMER,OFF_PEAK,0.1012,6.32
