incident_id,pool_id,region,severity,duration_minutes,capacity_impact_pct,affected_jobs,affected_attempts,failed_attempts,sla_breaches,penalties_incurred,affected_tenants
INC01,P01,ALPHA,S2,390.0,40,1,1,1,0,0.0,1
INC02,P03,ALPHA,S3,480.0,25,4,6,5,1,0.29,2
INC03,P05,BETA,S1,480.0,75,1,2,1,0,0.0,1
INC04,P07,GAMMA,S2,600.0,50,4,4,1,0,0.0,3
INC05,P02,ALPHA,S3,480.0,30,0,0,0,0,0.0,0
INC06,P09,GAMMA,S2,720.0,45,2,3,3,0,0.0,2
INC07,P04,BETA,S1,840.0,80,4,5,2,0,0.0,3
INC08,P11,DELTA,S3,720.0,20,2,2,2,0,0.0,2
INC09,P06,BETA,S2,720.0,55,1,2,2,0,0.0,1
INC10,P08,GAMMA,S3,720.0,35,5,7,4,2,0.84,3
INC11,P10,DELTA,S1,720.0,70,4,4,2,0,0.0,3
INC12,P12,DELTA,S2,720.0,45,2,2,1,1,0.19,2
INC13,P01,ALPHA,S3,960.0,30,5,7,4,1,0.54,2
INC14,P03,ALPHA,S4,360.0,15,5,5,0,0,0.0,4
INC15,P07,GAMMA,S3,360.0,25,0,0,0,0,0.0,0
