job_id,tenant_id,priority,total_attempts,retry_count,final_status,total_duration_sec,total_exec_sec,total_cpu_ms,peak_mem_mb,sla_breached,breach_seconds,expected_delay_sec,actual_wait_sec,delay_deviation_sec,incident_affected,penalty_amount,error_summary,outcome_class,penalty_tier,penalty_weight
J0001,T01,2,2,1,OK,71.0,96.0,42505,214.3,NO,0.0,2.0,0.0,-2.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0002,T01,5,2,1,OK,399.0,729.0,192833,161.0,NO,0.0,10.0,0.0,-10.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0003,T01,5,1,0,OK,15.0,7.0,6147,226.5,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0004,T01,3,1,0,OK,16.0,9.0,10260,335.9,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0005,T01,3,1,0,OK,9.0,4.0,6169,71.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0006,T01,4,2,1,OK,45.0,23.0,30974,490.0,NO,0.0,10.0,15.0,5.0,NO,0.0,E006,SUCCESS,NONE,0.0
J0007,T01,5,1,0,OK,9.0,6.0,10089,319.2,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0008,T01,3,1,0,OK,11.0,6.0,5105,472.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0009,T02,4,2,1,OK,30.0,10.0,11535,266.9,NO,0.0,12.0,13.0,1.0,NO,0.0,E200,SUCCESS,NONE,0.0
J0010,T02,2,3,2,OK,57.0,20.0,28390,344.1,NO,0.0,9.0,26.0,17.0,NO,0.0,E005|E200,SUCCESS,NONE,0.0
J0011,T02,3,4,3,FAIL,192.0,145.0,116207,291.0,YES,12.0,36.0,34.0,-2.0,NO,0.0,E005|E006|E100,EXHAUSTED,GRACE,0.0
J0012,T02,3,1,0,OK,12.0,5.0,5628,144.1,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0013,T02,1,1,0,OK,7.0,4.0,8109,409.4,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0014,T02,1,2,1,OK,43.0,26.0,26327,491.5,NO,0.0,5.0,14.0,9.0,NO,0.0,E006,SUCCESS,NONE,0.0
J0015,T03,4,1,0,OK,7.0,5.0,6524,267.8,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0016,T03,5,1,0,OK,18.0,11.0,14299,219.8,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0017,T03,2,3,2,OK,100.0,102.0,49235,360.0,YES,10.0,20.0,20.0,0.0,NO,0.0,E005|E100,DELAYED_SUCCESS,GRACE,0.0
J0018,T03,4,2,1,OK,162.0,370.0,99464,454.8,NO,0.0,8.0,0.0,-8.0,NO,0.0,E100,SUCCESS,NONE,0.0
J0019,T03,5,1,0,OK,14.0,11.0,18309,275.6,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0020,T04,2,1,0,OK,4.0,2.0,3725,93.7,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0021,T04,2,1,0,OK,12.0,10.0,16662,115.4,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0022,T04,4,1,0,OK,4.0,3.0,5013,507.3,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0023,T04,4,1,0,OK,14.0,10.0,12736,425.0,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0024,T05,4,1,0,OK,14.0,7.0,13021,175.2,NO,0.0,0.0,0.0,0.0,NO,0.0,,SUCCESS,NONE,0.0
J0025,T05,4,3,2,OK,165.0,133.0,164298,496.7,NO,0.0,25.0,24.0,-1.0,NO,0.0,E002|E100,SUCCESS,NONE,0.0
J0026,T05,2,2,1,OK,42.0,25.0,31282,469.7,NO,0.0,2.0,13.0,11.0,NO,0.0,E002,SUCCESS,NONE,0.0
J0027,T05,3,3,2,OK,63.0,30.0,44363,467.8,NO,0.0,9.0,22.0,13.0,NO,0.0,E002|E003,SUCCESS,NONE,0.0
