pool_id,month,region,tier,total_attempts,ok_count,fail_count,timeout_count,reject_count,total_cpu_ms,total_duration_sec,avg_duration_sec,peak_mem_mb,cpu_utilization_pct,top_error,incident_minutes
P01,2024-01,ALPHA,T1,20,12,6,1,1,293995,275.0,13.75,495.6,0.0003,E006,390.0
P01,2024-02,ALPHA,T1,15,8,5,0,2,126895,114.0,7.6,383.7,0.0002,E200,0.0
P01,2024-03,ALPHA,T1,10,4,3,1,2,154108,167.0,16.7,416.7,0.0002,E200,0.0
P01,2024-04,ALPHA,T1,16,8,2,1,5,181462,151.0,9.44,491.4,0.0002,E200,0.0
P01,2024-05,ALPHA,T1,12,9,0,2,1,230108,321.0,26.75,443.4,0.0003,E100,0.0
P01,2024-06,ALPHA,T1,21,13,3,5,0,769202,1078.0,51.33,422.1,0.0009,E100,960.0
P02,2024-01,ALPHA,T2,16,6,6,2,2,732970,681.0,42.56,491.2,0.0017,E005,0.0
P02,2024-02,ALPHA,T2,11,5,2,2,2,337830,311.0,28.27,387.7,0.0008,E100,0.0
P02,2024-03,ALPHA,T2,11,9,1,0,1,83527,67.0,6.09,430.9,0.0002,E002,480.0
P02,2024-04,ALPHA,T2,13,5,1,6,1,434660,632.0,48.62,462.8,0.001,E100,0.0
P02,2024-05,ALPHA,T2,10,7,2,0,1,64704,57.0,5.7,511.7,0.0002,E001,0.0
P02,2024-06,ALPHA,T2,20,9,3,5,3,957225,1344.0,67.2,483.4,0.0023,E100,0.0
P03,2024-01,ALPHA,T3,21,4,8,5,4,688799,1268.0,60.38,500.3,0.0004,E100,480.0
P03,2024-02,ALPHA,T3,15,11,1,3,0,256002,260.0,17.33,508.6,0.0002,E100,0.0
P03,2024-03,ALPHA,T3,9,5,3,1,0,205546,175.0,19.44,508.0,0.0001,E003,0.0
P03,2024-04,ALPHA,T3,16,11,2,1,2,235311,292.0,18.25,486.9,0.0001,E200,360.0
P03,2024-05,ALPHA,T3,11,7,2,1,1,194677,143.0,13.0,395.1,0.0001,E003,0.0
P03,2024-06,ALPHA,T3,12,5,3,3,1,551327,580.0,48.33,427.4,0.0003,E100,0.0
P04,2024-01,BETA,T1,6,4,0,1,1,190387,287.0,47.83,454.8,0.0002,E100,0.0
P04,2024-02,BETA,T1,9,7,1,0,1,84104,61.0,6.78,448.1,0.0001,E006,0.0
P04,2024-03,BETA,T1,6,3,3,0,0,87142,60.0,10.0,423.2,0.0001,E003,0.0
P04,2024-04,BETA,T1,13,8,3,0,2,114458,87.0,6.69,422.3,0.0001,E200,840.0
P04,2024-05,BETA,T1,9,6,3,0,0,100112,60.0,6.67,410.4,0.0001,E001,0.0
P04,2024-06,BETA,T1,8,2,2,2,2,420890,454.0,56.75,404.2,0.0005,E003,0.0
P05,2024-01,BETA,T2,4,2,1,1,0,62708,111.0,27.75,507.3,0.0001,E100,0.0
P05,2024-02,BETA,T2,13,4,5,2,2,313546,365.0,28.08,494.8,0.0007,E004,480.0
P05,2024-03,BETA,T2,5,5,0,0,0,39386,32.0,6.4,375.1,0.0001,,0.0
P05,2024-04,BETA,T2,13,4,3,4,2,694966,603.0,46.38,488.1,0.0017,E100,0.0
P05,2024-05,BETA,T2,7,3,2,1,1,77631,88.0,12.57,393.1,0.0002,E002,0.0
P05,2024-06,BETA,T2,6,1,2,2,1,314870,289.0,48.17,453.3,0.0007,E100,0.0
P06,2024-01,BETA,T3,11,8,2,1,0,202121,440.0,40.0,398.9,0.0002,E004,0.0
P06,2024-02,BETA,T3,12,6,1,4,1,613210,589.0,49.08,483.4,0.0005,E100,0.0
P06,2024-03,BETA,T3,12,6,3,1,2,383765,330.0,27.5,433.0,0.0003,E200,0.0
P06,2024-04,BETA,T3,7,3,2,1,1,345383,560.0,80.0,456.9,0.0003,E003,0.0
P06,2024-05,BETA,T3,10,5,3,2,0,360024,312.0,31.2,448.1,0.0003,E100,720.0
P06,2024-06,BETA,T3,11,6,2,2,1,198047,227.0,20.64,450.2,0.0002,E100,0.0
P07,2024-01,GAMMA,T1,19,10,3,3,3,229299,239.0,12.58,496.7,0.0004,E004,0.0
P07,2024-02,GAMMA,T1,13,6,3,1,3,294137,217.0,16.69,479.9,0.0005,E200,600.0
P07,2024-03,GAMMA,T1,19,9,5,1,4,180021,204.0,10.74,472.3,0.0003,E200,0.0
P07,2024-04,GAMMA,T1,15,12,0,1,2,208047,198.0,13.2,506.3,0.0003,E200,0.0
P07,2024-05,GAMMA,T1,19,10,4,3,2,497878,1062.0,55.89,508.1,0.0008,E100,0.0
P07,2024-06,GAMMA,T1,20,12,7,0,1,190908,152.0,7.6,506.8,0.0003,E006,360.0
P08,2024-01,GAMMA,T2,21,9,7,2,3,482785,400.0,19.05,511.7,0.0011,E002,0.0
P08,2024-02,GAMMA,T2,15,5,5,3,2,367966,376.0,25.07,489.4,0.0009,E100,0.0
P08,2024-03,GAMMA,T2,23,15,6,1,1,368515,335.0,14.57,501.6,0.0009,E005,0.0
P08,2024-04,GAMMA,T2,9,4,3,2,0,462270,433.0,48.11,476.0,0.0011,E006,0.0
P08,2024-05,GAMMA,T2,18,10,4,2,2,403580,279.0,15.5,507.5,0.001,E100,720.0
P08,2024-06,GAMMA,T2,13,7,4,2,0,776966,669.0,51.46,450.1,0.0018,E001,0.0
P09,2024-01,GAMMA,T3,19,8,7,3,1,393755,360.0,18.95,468.6,0.0002,E100,0.0
P09,2024-02,GAMMA,T3,28,17,8,2,1,601119,468.0,16.71,487.4,0.0004,E001,0.0
P09,2024-03,GAMMA,T3,13,6,4,2,1,535011,699.0,53.77,454.5,0.0003,E100,720.0
P09,2024-04,GAMMA,T3,15,10,2,3,0,889298,653.0,43.53,479.6,0.0005,E100,0.0
P09,2024-05,GAMMA,T3,18,11,6,1,0,232727,208.0,11.56,477.0,0.0001,E006,0.0
P09,2024-06,GAMMA,T3,8,5,2,1,0,152228,127.0,15.88,484.2,0.0001,E002,0.0
