tenant_id,month,service_level,total_jobs,total_attempts,total_retries,success_rate,avg_duration_sec,retry_rate,total_cpu_ms,peak_mem_mb,base_cost,retry_cost,penalty_cost,total_cost,sla_breaches,incident_jobs,cost_efficiency_ratio,risk_score,reliability_score,trend,health_status
T01,2024-01,PLATINUM,10,19,9,0.9,75.9,0.4737,432333,490.0,0.03,0.0,0.29,0.32,1,2,0.03,21.211,54.737,IMPROVING,AT_RISK
T01,2024-02,PLATINUM,8,14,6,0.875,25.75,0.4286,131475,508.6,0.0,0.0,0.66,0.66,1,0,0.08,21.608,58.439,IMPROVING,AT_RISK
T01,2024-03,PLATINUM,8,12,4,1.0,22.0,0.3333,114329,429.2,0.0,0.0,0.0,0.0,0,0,0.0,9.999,67.908,IMPROVING,AT_RISK
T01,2024-04,PLATINUM,9,16,7,0.8889,46.89,0.4375,246141,389.5,0.01,0.0,0.2,0.21,2,1,0.02,24.236,61.836,DECLINING,AT_RISK
T01,2024-05,PLATINUM,7,10,3,1.0,29.0,0.3,176113,475.2,0.01,0.0,0.33,0.34,1,0,0.05,13.286,66.299,IMPROVING,AT_RISK
T01,2024-06,PLATINUM,11,21,10,0.8182,194.36,0.4762,1464557,449.0,0.09,0.01,1.16,1.26,2,4,0.11,27.013,57.826,DECLINING,AT_RISK
T02,2024-01,GOLD,9,18,9,0.8889,47.0,0.5,286043,491.5,0.01,0.0,0.0,0.01,1,3,0.0,22.777,56.389,IMPROVING,AT_RISK
T02,2024-02,GOLD,7,12,5,1.0,31.43,0.4167,133325,319.6,0.0,0.0,0.11,0.11,1,0,0.02,16.787,61.436,IMPROVING,AT_RISK
T02,2024-03,GOLD,4,5,1,0.75,40.5,0.2,147578,508.0,0.01,0.0,0.0,0.01,0,0,0.0,16.0,65.218,IMPROVING,AT_RISK
T02,2024-04,GOLD,7,13,6,0.7143,77.0,0.4615,359711,491.4,0.01,0.0,1.11,1.12,2,1,0.16,33.844,51.402,DECLINING,AT_RISK
T02,2024-05,GOLD,7,12,5,0.8571,32.71,0.4167,152846,511.7,0.01,0.0,0.0,0.01,0,0,0.0,18.217,62.305,IMPROVING,AT_RISK
T02,2024-06,GOLD,8,17,9,0.75,85.38,0.5294,569942,422.1,0.02,0.0,1.31,1.33,1,0,0.17,29.632,54.462,DECLINING,AT_RISK
T03,2024-01,SILVER,5,8,3,1.0,60.2,0.375,187831,454.8,0.01,0.0,0.0,0.01,1,0,0.0,17.25,55.625,IMPROVING,AT_RISK
T03,2024-02,SILVER,6,11,5,1.0,60.83,0.4545,248330,476.7,0.01,0.0,0.15,0.16,1,0,0.03,18.635,59.847,IMPROVING,AT_RISK
T03,2024-03,SILVER,3,4,1,1.0,19.67,0.25,48024,425.0,0.0,0.0,0.0,0.0,0,0,0.0,7.5,69.643,IMPROVING,AT_RISK
T03,2024-04,SILVER,7,11,4,1.0,79.29,0.3636,600884,437.0,0.01,0.0,0.0,0.01,0,2,0.0,10.908,75.478,IMPROVING,STABLE
T03,2024-05,SILVER,4,6,2,0.75,56.25,0.3333,200113,448.1,0.01,0.0,0.0,0.01,0,0,0.0,19.999,70.239,DECLINING,STABLE
T03,2024-06,SILVER,4,6,2,1.0,37.25,0.3333,143975,450.2,0.0,0.0,0.0,0.0,0,0,0.0,9.999,76.168,IMPROVING,STABLE
T04,2024-01,BRONZE,4,4,0,1.0,8.5,0.0,38136,507.3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,65.0,IMPROVING,AT_RISK
T04,2024-02,BRONZE,3,7,4,0.6667,105.67,0.5714,287442,494.8,0.01,0.0,0.0,0.01,0,0,0.0,30.474,49.528,DECLINING,DEGRADED
T04,2024-03,BRONZE,4,7,3,1.0,26.5,0.4286,50554,375.1,0.0,0.0,0.0,0.0,0,0,0.0,12.858,60.812,IMPROVING,AT_RISK
