tenant_id,service_level,region,months_active,total_jobs,overall_success_rate,total_cost,avg_monthly_cost,total_penalties,total_sla_breaches,avg_retry_rate,final_reliability_score,final_health_status,worst_health_status,consecutive_healthy_months,longest_healthy_streak,total_incident_jobs,consecutive_breach_months,avg_penalty_per_breach
T01,PLATINUM,ALPHA,6,53,0.9057,2.79,0.46,2.64,7,0.4082,57.826,AT_RISK,AT_RISK,0,0,7,3,0.38
T02,GOLD,ALPHA,6,42,0.8333,2.59,0.43,2.53,5,0.4207,54.462,AT_RISK,AT_RISK,0,0,4,1,0.51
T03,SILVER,BETA,6,29,0.9655,0.19,0.03,0.15,2,0.3516,76.168,STABLE,AT_RISK,0,0,2,0,0.08
T04,BRONZE,BETA,6,21,0.8095,2.33,0.39,2.31,1,0.4368,35.0,DEGRADED,CRITICAL,0,0,1,0,2.31
T05,PLATINUM,GAMMA,6,54,0.8519,1.01,0.17,0.85,4,0.4171,58.984,AT_RISK,AT_RISK,0,0,3,2,0.21
T06,GOLD,GAMMA,6,44,0.9318,0.94,0.16,0.83,3,0.3531,73.655,STABLE,AT_RISK,0,0,3,0,0.28
T07,SILVER,DELTA,6,32,0.8438,0.51,0.08,0.48,2,0.4093,66.958,AT_RISK,DEGRADED,0,0,3,0,0.24
T08,BRONZE,DELTA,6,20,0.85,1.15,0.19,1.14,2,0.325,47.1,DEGRADED,CRITICAL,0,0,2,0,0.57
T09,GOLD,ALPHA,6,43,0.9302,0.04,0.01,0.0,0,0.2808,85.396,HEALTHY,AT_RISK,1,1,2,0,0.0
T10,SILVER,BETA,6,26,0.8846,0.34,0.06,0.29,2,0.4481,26.669,CRITICAL,CRITICAL,0,0,2,1,0.14
T11,PLATINUM,GAMMA,6,55,0.9636,0.89,0.15,0.81,3,0.2912,82.427,STABLE,AT_RISK,0,0,3,0,0.27
T12,BRONZE,ALPHA,6,18,0.8333,0.1,0.02,0.05,1,0.3155,75.455,STABLE,CRITICAL,0,0,2,0,0.05
T13,GOLD,DELTA,6,44,0.8182,3.44,0.57,3.39,5,0.4456,55.791,AT_RISK,CRITICAL,0,0,3,1,0.68
T14,SILVER,GAMMA,6,31,0.8387,4.3,0.72,4.26,2,0.4555,73.074,STABLE,DEGRADED,0,0,2,0,2.13
T15,BRONZE,BETA,6,16,0.9375,0.36,0.06,0.34,2,0.3,31.67,DEGRADED,DEGRADED,0,0,1,1,0.17
