attempt_id,job_id,pool_id,attempt_num,queued_at,started_at,ended_at,status,cpu_ms,mem_peak_mb,error_code
A0001,J0001,P02,1,2024-01-19 15:18:40,2024-01-19 15:18:42,,TIMEOUT,32184,214.3,E100
A0002,J0001,P01,2,2024-01-19 15:19:37,2024-01-19 15:19:40,2024-01-19 15:19:46,OK,10321,137.4,
A0003,J0002,P03,1,2024-01-12 23:16:15,2024-01-12 23:16:17,,TIMEOUT,192833,161.0,E100
A0004,J0002,P01,2,2024-01-12 23:22:38,2024-01-12 23:22:39,2024-01-12 23:22:48,OK,,95.5,
A0005,J0003,P02,1,2024-01-02 22:36:16,2024-01-02 22:36:18,2024-01-02 22:36:25,OK,6147,226.5,
A0006,J0004,P01,1,2024-01-12 22:52:47,2024-01-12 22:52:48,2024-01-12 22:52:57,OK,10260,335.9,
A0007,J0005,P02,1,2024-01-10 12:16:30,2024-01-10 12:16:30,2024-01-10 12:16:34,OK,6169,71.7,
A0008,J0006,P01,1,2024-01-26 20:10:42,2024-01-26 20:10:44,2024-01-26 20:11:03,FAIL,24422,490.0,E006
A0009,J0006,P01,2,2024-01-26 20:11:18,2024-01-26 20:11:20,2024-01-26 20:11:24,OK,6552,438.3,
A0010,J0007,P01,1,2024-01-11 01:08:27,2024-01-11 01:08:28,2024-01-11 01:08:34,OK,10089,319.2,
A0011,J0008,P03,1,2024-01-03 02:49:40,2024-01-03 02:49:41,2024-01-03 02:49:47,OK,5105,472.3,
A0012,J0009,P02,1,2024-01-25 22:48:50,2024-01-25 22:48:50,2024-01-25 22:48:50,REJECT,0,0.0,E200
A0013,J0009,P01,2,2024-01-25 22:49:03,2024-01-25 22:49:06,2024-01-25 22:49:16,OK,11535,266.9,
A0014,J0010,P02,1,2024-01-26 08:44:32,2024-01-26 08:44:34,2024-01-26 08:44:47,FAIL,17030,182.2,E005
A0015,J0010,P03,2,2024-01-26 08:45:02,2024-01-26 08:45:02,2024-01-26 08:45:02,REJECT,0,0.0,E200
A0016,J0010,P02,3,2024-01-26 08:45:13,2024-01-26 08:45:15,2024-01-26 08:45:22,OK,11360,344.1,
A0017,J0011,P03,1,2024-01-12 12:33:07,2024-01-12 12:33:09,2024-01-12 12:33:13,FAIL,4843,291.0,E005
A0018,J0011,P01,2,2024-01-12 12:33:27,2024-01-12 12:33:30,2024-01-12 12:35:19,TIMEOUT,80208,43.7,E100
A0019,J0011,P03,3,2024-01-12 12:35:23,2024-01-12 12:35:24,2024-01-12 12:35:43,FAIL,16664,36.6,E005
A0020,J0011,P01,4,2024-01-12 12:35:59,2024-01-12 12:36:01,2024-01-12 12:36:14,FAIL,14492,223.2,E006
A0021,J0012,P01,1,2024-01-07 19:04:06,2024-01-07 19:04:07,2024-01-07 19:04:12,OK,5628,144.1,
A0022,J0013,P03,1,2024-01-01 20:45:15,2024-01-01 20:45:17,2024-01-01 20:45:21,OK,8109,409.4,
A0023,J0014,P02,1,2024-01-06 06:55:48,2024-01-06 06:55:48,2024-01-06 06:56:08,FAIL,21398,484.5,E006
A0024,J0014,P01,2,2024-01-06 06:56:22,2024-01-06 06:56:22,2024-01-06 06:56:28,OK,4929,491.5,
A0025,J0015,P06,1,2024-01-22 14:22:49,2024-01-22 14:22:50,2024-01-22 14:22:55,OK,6524,267.8,
A0026,J0016,P06,1,2024-01-03 02:37:17,2024-01-03 02:37:19,2024-01-03 02:37:30,OK,14299,219.8,
A0027,J0017,P05,1,2024-01-29 08:02:26,2024-01-29 08:02:28,,TIMEOUT,30400,228.1,E100
A0028,J0017,P06,2,2024-01-29 08:03:29,2024-01-29 08:03:31,2024-01-29 08:03:35,FAIL,4661,360.0,E005
A0029,J0017,P05,3,2024-01-29 08:03:55,2024-01-29 08:03:56,2024-01-29 08:04:04,OK,14174,198.9,
A0030,J0018,P06,1,2024-01-27 12:44:38,2024-01-27 12:44:39,,TIMEOUT,90026,192.3,E100
A0031,J0018,P04,2,2024-01-27 12:47:02,2024-01-27 12:47:04,2024-01-27 12:47:14,OK,9438,454.8,
A0032,J0019,P04,1,2024-01-19 22:41:12,2024-01-19 22:41:12,2024-01-19 22:41:23,OK,18309,275.6,
A0033,J0020,P04,1,2024-01-13 13:26:49,2024-01-13 13:26:50,2024-01-13 13:26:52,OK,3725,93.7,
