service_level,priority,backoff_type,base_delay_sec,max_delay_sec,effective_from,effective_to
PLATINUM,1,DECORRELATED,3.0,60.0,2024-01-01,2024-03-31
PLATINUM,1,DECORRELATED,2.4,54.0,2024-04-01,2024-06-30
PLATINUM,2,EXPONENTIAL,2.0,45.0,2024-01-01,2024-03-31
PLATINUM,2,EXPONENTIAL,1.6,40.5,2024-04-01,2024-06-30
PLATINUM,3,EXPONENTIAL,3.0,60.0,2024-01-01,2024-06-30
PLATINUM,4,LINEAR,5.0,90.0,2024-01-01,2024-06-30
PLATINUM,5,FIXED,10.0,120.0,2024-01-01,2024-06-30
GOLD,1,DECORRELATED,2.0,45.0,2024-01-01,2024-03-31
GOLD,1,DECORRELATED,1.6,40.5,2024-04-01,2024-06-30
GOLD,2,EXPONENTIAL,3.0,60.0,2024-01-01,2024-03-31
GOLD,2,EXPONENTIAL,2.4,54.0,2024-04-01,2024-06-30
GOLD,3,LINEAR,4.0,60.0,2024-01-01,2024-06-30
GOLD,4,LINEAR,6.0,90.0,2024-01-01,2024-06-30
GOLD,5,FIXED,15.0,120.0,2024-01-01,2024-06-30
SILVER,1,EXPONENTIAL,3.0,45.0,2024-01-01,2024-06-30
SILVER,2,LINEAR,4.0,60.0,2024-01-01,2024-06-30
SILVER,3,LINEAR,5.0,75.0,2024-01-01,2024-06-30
SILVER,4,FIXED,8.0,90.0,2024-01-01,2024-06-30
SILVER,5,FIXED,12.0,120.0,2024-01-01,2024-06-30
BRONZE,1,LINEAR,5.0,60.0,2024-01-01,2024-06-30
BRONZE,2,FIXED,8.0,60.0,2024-01-01,2024-06-30
BRONZE,3,FIXED,10.0,90.0,2024-01-01,2024-06-30
BRONZE,4,FIXED,12.0,120.0,2024-01-01,2024-06-30
BRONZE,5,FIXED,15.0,120.0,2024-01-01,2024-06-30
