service_level,priority,penalty_per_min,escalation_pct,critical_mult,grace_sec
PLATINUM,1,0.5,0.25,2.5,5.0
PLATINUM,2,0.35,0.3,2.0,10.0
PLATINUM,3,0.2,0.4,1.8,15.0
PLATINUM,4,0.1,0.5,1.5,20.0
PLATINUM,5,0.05,0.6,1.3,30.0
GOLD,1,0.4,0.3,2.0,8.0
GOLD,2,0.25,0.35,1.8,12.0
GOLD,3,0.15,0.45,1.5,18.0
GOLD,4,0.08,0.55,1.3,25.0
GOLD,5,0.04,0.65,1.2,35.0
SILVER,1,0.3,0.35,1.8,10.0
SILVER,2,0.18,0.4,1.5,15.0
SILVER,3,0.1,0.5,1.3,20.0
SILVER,4,0.05,0.6,1.2,30.0
SILVER,5,0.03,0.7,1.1,40.0
BRONZE,1,0.2,0.4,1.5,15.0
BRONZE,2,0.12,0.5,1.3,20.0
BRONZE,3,0.06,0.6,1.2,25.0
BRONZE,4,0.03,0.7,1.1,35.0
BRONZE,5,0.02,0.8,1.0,45.0
