promo_id,vendor_id,promo_type,start_date,end_date,total_promo_revenue,total_promo_transactions,avg_discount_applied,effective_discount,roi,lift_ratio
PR001,V06,CLEARANCE,2024-05-01,2024-06-28,141.97,2,0.15,0.15,-0.8756,0.5432
PR002,V10,SEASONAL,2024-01-01,2024-03-28,44.23,2,0.125,0.125,-0.987,0.2563
PR002,V13,SEASONAL,2024-01-01,2024-03-28,165.09,1,0.2,0.2,-0.9514,1.3903
PR002,V15,SEASONAL,2024-01-01,2024-03-28,102.96,2,0.15,0.15,-0.9697,1.0116
PR002,V16,SEASONAL,2024-01-01,2024-03-28,24.79,1,0.25,0.25,-0.9927,0.1702
PR003,V09,LOYALTY_DISCOUNT,2024-03-01,2024-04-28,72.34,1,0.1,0.1,-0.9798,0.2118
PR003,V12,LOYALTY_DISCOUNT,2024-03-01,2024-04-28,102.88,1,0.1,0.1,-0.9712,0.6924
PR004,V10,BUNDLE,2024-03-01,2024-04-28,325.46,1,0.2,0.13,-0.9139,4.0866
PR005,V06,FLASH_SALE,2024-03-01,2024-05-28,82.54,1,0.1,0.1,-0.9012,0.5969
PR006,V10,FLASH_SALE,2024-04-01,2024-05-28,54.71,1,0.15,0.08,-0.984,0.9383
PR006,V12,FLASH_SALE,2024-04-01,2024-05-28,23.67,1,0.05,0.05,-0.9931,0.1535
PR007,V02,FLASH_SALE,2024-04-01,2024-06-28,61.15,1,0.1,0.1,-0.9441,0.7559
PR007,V18,FLASH_SALE,2024-04-01,2024-06-28,403.27,1,0.1,0.1,-0.6316,2.8041
PR009,V13,BUNDLE,2024-05-01,2024-06-28,292.97,1,0.05,0.05,-0.9283,2.7776
PR009,V18,BUNDLE,2024-05-01,2024-06-28,223.19,2,0.2,0.19,-0.9454,0.7192
PR011,V17,BUNDLE,2024-03-01,2024-04-28,60.29,1,0.1,0.1,-0.9609,0.3375
PR012,V02,FLASH_SALE,2024-02-01,2024-03-28,128.42,2,0.075,0.06,-0.9661,0.9031
PR012,V06,FLASH_SALE,2024-02-01,2024-03-28,403.79,1,0.05,0.05,-0.8934,2.803
PR013,V02,LOYALTY_DISCOUNT,2024-03-01,2024-05-28,26.27,1,0.05,0.05,-0.9941,0.3738
PR013,V04,LOYALTY_DISCOUNT,2024-03-01,2024-05-28,76.03,1,0.25,0.13,-0.9829,0.406
PR013,V09,LOYALTY_DISCOUNT,2024-03-01,2024-05-28,703.47,2,0.125,0.125,-0.8421,1.0743
PR013,V20,LOYALTY_DISCOUNT,2024-03-01,2024-05-28,48.31,1,0.2,0.13,-0.9892,0.3015
PR014,V04,BUNDLE,2024-03-01,2024-04-28,36.81,1,0.15,0.12,-0.9922,0.2062
PR014,V07,BUNDLE,2024-03-01,2024-04-28,439.3,2,0.1,0.1,-0.9068,1.6632
PR014,V10,BUNDLE,2024-03-01,2024-04-28,24.41,1,0.25,0.12,-0.9948,0.2846
PR014,V13,BUNDLE,2024-03-01,2024-04-28,57.33,1,0.1,0.1,-0.9878,0.5112
PR014,V14,BUNDLE,2024-03-01,2024-04-28,206.63,1,0.1,0.1,-0.9562,1.9662
PR015,V09,BUNDLE,2024-01-01,2024-02-28,249.29,1,0.1,0.1,-0.9424,0.7232
