segment,month,vendor_count,total_revenue,hhi,shannon_entropy,vci,msi,concentrated_vendors,health_class,unhealthy_streak
APPAREL,2024-01,5,13431.72,0.215659,2.2695,1.0,0.7755,0,HEALTHY,0
ELECTRONICS,2024-01,5,20917.37,0.207243,2.2973,1.0,0.7734,0,HEALTHY,0
GROCERY,2024-01,5,10295.83,0.227707,2.2176,1.0,0.7796,0,HEALTHY,0
HOME_GOODS,2024-01,5,11701.0,0.274372,2.0746,1.0,0.6669,1,HEALTHY,0
APPAREL,2024-02,5,13373.07,0.214925,2.2633,1.0492,0.7932,0,HEALTHY,0
ELECTRONICS,2024-02,5,18316.03,0.233107,2.198,0.2188,0.5078,0,TRANSITIONING,1
GROCERY,2024-02,5,15267.9,0.239097,2.1792,0.7087,0.6807,0,HEALTHY,0
HOME_GOODS,2024-02,5,12218.29,0.257189,2.118,1.3004,0.8931,0,HEALTHY,0
APPAREL,2024-03,5,16888.85,0.21782,2.2587,0.8375,0.7194,0,HEALTHY,0
ELECTRONICS,2024-03,5,20230.45,0.257529,2.1387,0.5755,0.5126,1,HEALTHY,0
GROCERY,2024-03,5,20141.37,0.203771,2.3077,10.3685,4.0516,0,STAGNANT,1
HOME_GOODS,2024-03,5,12882.52,0.252565,2.1465,1.088,0.8163,0,HEALTHY,0
APPAREL,2024-04,5,10085.01,0.231227,2.2111,0.5707,0.6298,0,HEALTHY,0
ELECTRONICS,2024-04,5,20739.39,0.267639,2.0722,0.8505,0.7398,0,HEALTHY,0
GROCERY,2024-04,5,19128.5,0.208892,2.2883,0.424,0.5724,0,TRANSITIONING,2
HOME_GOODS,2024-04,5,9932.29,0.215522,2.2664,3.3866,1.611,0,TRANSITIONING,1
APPAREL,2024-05,5,13559.67,0.268789,2.0418,0.454,0.4789,1,TRANSITIONING,1
ELECTRONICS,2024-05,5,25068.85,0.286887,2.055,0.7785,0.5912,1,HEALTHY,0
GROCERY,2024-05,5,16088.22,0.249372,2.1454,0.1801,0.4986,0,TRANSITIONING,3
HOME_GOODS,2024-05,5,10747.16,0.248971,2.1418,0.317,0.5469,0,TRANSITIONING,2
APPAREL,2024-06,5,17216.76,0.230451,2.205,2.259,1.2212,0,TRANSITIONING,2
ELECTRONICS,2024-06,5,20262.8,0.241106,2.1818,2.1137,1.1723,0,TRANSITIONING,1
GROCERY,2024-06,5,13026.77,0.256232,2.1496,0.878,0.7425,0,HEALTHY,0
HOME_GOODS,2024-06,5,12039.11,0.220068,2.2484,2.4402,1.2812,0,TRANSITIONING,3
