product_id,vendor_id,category,base_price,cost_price,weight_kg,launch_date,is_fragile,warranty_months
P0001,V01,CAT_B,23.74,12.31,2.85,2024-01-04,NO,6
P0002,V01,CAT_D,4.19,2.81,10.94,2023-12-07,NO,6
P0003,V01,CAT_D,37.3,16.51,4.29,2023-07-11,NO,0
P0004,V01,CAT_A,13.06,4.0,6.41,2023-10-14,YES,12
P0005,V01,CAT_B,45.82,27.88,1.2,2023-07-11,NO,24
P0006,V01,CAT_E,42.31,20.3,1.52,2023-09-07,NO,0
P0007,V02,CAT_B,8.76,5.13,11.44,2024-02-10,NO,0
P0008,V02,CAT_D,18.9,11.04,1.75,2023-11-26,YES,12
P0009,V02,CAT_E,21.62,14.33,3.81,2023-10-21,NO,0
P0010,V02,CAT_D,4.1,1.36,4.42,2023-08-05,NO,0
P0011,V02,CAT_C,18.46,7.15,6.31,2023-10-06,NO,24
P0012,V03,CAT_A,9.35,3.82,9.75,2023-09-24,NO,6
P0013,V03,CAT_B,22.23,10.98,10.42,2023-11-19,NO,0
P0014,V03,CAT_D,7.39,2.86,8.42,2023-09-21,YES,0
P0015,V04,CAT_A,19.79,8.32,4.34,2023-12-04,NO,6
P0016,V04,CAT_A,5.27,1.69,4.25,2024-06-19,NO,0
P0017,V04,CAT_C,26.36,10.46,10.11,2023-12-01,NO,12
P0018,V04,CAT_C,19.97,8.93,9.52,2024-01-26,NO,0
P0019,V04,CAT_D,94.36,60.71,4.96,2024-05-11,NO,0
P0020,V04,CAT_A,21.43,11.96,2.7,2023-10-06,NO,12
P0021,V05,CAT_C,10.73,7.19,13.17,2024-02-18,NO,12
P0022,V05,CAT_B,15.52,8.1,7.99,2024-06-19,YES,24
P0023,V05,CAT_C,24.73,10.77,5.3,2023-10-30,NO,24
P0024,V05,CAT_D,37.54,24.04,14.04,2023-09-12,NO,0
P0025,V05,CAT_B,25.39,7.67,2.5,2023-12-11,NO,12
P0026,V06,CAT_E,11.34,4.2,0.37,2024-03-30,NO,12
P0027,V06,CAT_C,28.21,14.88,1.5,2024-06-09,NO,6
P0028,V06,CAT_C,42.62,29.47,7.35,2023-06-27,NO,6
P0029,V07,CAT_D,39.65,15.55,7.54,2023-07-05,NO,0
P0030,V07,CAT_E,27.54,19.22,7.1,2023-06-06,NO,0
P0031,V07,CAT_A,18.19,12.49,14.46,2023-09-24,NO,6
P0032,V07,CAT_B,36.32,23.26,4.82,2024-03-07,NO,12
P0033,V07,CAT_B,33.38,14.8,3.89,2024-06-20,NO,12
P0034,V07,CAT_E,8.46,3.0,10.66,2023-11-17,NO,12
P0035,V08,CAT_D,11.17,3.37,9.46,2024-04-16,YES,6
P0036,V08,CAT_D,23.48,7.52,13.31,2024-05-19,YES,6
P0037,V08,CAT_B,19.46,10.06,4.37,2023-07-28,YES,0
P0038,V09,CAT_E,13.1,4.6,7.88,2023-07-30,NO,12
P0039,V09,CAT_E,135.81,75.37,10.92,2024-06-04,NO,6
P0040,V09,CAT_D,87.77,54.25,4.14,2023-07-28,YES,0
P0041,V09,CAT_B,10.83,4.0,2.43,2023-09-04,NO,12
P0042,V09,CAT_E,75.87,42.8,4.27,2023-12-09,NO,12
P0043,V10,CAT_D,11.19,6.75,0.31,2023-08-08,YES,6
P0044,V10,CAT_B,7.21,4.99,2.71,2024-05-06,NO,0
P0045,V10,CAT_B,4.07,2.22,9.56,2023-11-27,NO,12
P0046,V10,CAT_E,7.1,3.56,12.86,2023-06-04,NO,24
P0047,V10,CAT_A,51.31,29.29,8.64,2023-11-26,NO,12
P0048,V11,CAT_D,30.73,21.03,13.59,2024-03-11,YES,0
P0049,V11,CAT_B,13.61,5.82,12.69,2023-09-23,NO,0
P0050,V11,CAT_E,23.71,13.72,9.47,2024-06-10,NO,12
P0051,V12,CAT_C,3.41,1.8,8.68,2023-07-06,NO,12
P0052,V12,CAT_E,61.05,26.64,13.97,2024-02-23,NO,12
P0053,V12,CAT_A,14.49,9.58,7.63,2024-05-07,NO,0
P0054,V13,CAT_D,24.76,7.54,13.59,2024-02-20,NO,24
P0055,V13,CAT_C,21.71,12.0,6.78,2024-06-30,NO,12
P0056,V13,CAT_A,32.33,19.43,11.89,2023-07-09,YES,6
