segment,month,demand_factor,return_adjustment,shipping_weight
ELECTRONICS,2024-01,1.043,0.905,1.111
ELECTRONICS,2024-02,0.858,1.02,1.177
ELECTRONICS,2024-03,1.047,0.957,0.872
ELECTRONICS,2024-04,0.812,1.025,1.023
ELECTRONICS,2024-05,1.008,0.939,0.895
ELECTRONICS,2024-06,1.231,0.904,0.945
APPAREL,2024-01,0.817,0.938,1.173
APPAREL,2024-02,0.867,1.02,0.939
APPAREL,2024-03,1.194,1.07,0.915
APPAREL,2024-04,0.918,0.941,0.976
APPAREL,2024-05,1.032,1.088,0.806
APPAREL,2024-06,1.141,0.915,0.831
HOME_GOODS,2024-01,1.094,1.082,0.915
HOME_GOODS,2024-02,0.921,1.024,1.111
HOME_GOODS,2024-03,1.191,0.95,1.096
HOME_GOODS,2024-04,0.938,1.009,0.876
HOME_GOODS,2024-05,0.866,1.087,1.019
HOME_GOODS,2024-06,0.802,1.059,1.076
GROCERY,2024-01,0.947,0.993,0.98
GROCERY,2024-02,0.924,1.096,1.018
GROCERY,2024-03,1.204,1.017,1.076
GROCERY,2024-04,0.813,1.002,1.089
GROCERY,2024-05,0.855,1.036,0.834
GROCERY,2024-06,1.163,1.096,1.051
