date,signal_type,composite_score,position_size,regime,volume_ratio
2024-02-28,BUY,3.5,294,UPTREND,1.56
2024-03-04,BUY,5.25,252,DOWNTREND,1.63
2024-05-21,SELL,6.25,265,UPTREND,1.2
2024-05-26,SELL,6.25,258,UPTREND,1.24
2024-05-31,SELL,5.25,254,UPTREND,1.26
2024-06-05,SELL,6.25,259,UPTREND,1.25
2024-06-16,BUY,3.75,204,UPTREND,1.47
2024-06-22,BUY,4.5,173,DOWNTREND,1.38
2024-06-27,BUY,4.5,162,DOWNTREND,1.3
2024-08-30,BUY,3.5,185,UPTREND,1.5
2024-09-08,BUY,5.5,171,DOWNTREND,1.41
2024-09-13,BUY,4.5,169,DOWNTREND,1.23
2024-10-28,BUY,3.5,191,UPTREND,1.58
2024-12-14,BUY,4.0,183,UPTREND,1.63
