station_id,reading_date,parameter,measured_value,threshold_type,threshold_value,pdi_value
WQ-001,2024-01-12,turbidity_ntu,2.65,VIOLATION,2.0,0.6625
WQ-001,2024-01-17,turbidity_ntu,2.98,VIOLATION,2.0,0.745
WQ-001,2024-01-26,turbidity_ntu,2.41,VIOLATION,2.0,0.6025
WQ-001,2024-02-08,turbidity_ntu,3.13,VIOLATION,2.0,0.7825
WQ-001,2024-02-14,turbidity_ntu,3.44,VIOLATION,2.0,0.86
WQ-001,2024-02-15,turbidity_ntu,3.23,VIOLATION,2.0,0.8075
WQ-001,2024-02-17,coliform_count,7.0,VIOLATION,5.0,0.7
WQ-001,2024-02-18,turbidity_ntu,2.12,VIOLATION,2.0,0.53
WQ-001,2024-02-29,coliform_count,9.0,VIOLATION,5.0,0.9
WQ-001,2024-03-09,turbidity_ntu,2.21,VIOLATION,2.0,0.5525
WQ-001,2024-03-19,coliform_count,9.0,VIOLATION,5.0,0.9
WQ-001,2024-04-16,turbidity_ntu,4.49,CRITICAL,4.0,1.0
WQ-001,2024-04-25,turbidity_ntu,2.43,VIOLATION,2.0,0.6075
WQ-001,2024-04-27,turbidity_ntu,2.14,VIOLATION,2.0,0.535
WQ-001,2024-05-07,turbidity_ntu,3.52,VIOLATION,2.0,0.88
WQ-001,2024-05-09,coliform_count,8.0,VIOLATION,5.0,0.8
WQ-001,2024-05-28,turbidity_ntu,3.13,VIOLATION,2.0,0.7825
WQ-001,2024-05-29,turbidity_ntu,2.29,VIOLATION,2.0,0.5725
WQ-001,2024-06-04,lead_ppb,11.22,VIOLATION,10.0,0.622
WQ-001,2024-06-15,turbidity_ntu,2.86,VIOLATION,2.0,0.715
WQ-001,2024-06-24,turbidity_ntu,3.28,VIOLATION,2.0,0.82
WQ-001,2024-06-26,turbidity_ntu,3.31,VIOLATION,2.0,0.8275
WQ-001,2024-06-30,turbidity_ntu,3.09,VIOLATION,2.0,0.7725
WQ-002,2024-05-05,turbidity_ntu,4.71,VIOLATION,4.0,0.6775
WQ-003,2024-03-12,lead_ppb,17.2,VIOLATION,15.0,0.61
WQ-003,2024-03-14,lead_ppb,17.98,VIOLATION,15.0,0.649
WQ-003,2024-03-19,lead_ppb,15.77,VIOLATION,15.0,0.5385
WQ-003,2024-03-23,lead_ppb,15.08,VIOLATION,15.0,0.504
WQ-003,2024-04-04,lead_ppb,16.66,VIOLATION,15.0,0.583
WQ-003,2024-04-07,lead_ppb,15.17,VIOLATION,15.0,0.5085
WQ-003,2024-04-08,lead_ppb,15.44,VIOLATION,15.0,0.522
WQ-003,2024-04-10,coliform_count,24.0,VIOLATION,20.0,0.566667
WQ-003,2024-04-11,lead_ppb,17.29,VIOLATION,15.0,0.6145
WQ-003,2024-04-13,lead_ppb,19.57,VIOLATION,15.0,0.7285
WQ-003,2024-04-19,lead_ppb,18.59,VIOLATION,15.0,0.6795
WQ-003,2024-04-26,lead_ppb,16.8,VIOLATION,15.0,0.59
WQ-003,2024-04-27,lead_ppb,16.87,VIOLATION,15.0,0.5935
WQ-003,2024-05-03,lead_ppb,17.67,VIOLATION,15.0,0.6335
WQ-003,2024-05-07,lead_ppb,17.54,VIOLATION,15.0,0.627
WQ-003,2024-05-08,lead_ppb,17.28,VIOLATION,15.0,0.614
WQ-003,2024-05-09,lead_ppb,15.4,VIOLATION,15.0,0.52
WQ-003,2024-05-09,coliform_count,21.0,VIOLATION,20.0,0.516667
WQ-003,2024-05-10,lead_ppb,15.56,VIOLATION,15.0,0.528
WQ-003,2024-05-14,lead_ppb,16.92,VIOLATION,15.0,0.596
