station_id,month,violation_class,violation_tier,base_amount,adjustment_factor,workday_fraction,consecutive_months,gross_penalty,maintenance_cost,maintenance_credit,net_penalty
WQ-001,2024-01,WATCH,1,250.0,1.15,0.6774,0,194.75,0.0,0.0,194.75
WQ-001,2024-02,WATCH,1,250.0,1.15,0.6897,0,198.29,3326.44,39.66,158.63
WQ-001,2024-03,WATCH,1,250.0,1.15,0.6129,0,176.21,0.0,0.0,176.21
WQ-001,2024-04,CRITICAL,4,16500.0,1.2,0.7,0,13860.0,0.0,0.0,13860.0
WQ-001,2024-05,WATCH,1,275.0,1.2,0.7097,0,234.2,0.0,0.0,234.2
WQ-001,2024-06,WATCH,1,275.0,1.2,0.6667,0,220.01,0.0,0.0,220.01
WQ-002,2024-01,WATCH,1,250.0,1.15,0.6774,0,194.75,5666.71,38.95,155.8
WQ-002,2024-02,WATCH,1,250.0,1.15,0.6897,0,198.29,0.0,0.0,198.29
WQ-002,2024-03,WATCH,1,250.0,1.15,0.6129,0,176.21,0.0,0.0,176.21
WQ-002,2024-04,WATCH,1,275.0,1.2,0.7,0,231.0,0.0,0.0,231.0
WQ-002,2024-05,WATCH,1,275.0,1.2,0.7097,0,234.2,0.0,0.0,234.2
WQ-002,2024-06,WATCH,1,275.0,1.2,0.6667,0,220.01,0.0,0.0,220.01
WQ-003,2024-03,WATCH,1,250.0,1.15,0.6129,0,176.21,0.0,0.0,176.21
WQ-003,2024-04,WATCH,1,275.0,1.2,0.7,0,231.0,2653.36,46.2,184.8
WQ-003,2024-05,WATCH,1,275.0,1.2,0.7097,0,234.2,2275.45,46.84,187.36
WQ-003,2024-06,WATCH,1,275.0,1.2,0.6667,0,220.01,1048.14,44.0,176.01
WQ-005,2024-01,WATCH,1,250.0,1.15,0.6774,0,194.75,0.0,0.0,194.75
WQ-005,2024-02,WATCH,1,250.0,1.15,0.6897,0,198.29,0.0,0.0,198.29
WQ-005,2024-03,WATCH,1,250.0,1.15,0.6129,0,176.21,0.0,0.0,176.21
WQ-005,2024-04,CRITICAL_REPEAT,5,55000.0,1.2,0.7,0,46200.0,304.14,15.21,46184.79
WQ-005,2024-05,CRITICAL,4,16500.0,1.2,0.7097,1,16159.87,0.0,0.0,16159.87
WQ-005,2024-06,CRITICAL,4,16500.0,1.2,0.6667,2,17160.86,633.63,31.68,17129.18
WQ-006,2024-01,WATCH,1,250.0,1.15,0.6774,0,194.75,0.0,0.0,194.75
WQ-006,2024-02,WATCH,1,250.0,1.15,0.6897,0,198.29,0.0,0.0,198.29
WQ-006,2024-03,WATCH,1,250.0,1.15,0.6129,0,176.21,0.0,0.0,176.21
WQ-006,2024-04,WATCH,1,275.0,1.2,0.7,0,231.0,1323.01,46.2,184.8
WQ-006,2024-05,WATCH,1,275.0,1.2,0.7097,0,234.2,1939.54,46.84,187.36
WQ-006,2024-06,WATCH,1,275.0,1.2,0.6667,0,220.01,0.0,0.0,220.01
WQ-007,2024-01,WATCH,1,250.0,0.9,0.6774,0,152.42,0.0,0.0,152.42
WQ-007,2024-02,CRITICAL,4,15000.0,0.9,0.6897,0,9310.95,968.42,48.42,9262.53
WQ-007,2024-03,CRITICAL_REPEAT,5,50000.0,0.9,0.6452,1,33389.1,355.88,17.79,33371.31
WQ-007,2024-04,CRITICAL_REPEAT,5,55000.0,0.95,0.6667,2,45285.6,0.0,0.0,45285.6
WQ-007,2024-05,CRITICAL_REPEAT,5,55000.0,0.95,0.7097,3,53768.65,0.0,0.0,53768.65
WQ-007,2024-06,CRITICAL_REPEAT,5,55000.0,0.95,0.6667,4,55736.12,0.0,0.0,55736.12
WQ-008,2024-01,WATCH,1,250.0,0.9,0.6774,0,152.42,2011.54,30.48,121.94
WQ-008,2024-03,WATCH,1,250.0,0.9,0.6452,0,145.17,781.27,29.03,116.14
WQ-008,2024-04,WATCH,1,275.0,0.95,0.6667,0,174.18,0.0,0.0,174.18
WQ-008,2024-05,WATCH,1,275.0,0.95,0.7097,0,185.41,0.0,0.0,185.41
WQ-008,2024-06,WATCH,1,275.0,0.95,0.6667,0,174.18,3397.66,34.84,139.34
WQ-009,2024-05,WATCH,1,275.0,0.95,0.7097,0,185.41,2026.73,37.08,148.33
WQ-009,2024-06,WATCH,1,275.0,0.95,0.6667,0,174.18,2714.93,34.84,139.34
WQ-011,2024-01,CRITICAL,4,15000.0,0.9,0.6774,0,9144.9,2299.95,115.0,9029.9
WQ-011,2024-02,WATCH,1,250.0,0.9,0.6897,0,155.18,3884.3,31.04,124.14
WQ-011,2024-03,CRITICAL,4,15000.0,0.9,0.6452,0,8710.2,1210.44,60.52,8649.68
WQ-011,2024-04,CRITICAL,4,16500.0,0.95,0.6667,1,12018.1,0.0,0.0,12018.1
