region,quarter,station_count,active_stations,total_readings,valid_readings,avg_cqi,avg_rcs,violations_count,critical_count,total_net_penalties,compliance_rate
CENTRAL,1,6,6,436,421,98.17,98.08,2,2,46392.97,1.0
CENTRAL,2,6,6,441,430,95.78,97.48,5,5,165362.39,1.0
EAST,1,6,6,454,443,97.42,98.3,1,1,12469.81,1.0
EAST,2,6,6,434,418,95.67,97.39,1,1,15488.22,1.0
NORTH,1,6,6,431,425,97.74,98.54,0,0,2374.6,1.0
NORTH,2,6,6,428,417,92.69,96.15,4,4,95613.6,1.0
SOUTH,1,6,6,405,393,93.08,93.1,4,4,61220.76,0.6667
SOUTH,2,6,6,446,431,88.89,89.93,6,6,197562.21,0.8333
WEST,1,6,6,439,428,92.54,92.9,5,5,170948.42,0.8333
WEST,2,6,6,452,436,90.15,90.62,4,4,94998.24,0.8333
