station_id,month,readings_count,valid_readings_count,avg_pdi_ph,avg_pdi_turbidity,avg_pdi_chlorine,avg_pdi_lead,avg_pdi_coliform,cqi,rcs,violation_class,risk_trend,consecutive_violations,penalty_amount,maintenance_credit,net_penalty
WQ-001,2024-01,26,26,0.023462,0.098269,0.000192,0.022962,0.03,96.39,96.39,WATCH,NEW,0,194.75,0.0,194.75
WQ-001,2024-02,26,26,0.010385,0.145192,0.0,0.009077,0.152885,93.61,95.973,WATCH,DECLINING,0,198.29,39.66,158.63
WQ-001,2024-03,22,21,0.041905,0.050595,0.0,0.003762,0.12,95.85,95.955,WATCH,IMPROVING,0,176.21,0.0,176.21
WQ-001,2024-04,22,22,0.012727,0.15125,0.003409,0.035409,0.090909,93.85,95.639,CRITICAL,STABLE,0,13860.0,0.0,13860.0
WQ-001,2024-05,27,25,0.0264,0.1464,0.033,0.01388,0.087,94.02,95.396,WATCH,STABLE,0,234.2,0.0,234.2
WQ-001,2024-06,21,21,0.010476,0.189286,0.013095,0.032095,0.053571,93.83,95.161,WATCH,STABLE,0,220.01,0.0,220.01
WQ-002,2024-01,23,23,0.000435,0.0,0.0,0.0,0.014205,99.71,99.71,WATCH,NEW,0,194.75,38.95,155.8
WQ-002,2024-02,21,20,0.0005,0.0045,0.0,0.0,0.05,98.9,99.588,WATCH,STABLE,0,198.29,0.0,198.29
WQ-002,2024-03,27,26,0.01,0.023077,0.0,0.0,0.005435,99.28,99.542,WATCH,STABLE,0,176.21,0.0,176.21
WQ-002,2024-04,19,18,0.0,0.009444,0.0,0.0,0.017361,99.46,99.53,WATCH,STABLE,0,231.0,0.0,231.0
WQ-002,2024-05,22,22,0.0,0.044432,0.0,0.0,0.041667,98.28,99.342,WATCH,STABLE,0,234.2,0.0,234.2
WQ-002,2024-06,24,24,0.0,0.014479,0.0,0.0,0.013587,99.44,99.357,WATCH,STABLE,0,220.01,0.0,220.01
WQ-003,2024-01,26,26,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,NEW,0,0.0,0.0,0.0
WQ-003,2024-02,22,22,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,STABLE,0,0.0,0.0,0.0
WQ-003,2024-03,25,25,0.0,0.0,0.0,0.23374,0.222667,88.53,98.28,WATCH,DECLINING,0,176.21,0.0,176.21
WQ-003,2024-04,22,22,0.0,0.0,0.0,0.365205,0.239394,84.26,96.177,WATCH,DECLINING,0,231.0,46.2,184.8
WQ-003,2024-05,26,25,0.0,0.0,0.0,0.3483,0.211806,85.31,94.547,WATCH,STABLE,0,234.2,46.84,187.36
WQ-003,2024-06,24,23,0.0,0.0,0.0,0.370152,0.2525,83.85,92.942,WATCH,STABLE,0,220.01,44.0,176.01
WQ-004,2024-01,24,24,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,NEW,0,0.0,0.0,0.0
WQ-004,2024-02,20,20,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,STABLE,0,0.0,0.0,0.0
WQ-004,2024-03,24,23,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,STABLE,0,0.0,0.0,0.0
WQ-004,2024-04,27,27,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,STABLE,0,0.0,0.0,0.0
WQ-004,2024-05,23,23,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,STABLE,0,0.0,0.0,0.0
WQ-004,2024-06,22,22,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,STABLE,0,0.0,0.0,0.0
WQ-005,2024-01,27,26,0.003462,0.069135,0.013269,0.0,0.065,97.07,97.07,WATCH,NEW,0,194.75,0.0,194.75
WQ-005,2024-02,20,20,0.025,0.03425,0.0065,0.0082,0.075,97.1,97.074,WATCH,STABLE,0,198.29,0.0,198.29
WQ-005,2024-03,25,25,0.05,0.0443,0.0132,0.01948,0.067708,96.23,96.947,WATCH,STABLE,0,176.21,0.0,176.21
WQ-005,2024-04,26,26,0.007692,0.913269,0.003269,0.003269,0.099,79.49,89.964,CRITICAL_REPEAT,DECLINING,0,46200.0,15.21,46184.79
WQ-005,2024-05,22,19,0.027895,0.772237,0.027895,0.014053,0.092105,81.45,88.687,CRITICAL,STABLE,1,16159.87,0.0,16159.87
WQ-005,2024-06,24,23,0.013913,0.843913,0.020435,0.022043,0.086957,80.21,87.415,CRITICAL,STABLE,2,17160.86,31.68,17129.18
WQ-006,2024-01,23,23,0.0,0.013152,0.0,0.0,0.032609,99.08,99.08,WATCH,NEW,0,194.75,0.0,194.75
WQ-006,2024-02,24,23,0.003043,0.015978,0.0,0.004783,0.035714,98.78,99.035,WATCH,STABLE,0,198.29,0.0,198.29
WQ-006,2024-03,26,26,0.0,0.024615,0.0,0.005721,0.023438,98.87,99.01,WATCH,STABLE,0,176.21,0.0,176.21
WQ-006,2024-04,24,23,0.0,0.017717,0.0,0.030453,0.029891,98.13,98.878,WATCH,STABLE,0,231.0,46.2,184.8
WQ-006,2024-05,26,26,0.0,0.057115,0.0,0.0,0.015,98.56,98.83,WATCH,STABLE,0,234.2,46.84,187.36
WQ-006,2024-06,27,26,0.001154,0.067404,0.0,0.000433,0.016827,98.29,98.749,WATCH,STABLE,0,220.01,0.0,220.01
WQ-007,2024-01,23,23,0.016522,0.089891,0.008043,0.011652,0.064286,96.2,96.2,WATCH,NEW,0,152.42,0.0,152.42
WQ-007,2024-02,21,20,0.9105,0.97475,0.83025,0.0148,0.114474,51.66,51.66,CRITICAL,DECLINING,0,9310.95,48.42,9262.53
WQ-007,2024-03,26,26,0.976538,0.947885,0.801538,0.013346,0.046875,53.03,53.03,CRITICAL_REPEAT,STABLE,1,33389.1,17.79,33371.31
WQ-007,2024-04,26,24,0.955417,0.838438,0.814167,0.025417,0.115476,53.62,53.62,CRITICAL_REPEAT,STABLE,2,45285.6,0.0,45285.6
WQ-007,2024-05,26,26,0.925769,0.906827,0.858077,0.0,0.096154,53.18,53.18,CRITICAL_REPEAT,STABLE,3,53768.65,0.0,53768.65
WQ-007,2024-06,27,27,0.844444,0.937778,0.888889,0.012519,0.091346,53.04,53.04,CRITICAL_REPEAT,STABLE,4,55736.12,0.0,55736.12
WQ-008,2024-01,26,25,0.0,0.0203,0.0,0.0,0.029891,99.0,99.0,WATCH,NEW,0,152.42,30.48,121.94
WQ-008,2024-02,22,21,0.0,0.0,0.0,0.0,0.0,100.0,99.15,COMPLIANT,STABLE,0,0.0,0.0,0.0
WQ-008,2024-03,22,20,0.0,0.0,0.0,0.0,0.028125,99.44,99.194,WATCH,STABLE,0,145.17,29.03,116.14
WQ-008,2024-04,28,25,0.0,0.0079,0.0,0.0,0.020833,99.43,99.229,WATCH,STABLE,0,174.18,0.0,174.18
WQ-008,2024-05,27,26,0.0,0.005481,0.0,0.010577,0.03,98.97,99.19,WATCH,STABLE,0,185.41,0.0,185.41
WQ-008,2024-06,25,25,0.0,0.0103,0.0,0.0,0.01,99.59,99.25,WATCH,STABLE,0,174.18,34.84,139.34
WQ-009,2024-01,25,25,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,NEW,0,0.0,0.0,0.0
WQ-009,2024-02,24,23,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,STABLE,0,0.0,0.0,0.0
WQ-009,2024-03,0,0,,,,,,,95.0,NO_DATA,INSUFFICIENT,0,0.0,0.0,0.0
WQ-009,2024-04,26,24,0.0,0.0,0.0,0.0,0.0,100.0,95.75,COMPLIANT,STABLE,0,0.0,0.0,0.0
WQ-009,2024-05,27,26,0.0,0.0,0.0,0.001115,0.0,99.97,96.383,WATCH,STABLE,0,185.41,37.08,148.33
WQ-009,2024-06,28,27,0.0,0.004074,0.0,0.0,0.002667,99.87,96.906,WATCH,STABLE,0,174.18,34.84,139.34
