region,quarter,station_count,active_stations,total_readings,valid_readings,avg_cqi,avg_rcs,violations_count,critical_count,total_penalties,compliance_rate
NORTH,1,6,6,431,406,97.74,98.54,0,0,3737.5,1.0
NORTH,2,6,6,428,403,92.69,96.15,4,4,137940.0,1.0
SOUTH,1,6,6,405,380,93.08,93.1,4,4,93825.0,0.6667
SOUTH,2,6,6,446,418,88.89,89.93,6,6,290510.0,0.8333
EAST,1,6,6,454,419,97.42,98.3,1,1,19425.0,1.0
EAST,2,6,6,434,403,95.67,97.39,1,1,22385.0,1.0
WEST,1,6,6,439,414,92.54,92.9,5,5,256250.0,0.8333
WEST,2,6,6,452,425,90.15,90.62,4,4,137775.0,0.8333
CENTRAL,1,6,6,436,403,98.17,98.08,2,2,68000.0,1.0
CENTRAL,2,6,6,441,416,95.78,97.48,5,5,239085.0,1.0
