station_id,month,readings_count,valid_readings_count,avg_pdi_ph,avg_pdi_turbidity,avg_pdi_chlorine,avg_pdi_lead,avg_pdi_coliform,cqi,rcs,violation_class,consecutive_violations,penalty_amount
WQ-001,2024-01,26,25,0.023462,0.098269,0.000192,0.022962,0.03,96.39,96.39,WATCH,0,287.5
WQ-001,2024-02,26,26,0.010385,0.145192,0.0,0.009077,0.152885,93.61,95.973,WATCH,0,287.5
WQ-001,2024-03,22,20,0.041905,0.050595,0.0,0.003762,0.12,95.85,95.955,WATCH,0,287.5
WQ-001,2024-04,22,22,0.012727,0.15125,0.003409,0.035409,0.090909,93.85,95.639,CRITICAL,0,19800.0
WQ-001,2024-05,27,25,0.0264,0.1464,0.033,0.01388,0.087,94.02,95.396,WATCH,0,330.0
WQ-001,2024-06,21,21,0.010476,0.189286,0.013095,0.032095,0.053571,93.83,95.161,WATCH,0,330.0
WQ-002,2024-01,23,22,0.000435,0.0,0.0,0.0,0.014205,99.71,99.71,WATCH,0,287.5
WQ-002,2024-02,21,20,0.0005,0.0045,0.0,0.0,0.05,98.9,99.588,WATCH,0,287.5
WQ-002,2024-03,27,23,0.01,0.023077,0.0,0.0,0.005435,99.28,99.542,WATCH,0,287.5
WQ-002,2024-04,19,18,0.0,0.009444,0.0,0.0,0.017361,99.46,99.53,WATCH,0,330.0
WQ-002,2024-05,22,21,0.0,0.044432,0.0,0.0,0.041667,98.28,99.342,WATCH,0,330.0
WQ-002,2024-06,24,23,0.0,0.014479,0.0,0.0,0.013587,99.44,99.357,WATCH,0,330.0
WQ-003,2024-01,26,25,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,0,0.0
WQ-003,2024-02,22,20,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,0,0.0
WQ-003,2024-03,25,25,0.0,0.0,0.0,0.23374,0.222667,88.53,98.28,WATCH,0,287.5
WQ-003,2024-04,22,22,0.0,0.0,0.0,0.365205,0.239394,84.26,96.177,WATCH,0,330.0
WQ-003,2024-05,26,24,0.0,0.0,0.0,0.3483,0.211806,85.31,94.547,WATCH,0,330.0
WQ-003,2024-06,24,20,0.0,0.0,0.0,0.370152,0.2525,83.85,92.942,WATCH,0,330.0
WQ-004,2024-01,24,22,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,0,0.0
WQ-004,2024-02,20,19,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,0,0.0
WQ-004,2024-03,24,22,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,0,0.0
WQ-004,2024-04,27,26,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,0,0.0
WQ-004,2024-05,23,19,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,0,0.0
WQ-004,2024-06,22,21,0.0,0.0,0.0,0.0,0.0,100.0,100.0,COMPLIANT,0,0.0
WQ-005,2024-01,27,25,0.003462,0.069135,0.013269,0.0,0.065,97.07,97.07,WATCH,0,287.5
WQ-005,2024-02,20,20,0.025,0.03425,0.0065,0.0082,0.075,97.1,97.074,WATCH,0,287.5
WQ-005,2024-03,25,24,0.05,0.0443,0.0132,0.01948,0.067708,96.23,96.947,WATCH,0,287.5
WQ-005,2024-04,26,25,0.007692,0.913269,0.003269,0.003269,0.099,79.49,89.964,CRITICAL_REPEAT,0,66000.0
WQ-005,2024-05,22,19,0.027895,0.772237,0.027895,0.014053,0.092105,81.45,88.687,CRITICAL,1,22770.0
WQ-005,2024-06,24,23,0.013913,0.843913,0.020435,0.022043,0.086957,80.21,87.415,CRITICAL,2,25740.0
WQ-006,2024-01,23,23,0.0,0.013152,0.0,0.0,0.032609,99.08,99.08,WATCH,0,287.5
WQ-006,2024-02,24,21,0.003043,0.015978,0.0,0.004783,0.035714,98.78,99.035,WATCH,0,287.5
WQ-006,2024-03,26,24,0.0,0.024615,0.0,0.005721,0.023438,98.87,99.01,WATCH,0,287.5
WQ-006,2024-04,24,23,0.0,0.017717,0.0,0.030453,0.029891,98.13,98.878,WATCH,0,330.0
WQ-006,2024-05,26,25,0.0,0.057115,0.0,0.0,0.015,98.56,98.83,WATCH,0,330.0
WQ-006,2024-06,27,26,0.001154,0.067404,0.0,0.000433,0.016827,98.29,98.749,WATCH,0,330.0
WQ-007,2024-01,23,21,0.016522,0.089891,0.008043,0.011652,0.064286,96.2,96.2,WATCH,0,225.0
WQ-007,2024-02,21,19,0.9105,0.97475,0.83025,0.0148,0.114474,51.66,51.66,CRITICAL,0,13500.0
