inspection_id,station_id,inspection_date,inspector_id,result,deficiency_count,corrective_action_required
INS-0001,WQ-001,2024-05-06,INS-A,FAIL,4,YES
INS-0002,WQ-001,2024-06-09,INS-B,PASS,0,NO
INS-0003,WQ-002,2024-02-01,INS-E,FAIL,1,YES
INS-0004,WQ-002,2024-05-07,INS-E,PASS,0,NO
INS-0005,WQ-003,2024-01-09,INS-D,PASS,0,NO
INS-0006,WQ-003,2024-04-17,INS-C,PASS,0,NO
INS-0007,WQ-003,2024-05-11,INS-C,PASS,0,NO
INS-0008,WQ-004,2024-02-26,INS-D,PASS,0,NO
INS-0009,WQ-004,2024-03-17,INS-E,PASS,0,NO
INS-0010,WQ-004,2024-04-18,INS-D,PASS,0,NO
INS-0011,WQ-005,2024-02-16,INS-E,PASS,0,NO
INS-0012,WQ-005,2024-03-01,INS-B,FAIL,4,YES
INS-0013,WQ-005,2024-06-12,INS-D,PASS,0,NO
INS-0014,WQ-006,2024-03-06,INS-D,PASS,0,NO
INS-0015,WQ-006,2024-04-04,INS-D,PASS,0,NO
INS-0016,WQ-007,2024-02-22,INS-E,PASS,0,NO
INS-0017,WQ-007,2024-03-09,INS-D,FAIL,4,YES
INS-0018,WQ-007,2024-04-12,INS-E,PASS,0,NO
INS-0019,WQ-007,2024-06-22,INS-C,FAIL,4,YES
INS-0020,WQ-008,2024-01-05,INS-C,PASS,0,NO
INS-0021,WQ-008,2024-02-25,INS-C,PASS,0,NO
INS-0022,WQ-008,2024-03-12,INS-B,PASS,0,NO
INS-0023,WQ-008,2024-04-18,INS-E,PASS,0,NO
INS-0024,WQ-008,2024-05-24,INS-D,FAIL,4,YES
INS-0025,WQ-009,2024-05-11,INS-E,PASS,0,NO
INS-0026,WQ-009,2024-06-13,INS-C,PASS,0,NO
INS-0027,WQ-010,2024-01-15,INS-E,PASS,0,NO
INS-0028,WQ-010,2024-02-03,INS-E,PASS,0,NO
INS-0029,WQ-010,2024-06-11,INS-B,PASS,0,NO
INS-0030,WQ-011,2024-01-05,INS-C,PASS,0,NO
INS-0031,WQ-011,2024-02-11,INS-E,PASS,0,NO
INS-0032,WQ-011,2024-05-03,INS-A,PASS,0,NO
INS-0033,WQ-011,2024-06-15,INS-E,PASS,0,NO
INS-0034,WQ-012,2024-01-19,INS-A,PASS,0,NO
INS-0035,WQ-012,2024-04-03,INS-C,PASS,0,NO
INS-0036,WQ-013,2024-01-16,INS-A,PASS,0,NO
INS-0037,WQ-013,2024-03-01,INS-D,PASS,0,NO
INS-0038,WQ-013,2024-04-19,INS-E,PASS,0,NO
INS-0039,WQ-013,2024-05-05,INS-D,PASS,0,NO
INS-0040,WQ-013,2024-06-21,INS-A,PASS,0,NO
INS-0041,WQ-014,2024-02-10,INS-D,FAIL,4,YES
INS-0042,WQ-014,2024-03-16,INS-B,PASS,0,NO
INS-0043,WQ-014,2024-04-12,INS-E,PASS,0,NO
INS-0044,WQ-014,2024-05-20,INS-D,PASS,0,NO
INS-0045,WQ-015,2024-03-08,INS-C,PASS,0,NO
INS-0046,WQ-015,2024-04-15,INS-C,PASS,0,NO
INS-0047,WQ-016,2024-01-25,INS-E,PASS,0,NO
INS-0048,WQ-016,2024-03-16,INS-E,FAIL,1,YES
INS-0049,WQ-016,2024-04-15,INS-D,PASS,0,NO
INS-0050,WQ-016,2024-05-09,INS-E,FAIL,3,YES
INS-0051,WQ-016,2024-06-15,INS-B,PASS,0,NO
INS-0052,WQ-017,2024-02-26,INS-E,PASS,0,NO
INS-0053,WQ-017,2024-03-23,INS-A,PASS,0,NO
INS-0054,WQ-017,2024-04-12,INS-E,PASS,0,NO
INS-0055,WQ-017,2024-05-20,INS-C,PASS,0,NO
INS-0056,WQ-018,2024-02-01,INS-D,PASS,0,NO
INS-0057,WQ-018,2024-05-09,INS-A,FAIL,1,YES
INS-0058,WQ-019,2024-01-13,INS-B,FAIL,2,YES
INS-0059,WQ-019,2024-02-26,INS-D,PASS,0,NO
INS-0060,WQ-019,2024-04-18,INS-C,PASS,0,NO
INS-0061,WQ-019,2024-05-01,INS-C,PASS,0,NO
INS-0062,WQ-020,2024-02-16,INS-E,PASS,0,NO
INS-0063,WQ-020,2024-04-09,INS-B,PASS,0,NO
INS-0064,WQ-021,2024-01-04,INS-C,PASS,0,NO
INS-0065,WQ-021,2024-03-11,INS-E,PASS,0,NO
INS-0066,WQ-022,2024-02-19,INS-D,PASS,0,NO
INS-0067,WQ-022,2024-03-11,INS-B,PASS,0,NO
INS-0068,WQ-022,2024-04-03,INS-D,PASS,0,NO
INS-0069,WQ-022,2024-05-22,INS-E,PASS,0,NO
INS-0070,WQ-022,2024-06-22,INS-D,PASS,0,NO
INS-0071,WQ-023,2024-04-16,INS-B,PASS,0,NO
INS-0072,WQ-023,2024-05-13,INS-A,FAIL,3,YES
INS-0073,WQ-024,2024-01-15,INS-C,PASS,0,NO
INS-0074,WQ-024,2024-02-04,INS-D,PASS,0,NO
INS-0075,WQ-024,2024-04-03,INS-C,PASS,0,NO
INS-0076,WQ-025,2024-01-07,INS-E,PASS,0,NO
INS-0077,WQ-025,2024-02-13,INS-D,PASS,0,NO
INS-0078,WQ-025,2024-03-02,INS-B,FAIL,4,YES
