reading_id,station_id,sample_date,ph,turbidity_ntu,chlorine_mg_l,lead_ppb,coliform_count,flow_rate_lpm
R-00001,WQ-001,2024-01-01,7.08,0.33,1.38,5.73,1.0,294.3
R-00002,WQ-001,2024-01-02,7.25,0.03,1.52,0.11,0.0,323.2
R-00003,WQ-001,2024-01-03,6.97,1.04,1.81,0.92,2.0,229.3
R-00004,WQ-001,2024-01-04,7.86,0.01,0.88,2.07,0.0,203.4
R-00005,WQ-001,2024-01-07,7.51,0.65,1.71,1.51,0.0,213.0
R-00006,WQ-001,2024-01-08,7.43,0.07,1.62,0.01,0.0,164.3
R-00007,WQ-001,2024-01-09,7.43,1.51,2.01,2.14,1.0,187.7
R-00008,WQ-001,2024-01-10,6.97,0.56,1.39,0.43,2.0,336.0
R-00009,WQ-001,2024-01-12,7.34,2.65,1.47,3.83,1.0,252.3
R-00010,WQ-001,2024-01-13,7.1,0.76,1.92,2.7,2.0,202.6
R-00011,WQ-001,2024-01-15,7.63,0.84,1.5,,2.0,184.2
R-00012,WQ-001,2024-01-16,7.43,0.71,1.31,0.27,1.0,254.4
R-00013,WQ-001,2024-01-17,7.61,2.98,1.83,1.45,1.0,166.9
R-00014,WQ-001,2024-01-18,7.46,0.15,1.31,1.59,2.0,167.3
R-00015,WQ-001,2024-01-19,6.98,1.13,0.99,0.03,0.0,222.2
R-00016,WQ-001,2024-01-20,7.43,0.77,1.32,0.94,1.0,206.5
R-00017,WQ-001,2024-01-21,7.39,0.69,1.55,0.98,2.0,306.7
R-00018,WQ-001,2024-01-22,6.61,0.01,1.61,0.15,1.0,168.9
R-00019,WQ-001,2024-01-23,7.31,1.3,1.73,0.66,0.0,237.4
R-00020,WQ-001,2024-01-25,7.38,1.11,1.34,4.66,,213.1
R-00021,WQ-001,2024-01-26,7.3,2.41,1.45,1.7,1.0,110.4
R-00022,WQ-001,2024-01-27,7.07,0.05,0.66,4.37,1.0,288.5
R-00023,WQ-001,2024-01-28,7.06,0.07,1.59,8.63,1.0,257.7
R-00024,WQ-001,2024-01-29,7.06,0.44,1.38,1.26,0.0,199.8
R-00025,WQ-001,2024-01-30,7.41,0.2,1.34,6.61,0.0,203.5
R-00026,WQ-001,2024-01-31,7.5,0.48,1.98,4.63,0.0,290.8
R-00027,WQ-001,2024-02-01,6.56,0.7,1.29,0.16,5.0,104.4
R-00028,WQ-001,2024-02-02,,0.76,1.78,4.02,0.0,193.4
R-00029,WQ-001,2024-02-03,7.17,0.43,2.0,0.64,0.0,213.0
R-00030,WQ-001,2024-02-04,7.29,0.48,0.95,2.23,1.0,226.8
R-00031,WQ-001,2024-02-06,7.51,0.41,1.57,,0.0,232.3
R-00032,WQ-001,2024-02-07,7.61,0.46,1.39,1.44,2.0,235.9
R-00033,WQ-001,2024-02-08,7.12,3.13,0.83,1.36,1.0,134.8
R-00034,WQ-001,2024-02-09,7.4,0.34,1.47,2.2,0.0,247.8
R-00035,WQ-001,2024-02-10,6.77,0.36,1.42,1.4,2.0,165.0
R-00036,WQ-001,2024-02-11,7.26,0.19,1.39,1.93,1.0,84.9
R-00037,WQ-001,2024-02-12,,0.47,1.53,1.52,0.0,162.2
R-00038,WQ-001,2024-02-13,6.77,0.91,1.5,0.18,1.0,274.0
R-00039,WQ-001,2024-02-14,6.63,3.44,1.88,1.86,0.0,167.5
R-00040,WQ-001,2024-02-15,7.05,3.23,1.4,6.98,3.0,154.6
R-00041,WQ-001,2024-02-16,7.48,0.17,1.2,0.78,1.0,118.6
R-00042,WQ-001,2024-02-17,7.21,0.04,1.16,0.13,7.0,180.8
R-00043,WQ-001,2024-02-18,6.67,2.12,1.09,3.55,5.0,218.6
R-00044,WQ-001,2024-02-19,7.02,1.27,1.3,0.36,3.0,178.4
R-00045,WQ-001,2024-02-20,7.0,0.29,0.61,2.75,1.0,216.3
R-00046,WQ-001,2024-02-21,7.13,0.33,1.64,1.94,1.0,179.2
R-00047,WQ-001,2024-02-22,7.65,1.67,1.66,0.84,3.0,186.5
R-00048,WQ-001,2024-02-23,6.91,0.63,1.19,0.4,4.0,137.8
R-00049,WQ-001,2024-02-24,7.14,1.65,1.52,5.38,1.0,224.1
R-00050,WQ-001,2024-02-27,7.27,0.1,1.52,,1.0,254.7
R-00051,WQ-001,2024-02-28,7.13,0.34,1.75,2.68,1.0,187.0
R-00052,WQ-001,2024-02-29,6.75,0.8,1.39,0.18,9.0,144.7
R-00053,WQ-001,2024-03-01,7.97,0.05,1.06,2.99,1.0,67.5
R-00054,WQ-001,2024-03-02,7.53,0.25,1.06,0.05,0.0,287.6
R-00055,WQ-001,2024-03-03,7.23,0.16,1.45,2.12,0.0,188.0
R-00056,WQ-001,2024-03-04,7.09,1.81,1.63,1.09,3.0,137.4
R-00057,WQ-001,2024-03-05,7.57,0.46,0.63,0.7,4.0,
R-00058,WQ-001,2024-03-06,7.32,0.62,0.96,0.3,,237.2
R-00059,WQ-001,2024-03-07,6.71,0.65,1.72,2.11,3.0,212.8
R-00060,WQ-001,2024-03-08,7.49,0.04,1.71,0.17,1.0,163.7
R-00061,WQ-001,2024-03-09,7.82,2.21,1.38,2.64,0.0,171.2
R-00062,WQ-001,2024-03-10,7.24,0.55,1.25,0.57,3.0,290.6
R-00063,WQ-001,2024-03-12,7.18,0.16,1.75,1.56,3.0,240.8
R-00064,WQ-001,2024-03-15,7.39,0.98,1.83,0.07,2.0,206.7
R-00065,WQ-001,2024-03-17,6.78,0.1,1.7,0.16,2.0,262.8
R-00066,WQ-001,2024-03-19,6.93,0.21,1.79,3.21,9.0,202.4
R-00067,WQ-001,2024-03-21,6.7,1.07,0.8,,0.0,132.8
R-00068,WQ-001,2024-03-22,6.92,0.91,1.89,5.79,1.0,189.3
R-00069,WQ-001,2024-03-23,6.73,0.16,1.53,0.5,0.0,168.1
R-00070,WQ-001,2024-03-24,7.56,1.14,1.17,3.38,0.0,223.6
R-00071,WQ-001,2024-03-25,7.36,0.64,1.93,0.18,1.0,131.0
R-00072,WQ-001,2024-03-27,6.98,0.52,1.98,0.85,2.0,217.2
R-00073,WQ-001,2024-03-29,7.35,0.91,1.84,1.93,2.0,191.6
R-00074,WQ-001,2024-03-30,7.24,0.27,1.58,2.0,0.0,202.3
R-00075,WQ-001,2024-04-01,7.38,0.09,1.57,5.54,2.0,190.7
R-00076,WQ-001,2024-04-05,7.08,0.11,2.13,2.3,1.0,196.7
R-00077,WQ-001,2024-04-06,7.54,0.26,2.02,6.03,0.0,232.5
R-00078,WQ-001,2024-04-08,7.17,0.19,1.53,0.92,3.0,188.5
R-00079,WQ-001,2024-04-10,6.92,0.03,1.63,5.07,1.0,195.5
R-00080,WQ-001,2024-04-11,,0.7,1.84,0.74,1.0,167.4
R-00081,WQ-001,2024-04-12,7.31,0.03,1.69,,0.0,199.8
R-00082,WQ-001,2024-04-13,6.85,0.35,1.1,1.68,2.0,185.9
R-00083,WQ-001,2024-04-14,7.74,1.64,1.64,2.5,2.0,252.5
R-00084,WQ-001,2024-04-15,7.04,1.05,1.24,4.11,0.0,175.8
R-00085,WQ-001,2024-04-16,6.92,4.49,1.8,7.36,2.0,230.7
R-00086,WQ-001,2024-04-17,6.89,0.44,1.01,8.79,0.0,126.8
