zone_tier,parameter,caution_limit,violation_limit,critical_limit
1,ph,7.5,8.0,8.5
2,ph,8.0,8.5,9.0
3,ph,8.5,9.0,9.5
4,ph,9.0,9.5,10.0
1,turbidity_ntu,1.0,2.0,4.0
2,turbidity_ntu,2.0,4.0,6.0
3,turbidity_ntu,4.0,6.0,10.0
4,turbidity_ntu,5.0,8.0,15.0
1,chlorine_mg_l,2.0,3.0,4.0
2,chlorine_mg_l,2.5,3.5,4.5
3,chlorine_mg_l,3.0,4.0,5.0
4,chlorine_mg_l,3.5,4.5,6.0
1,lead_ppb,5.0,10.0,15.0
2,lead_ppb,8.0,12.0,18.0
3,lead_ppb,10.0,15.0,25.0
4,lead_ppb,12.0,20.0,30.0
1,coliform_count,1.0,5.0,10.0
2,coliform_count,2.0,10.0,20.0
3,coliform_count,5.0,20.0,50.0
4,coliform_count,10.0,40.0,80.0
