tenant_id,tier_id,billing_period,total_requests,total_tokens,overage_requests,overage_tokens,base_cost,overage_cost,penalty_cost,total_due,violation_count
T001,FREE,2025-01-01 to 2025-01-03,32,21508,0,9367,0.0,0.0,254.57,254.57,20
T002,FREE,2025-01-01 to 2025-01-03,18,16299,0,3707,0.0,0.0,0.0,0.0,3
T003,FREE,2025-01-01 to 2025-01-03,15,12477,0,1440,0.0,0.0,0.0,0.0,3
T004,FREE,2025-01-01 to 2025-01-03,15,12295,0,0,0.0,0.0,0.0,0.0,0
T005,STARTER,2025-01-01 to 2025-01-03,15,18234,0,0,0.97,0.0,0.0,0.97,0
T006,STARTER,2025-01-01 to 2025-01-03,15,23036,0,0,0.97,0.0,0.0,0.97,0
T007,STARTER,2025-01-01 to 2025-01-03,97,294753,0,240349,0.97,0.48,6578.84,6580.29,60
T008,STARTER,2025-01-01 to 2025-01-03,15,23040,0,0,0.97,0.0,0.0,0.97,0
T009,STARTER,2025-01-01 to 2025-01-03,15,37285,0,0,0.97,0.0,0.0,0.97,0
T010,PROFESSIONAL,2025-01-01 to 2025-01-03,16,13748,0,0,4.84,0.0,0.0,4.84,0
T011,PROFESSIONAL,2025-01-01 to 2025-01-03,330,1494423,20,1334898,4.84,2.01,80524.17,80531.02,280
T012,PROFESSIONAL,2025-01-01 to 2025-01-03,15,12306,0,0,4.84,0.0,0.0,4.84,0
T013,PROFESSIONAL,2025-01-01 to 2025-01-03,15,12346,0,0,4.84,0.0,0.0,4.84,0
T014,PROFESSIONAL,2025-01-01 to 2025-01-03,15,12301,0,0,4.84,0.0,0.0,4.84,0
T015,BUSINESS,2025-01-01 to 2025-01-03,21,85771,0,0,19.36,0.0,0.0,19.36,0
T016,BUSINESS,2025-01-01 to 2025-01-03,15,25225,0,0,19.36,0.0,0.0,19.36,0
T017,BUSINESS,2025-01-01 to 2025-01-03,15,38811,0,0,19.36,0.0,0.0,19.36,0
T018,BUSINESS,2025-01-01 to 2025-01-03,15,9763,0,0,19.36,0.0,0.0,19.36,0
T019,ENTERPRISE,2025-01-01 to 2025-01-03,17,17431,0,0,96.8,0.0,0.0,96.8,0
T020,ENTERPRISE,2025-01-01 to 2025-01-03,15,9975,0,0,96.8,0.0,0.0,96.8,0
