request_id,tenant_id,endpoint_id,timestamp,effective_tokens,cost_multiplier,effective_cost,quota_bucket,hourly_count,daily_count,daily_tokens,within_limit,throttle_reason,billable
R00000001,T0022,POST:/api/v1/batch,2025-01-01 00:01:16,573,8.0,4584.0,2025-01-01,1,1,573,YES,,YES
R00000002,T0028,POST:/api/v1/reports/generate,2025-01-01 00:04:56,1495,10.0,14950.0,2025-01-01,1,1,1495,YES,,YES
R00000003,T0054,GET:/api/v1/search,2025-01-01 00:15:27,359,3.0,1077.0,2025-01-01,1,1,359,YES,,YES
R00000005,T0023,POST:/api/v1/batch,2025-01-01 00:20:26,740,8.0,5920.0,2025-01-01,1,1,740,YES,,YES
R00000004,T0060,POST:/api/v1/webhooks,2025-01-01 00:20:57,37,2.0,74.0,2025-01-01,1,1,37,YES,,YES
R00000006,T0016,GET:/api/v1/config,2025-01-01 00:24:51,0,0.5,0.0,2025-01-01,1,1,0,YES,,NO
R00000008,T0051,POST:/api/v1/batch,2025-01-01 00:28:02,603,8.0,4824.0,2025-01-01,1,1,603,YES,,YES
R00000007,T0048,POST:/api/v1/webhooks,2025-01-01 00:28:26,55,2.0,110.0,2025-01-01,1,1,55,YES,,YES
R00000009,T0059,GET:/api/v1/reports,2025-01-01 00:30:50,237,4.0,948.0,2025-01-01,1,1,237,YES,,YES
R00000010,T0013,GET:/api/v1/search,2025-01-01 00:32:04,133,3.0,399.0,2025-01-01,1,1,133,YES,,YES
R00000011,T0033,GET:/api/v1/search,2025-01-01 00:34:34,0,3.0,0.0,2025-01-01,1,1,0,YES,,NO
R00000012,T0017,GET:/api/v1/users/{id},2025-01-01 00:35:16,3,1.0,3.0,2025-01-01,1,1,3,YES,,NO
R00000013,T0051,DELETE:/api/v1/users/{id},2025-01-01 00:40:32,23,2.0,46.0,2025-01-01,2,2,626,YES,,YES
R00000014,T0046,POST:/api/v1/search/advanced,2025-01-01 00:41:51,491,5.0,2455.0,2025-01-01,1,1,491,YES,,YES
R00000015,T0005,POST:/api/v1/webhooks,2025-01-01 00:50:39,104,2.0,208.0,2025-01-01,1,1,104,YES,,NO
R00000016,T0020,GET:/api/v1/reports,2025-01-01 00:55:20,227,4.0,908.0,2025-01-01,1,1,227,YES,,YES
R00000017,T0013,GET:/api/v1/search,2025-01-01 00:55:43,198,3.0,594.0,2025-01-01,2,2,331,YES,,NO
R00000018,T0020,GET:/api/v1/search,2025-01-01 00:56:19,87,3.0,261.0,2025-01-01,2,2,314,YES,,YES
R00000019,T0039,GET:/api/v1/analytics,2025-01-01 00:58:28,300,5.0,1500.0,2025-01-01,1,1,300,YES,,YES
R00000020,T0051,POST:/api/v1/batch,2025-01-01 01:03:18,2567,8.0,20536.0,2025-01-01,1,3,3193,YES,,YES
R00000022,T0031,GET:/api/v1/analytics,2025-01-01 01:05:29,309,5.0,1545.0,2025-01-01,1,1,309,YES,,YES
R00000021,T0049,PUT:/api/v1/users/{id},2025-01-01 01:05:51,11,2.0,22.0,2025-01-01,1,1,11,YES,,YES
R00000023,T0025,POST:/api/v1/search/advanced,2025-01-01 01:08:41,491,5.0,2455.0,2025-01-01,1,1,491,YES,,YES
R00000024,T0015,GET:/api/v1/users/{id},2025-01-01 01:09:33,8,1.0,8.0,2025-01-01,1,1,8,YES,,NO
R00000025,T0008,POST:/api/v1/search/advanced,2025-01-01 01:17:42,1173,5.0,5865.0,2025-01-01,1,1,1173,YES,,YES
R00000026,T0058,GET:/api/v1/reports,2025-01-01 01:25:57,135,4.0,540.0,2025-01-01,1,1,135,YES,,YES
R00000028,T0034,GET:/api/v1/reports,2025-01-01 01:26:28,395,4.0,1580.0,2025-01-01,1,1,395,YES,,YES
R00000027,T0048,GET:/api/v1/config,2025-01-01 01:26:48,8,0.5,4.0,2025-01-01,1,2,63,YES,,NO
R00000029,T0022,DELETE:/api/v1/users/{id},2025-01-01 01:29:08,10,2.0,20.0,2025-01-01,1,2,583,YES,,YES
R00000030,T0046,PUT:/api/v1/users/{id},2025-01-01 01:29:21,38,2.0,76.0,2025-01-01,1,2,529,YES,,YES
R00000031,T0054,POST:/api/v1/search/advanced,2025-01-01 01:30:37,355,5.0,1775.0,2025-01-01,1,2,714,YES,,NO
R00000032,T0049,POST:/api/v1/reports/generate,2025-01-01 01:32:22,2182,10.0,21820.0,2025-01-01,2,2,2193,YES,,YES
R00000033,T0054,POST:/api/v1/search/advanced,2025-01-01 01:39:34,618,5.0,3090.0,2025-01-01,2,3,1332,YES,,YES
R00000034,T0018,POST:/api/v1/search/advanced,2025-01-01 01:45:21,574,5.0,2870.0,2025-01-01,1,1,574,YES,,YES
R00000035,T0054,POST:/api/v1/search/advanced,2025-01-01 01:46:39,438,5.0,2190.0,2025-01-01,3,4,1770,YES,,YES
R00000036,T0043,GET:/api/v1/users,2025-01-01 01:53:08,12,1.0,12.0,2025-01-01,1,1,12,YES,,YES
R00000037,T0025,DELETE:/api/v1/users/{id},2025-01-01 01:53:21,13,2.0,26.0,2025-01-01,2,2,504,YES,,YES
R00000038,T0054,POST:/api/v1/search/advanced,2025-01-01 01:53:30,399,5.0,1995.0,2025-01-01,4,5,2169,YES,,YES
R00000039,T0023,PUT:/api/v1/users/{id},2025-01-01 01:56:41,19,2.0,38.0,2025-01-01,1,2,759,YES,,YES
R00000040,T0013,GET:/api/v1/health,2025-01-01 01:58:15,1,0.1,0.1,2025-01-01,1,3,332,YES,,NO
R00000041,T0014,POST:/api/v1/search/advanced,2025-01-01 02:04:23,646,5.0,3230.0,2025-01-01,1,1,646,YES,,YES
R00000042,T0011,POST:/api/v1/webhooks,2025-01-01 02:05:01,80,2.0,160.0,2025-01-01,1,1,80,YES,,YES
R00000043,T0046,GET:/api/v1/users/{id},2025-01-01 02:06:53,3,1.0,3.0,2025-01-01,1,3,532,YES,,YES
R00000044,T0020,GET:/api/v1/health,2025-01-01 02:15:07,1,0.1,0.1,2025-01-01,1,3,315,YES,,NO
R00000045,T0028,GET:/api/v1/analytics,2025-01-01 02:16:41,208,5.0,1040.0,2025-01-01,1,2,1703,YES,,YES
R00000046,T0007,POST:/api/v1/search/advanced,2025-01-01 02:22:57,844,5.0,4220.0,2025-01-01,1,1,844,YES,,YES
R00000047,T0047,GET:/api/v1/reports,2025-01-01 02:27:39,109,4.0,436.0,2025-01-01,1,1,109,YES,,YES
R00000048,T0053,POST:/api/v1/batch,2025-01-01 02:27:54,788,8.0,6304.0,2025-01-01,1,1,788,YES,,YES
R00000049,T0029,PUT:/api/v1/users/{id},2025-01-01 02:32:39,86,2.0,172.0,2025-01-01,1,1,86,YES,,YES
R00000050,T0055,DELETE:/api/v1/users/{id},2025-01-01 02:36:22,17,2.0,34.0,2025-01-01,1,1,17,YES,,YES
R00000051,T0039,POST:/api/v1/batch,2025-01-01 02:49:00,903,8.0,7224.0,2025-01-01,1,2,1203,YES,,YES
R00000052,T0047,POST:/api/v1/search/advanced,2025-01-01 02:51:15,1105,5.0,5525.0,2025-01-01,2,2,1214,YES,,YES
R00000053,T0002,POST:/api/v1/users,2025-01-01 02:54:44,57,2.0,114.0,2025-01-01,1,1,57,YES,,YES
R00000054,T0034,GET:/api/v1/search,2025-01-01 02:57:35,0,3.0,0.0,2025-01-01,1,2,395,YES,,NO
R00000055,T0017,PUT:/api/v1/users/{id},2025-01-01 03:01:20,21,2.0,42.0,2025-01-01,1,2,24,YES,,YES
R00000056,T0048,GET:/api/v1/reports,2025-01-01 03:03:48,197,4.0,788.0,2025-01-01,1,3,260,YES,,YES
R00000057,T0054,GET:/api/v1/users/{id},2025-01-01 03:05:11,10,1.0,10.0,2025-01-01,1,6,2179,YES,,YES
R00000058,T0004,GET:/api/v1/reports,2025-01-01 03:06:08,201,4.0,804.0,2025-01-01,1,1,201,YES,,YES
R00000059,T0001,POST:/api/v1/reports/generate,2025-01-01 03:07:28,1774,10.0,17740.0,2025-01-01,1,1,1774,YES,,YES
R00000060,T0056,GET:/api/v1/reports,2025-01-01 03:09:25,235,4.0,940.0,2025-01-01,1,1,235,YES,,YES
R00000061,T0052,POST:/api/v1/reports/generate,2025-01-01 03:10:15,1328,10.0,13280.0,2025-01-01,1,1,1328,YES,,YES
R00000062,T0051,GET:/api/v1/analytics,2025-01-01 03:14:24,211,5.0,1055.0,2025-01-01,1,4,3404,YES,,YES
R00000063,T0038,POST:/api/v1/ai/image,2025-01-01 03:17:39,13592,20.0,271840.0,2025-01-01,1,1,13592,YES,,YES
R00000064,T0014,POST:/api/v1/reports/generate,2025-01-01 03:22:05,3562,10.0,35620.0,2025-01-01,1,2,4208,YES,,YES
R00000066,T0046,DELETE:/api/v1/users/{id},2025-01-01 03:23:04,23,2.0,46.0,2025-01-01,1,4,555,YES,,YES
R00000065,T0011,GET:/api/v1/users,2025-01-01 03:23:38,6,1.0,6.0,2025-01-01,1,2,86,YES,,YES
R00000067,T0041,POST:/api/v1/reports/generate,2025-01-01 03:25:12,1719,10.0,17190.0,2025-01-01,1,1,1719,YES,,YES
R00000068,T0059,DELETE:/api/v1/users/{id},2025-01-01 03:31:03,18,2.0,36.0,2025-01-01,1,2,255,YES,,YES
R00000069,T0053,POST:/api/v1/reports/generate,2025-01-01 03:33:07,2070,10.0,20700.0,2025-01-01,1,2,2858,YES,,YES
R00000070,T0018,GET:/api/v1/reports,2025-01-01 03:34:05,253,4.0,1012.0,2025-01-01,1,2,827,YES,,YES
R00000071,T0039,PUT:/api/v1/users/{id},2025-01-01 03:41:43,28,2.0,56.0,2025-01-01,1,3,1231,YES,,YES
