tenant_id,tier_id,quota_bucket,request_count,tokens_consumed,total_cost,request_limit,token_limit,request_pct,token_pct,quota_used_pct,status,violation_count,overage_requests,overage_tokens
T0001,FREE,2025-01-01,32,13982,115478.1,1000,10000,3.2,139.82,139.82,OVERAGE,10,0,3982
T0001,FREE,2025-01-02,32,4140,20415.4,1000,10000,3.2,41.4,41.4,NORMAL,0,0,0
T0001,FREE,2025-01-03,56,18272,140954.8,1000,10000,5.6,182.72,182.72,THROTTLED,31,0,8272
T0002,FREE,2025-01-01,34,9517,75024.9,1000,10000,3.4,95.17,95.17,WARNING,0,0,0
T0002,FREE,2025-01-02,38,22542,197187.8,1000,10000,3.8,225.42,225.42,OVERAGE,10,0,12542
T0002,FREE,2025-01-03,35,10554,92717.7,1000,10000,3.5,105.54,105.54,OVERAGE,4,0,554
T0003,FREE,2025-01-01,32,8608,53898.6,1000,10000,3.2,86.08,86.08,WARNING,0,0,0
T0003,FREE,2025-01-02,39,14160,117829.4,1000,10000,3.9,141.6,141.6,THROTTLED,14,0,4160
T0003,FREE,2025-01-03,28,9819,73327.1,1000,10000,2.8,98.19,98.19,WARNING,0,0,0
T0004,FREE,2025-01-01,40,9865,73545.6,1000,10000,4.0,98.65,98.65,WARNING,0,0,0
T0004,FREE,2025-01-02,36,15124,198013.6,1000,10000,3.6,151.24,151.24,THROTTLED,25,0,5124
T0004,FREE,2025-01-03,40,15602,130718.4,1000,10000,4.0,156.02,156.02,THROTTLED,11,0,5602
T0005,FREE,2025-01-01,36,13501,119256.4,1000,10000,3.6,135.01,135.01,THROTTLED,15,0,3501
T0005,FREE,2025-01-02,34,30662,272685.1,1000,10000,3.4,306.62,306.62,THROTTLED,19,0,20662
T0005,FREE,2025-01-03,30,15458,126953.5,1000,10000,3.0,154.58,154.58,THROTTLED,11,0,5458
T0006,FREE,2025-01-01,45,11069,88226.6,1000,10000,4.5,110.69,110.69,OVERAGE,8,0,1069
T0006,FREE,2025-01-02,49,6916,47297.8,1000,10000,4.9,69.16,69.16,NORMAL,0,0,0
T0006,FREE,2025-01-03,38,17144,137810.1,1000,10000,3.8,171.44,171.44,THROTTLED,17,0,7144
T0007,FREE,2025-01-01,38,13072,93164.8,1000,10000,3.8,130.72,130.72,OVERAGE,6,0,3072
T0007,FREE,2025-01-02,50,14116,102830.9,1000,10000,5.0,141.16,141.16,THROTTLED,22,0,4116
T0007,FREE,2025-01-03,40,10777,66552.0,1000,10000,4.0,107.77,107.77,OVERAGE,2,0,777
T0008,FREE,2025-01-01,38,20269,163618.2,1000,10000,3.8,202.69,202.69,THROTTLED,21,0,10269
T0008,FREE,2025-01-02,30,8340,65192.1,1000,10000,3.0,83.4,83.4,WARNING,0,0,0
T0008,FREE,2025-01-03,22,2963,13549.5,1000,10000,2.2,29.63,29.63,NORMAL,0,0,0
T0009,FREE,2025-01-01,36,21722,179999.6,1000,10000,3.6,217.22,217.22,THROTTLED,15,0,11722
T0009,FREE,2025-01-02,43,12242,92628.8,1000,10000,4.3,122.42,122.42,THROTTLED,17,0,2242
T0009,FREE,2025-01-03,38,16052,121222.7,1000,10000,3.8,160.52,160.52,THROTTLED,18,0,6052
T0010,FREE,2025-01-01,36,11580,88447.7,1000,10000,3.6,115.8,115.8,THROTTLED,11,0,1580
T0010,FREE,2025-01-02,42,19932,148743.1,1000,10000,4.2,199.32,199.32,THROTTLED,26,0,9932
T0010,FREE,2025-01-03,47,11739,78299.9,1000,10000,4.7,117.39,117.39,THROTTLED,11,0,1739
T0011,FREE,2025-01-01,39,13877,108949.6,1000,10000,3.9,138.77,138.77,THROTTLED,15,0,3877
T0011,FREE,2025-01-02,52,11351,81013.0,1000,10000,5.2,113.51,113.51,OVERAGE,10,0,1351
T0011,FREE,2025-01-03,44,20638,172839.3,1000,10000,4.4,206.38,206.38,THROTTLED,21,0,10638
T0012,FREE,2025-01-01,23,10152,75410.8,1000,10000,2.3,101.52,101.52,OVERAGE,5,0,152
T0012,FREE,2025-01-02,39,9529,65243.2,1000,10000,3.9,95.29,95.29,WARNING,0,0,0
T0012,FREE,2025-01-03,35,8698,69551.8,1000,10000,3.5,86.98,86.98,WARNING,0,0,0
T0013,FREE,2025-01-01,51,22093,179376.0,1000,10000,5.1,220.93,220.93,THROTTLED,26,0,12093
T0013,FREE,2025-01-02,34,6641,52358.9,1000,10000,3.4,66.41,66.41,NORMAL,0,0,0
T0013,FREE,2025-01-03,34,11585,86829.2,1000,10000,3.4,115.85,115.85,OVERAGE,2,0,1585
T0014,FREE,2025-01-01,38,9722,71843.1,1000,10000,3.8,97.22,97.22,WARNING,0,0,0
T0014,FREE,2025-01-02,43,15104,122262.4,1000,10000,4.3,151.04,151.04,OVERAGE,6,0,5104
T0014,FREE,2025-01-03,35,15658,126453.2,1000,10000,3.5,156.58,156.58,THROTTLED,19,0,5658
T0015,FREE,2025-01-01,32,14175,120489.1,1000,10000,3.2,141.75,141.75,OVERAGE,8,0,4175
T0015,FREE,2025-01-02,48,28711,242447.5,1000,10000,4.8,287.11,287.11,THROTTLED,33,0,18711
T0015,FREE,2025-01-03,36,13508,96077.7,1000,10000,3.6,135.08,135.08,THROTTLED,12,0,3508
T0016,FREE,2025-01-01,35,11200,91789.1,1000,10000,3.5,112.0,112.0,OVERAGE,2,0,1200
T0016,FREE,2025-01-02,53,22789,175757.1,1000,10000,5.3,227.89,227.89,THROTTLED,30,0,12789
T0016,FREE,2025-01-03,40,8937,57438.8,1000,10000,4.0,89.37,89.37,WARNING,0,0,0
T0017,FREE,2025-01-01,25,6383,46354.7,1000,10000,2.5,63.83,63.83,NORMAL,0,0,0
T0017,FREE,2025-01-02,43,14051,116453.3,1000,10000,4.3,140.51,140.51,OVERAGE,8,0,4051
T0017,FREE,2025-01-03,53,24423,241817.9,1000,10000,5.3,244.23,244.23,THROTTLED,46,0,14423
T0018,FREE,2025-01-01,39,14727,111491.4,1000,10000,3.9,147.27,147.27,THROTTLED,15,0,4727
T0018,FREE,2025-01-02,42,9777,77479.7,1000,10000,4.2,97.77,97.77,WARNING,0,0,0
T0018,FREE,2025-01-03,46,18171,145846.5,1000,10000,4.6,181.71,181.71,THROTTLED,17,0,8171
T0019,FREE,2025-01-01,38,14140,116458.3,1000,10000,3.8,141.4,141.4,THROTTLED,12,0,4140
T0019,FREE,2025-01-02,42,12163,96295.2,1000,10000,4.2,121.63,121.63,THROTTLED,12,0,2163
T0019,FREE,2025-01-03,30,6119,47863.4,1000,10000,3.0,61.19,61.19,NORMAL,0,0,0
T0020,FREE,2025-01-01,45,11650,81802.2,1000,10000,4.5,116.5,116.5,THROTTLED,11,0,1650
T0020,FREE,2025-01-02,40,14714,109340.6,1000,10000,4.0,147.14,147.14,THROTTLED,15,0,4714
T0020,FREE,2025-01-03,36,14151,111954.1,1000,10000,3.6,141.51,141.51,THROTTLED,15,0,4151
T0021,FREE,2025-01-01,37,9104,64418.5,1000,10000,3.7,91.04,91.04,WARNING,0,0,0
T0021,FREE,2025-01-02,43,16067,125774.6,1000,10000,4.3,160.67,160.67,THROTTLED,18,0,6067
T0021,FREE,2025-01-03,505,2562746,38292672.0,1000,10000,50.5,25627.46,25627.46,THROTTLED,503,0,2552746
T0022,FREE,2025-01-01,29,4437,26357.7,1000,10000,2.9,44.37,44.37,NORMAL,0,0,0
T0022,FREE,2025-01-02,40,3827,19775.9,1000,10000,4.0,38.27,38.27,NORMAL,0,0,0
T0022,FREE,2025-01-03,39,14796,132956.2,1000,10000,3.9,147.96,147.96,THROTTLED,19,0,4796
T0023,FREE,2025-01-01,47,13922,104142.9,1000,10000,4.7,139.22,139.22,THROTTLED,11,0,3922
T0023,FREE,2025-01-02,27,13305,108658.0,1000,10000,2.7,133.05,133.05,OVERAGE,1,0,3305
T0023,FREE,2025-01-03,35,14969,118084.0,1000,10000,3.5,149.69,149.69,OVERAGE,10,0,4969
T0024,FREE,2025-01-01,50,10990,81402.1,1000,10000,5.0,109.9,109.9,THROTTLED,14,0,990
T0024,FREE,2025-01-02,32,16482,139314.9,1000,10000,3.2,164.82,164.82,OVERAGE,10,0,6482
T0024,FREE,2025-01-03,41,9465,77854.3,1000,10000,4.1,94.65,94.65,WARNING,0,0,0
T0025,FREE,2025-01-01,34,11224,71685.4,1000,10000,3.4,112.24,112.24,OVERAGE,4,0,1224
T0025,FREE,2025-01-02,52,12808,93914.9,1000,10000,5.2,128.08,128.08,OVERAGE,10,0,2808
T0025,FREE,2025-01-03,41,17915,139406.3,1000,10000,4.1,179.15,179.15,THROTTLED,12,0,7915
T0026,STARTER,2025-01-01,43,36526,451125.5,5000,50000,0.86,73.05,73.05,NORMAL,0,0,0
T0026,STARTER,2025-01-02,53,28876,266134.1,5000,50000,1.06,57.75,57.75,NORMAL,0,0,0
T0026,STARTER,2025-01-03,27,6743,38330.2,5000,50000,0.54,13.49,13.49,NORMAL,0,0,0
T0027,STARTER,2025-01-01,43,23137,304103.2,5000,50000,0.86,46.27,46.27,NORMAL,0,0,0
T0027,STARTER,2025-01-02,43,27537,436253.2,5000,50000,0.86,55.07,55.07,NORMAL,0,0,0
T0027,STARTER,2025-01-03,43,18788,147150.6,5000,50000,0.86,37.58,37.58,NORMAL,0,0,0
T0028,STARTER,2025-01-01,38,37861,545147.9,5000,50000,0.76,75.72,75.72,NORMAL,0,0,0
T0028,STARTER,2025-01-02,40,60714,1073397.9,5000,50000,0.8,121.43,121.43,OVERAGE,7,0,10714
T0028,STARTER,2025-01-03,40,19522,198111.3,5000,50000,0.8,39.04,39.04,NORMAL,0,0,0
T0029,STARTER,2025-01-01,36,26119,358258.9,5000,50000,0.72,52.24,52.24,NORMAL,0,0,0
T0029,STARTER,2025-01-02,39,21877,299896.8,5000,50000,0.78,43.75,43.75,NORMAL,0,0,0
T0029,STARTER,2025-01-03,43,54101,842569.4,5000,50000,0.86,108.2,108.2,OVERAGE,10,0,4101
T0030,STARTER,2025-01-01,45,37346,450870.4,5000,50000,0.9,74.69,74.69,NORMAL,0,0,0
T0030,STARTER,2025-01-02,39,15550,213534.8,5000,50000,0.78,31.1,31.1,NORMAL,0,0,0
T0030,STARTER,2025-01-03,33,49768,771724.0,5000,50000,0.66,99.54,99.54,WARNING,0,0,0
T0031,STARTER,2025-01-01,44,34476,523034.6,5000,50000,0.88,68.95,68.95,NORMAL,0,0,0
T0031,STARTER,2025-01-02,42,32780,388466.8,5000,50000,0.84,65.56,65.56,NORMAL,0,0,0
T0031,STARTER,2025-01-03,29,10103,103947.0,5000,50000,0.58,20.21,20.21,NORMAL,0,0,0
T0032,STARTER,2025-01-01,39,26595,377513.8,5000,50000,0.78,53.19,53.19,NORMAL,0,0,0
T0032,STARTER,2025-01-02,41,18471,165194.7,5000,50000,0.82,36.94,36.94,NORMAL,0,0,0
T0032,STARTER,2025-01-03,44,23946,342679.4,5000,50000,0.88,47.89,47.89,NORMAL,0,0,0
T0033,STARTER,2025-01-01,50,38784,592003.7,5000,50000,1.0,77.57,77.57,NORMAL,0,0,0
T0033,STARTER,2025-01-02,34,5814,37616.7,5000,50000,0.68,11.63,11.63,NORMAL,0,0,0
T0033,STARTER,2025-01-03,37,18202,252204.5,5000,50000,0.74,36.4,36.4,NORMAL,0,0,0
T0034,STARTER,2025-01-01,31,9473,70091.1,5000,50000,0.62,18.95,18.95,NORMAL,0,0,0
T0034,STARTER,2025-01-02,46,17522,195753.7,5000,50000,0.92,35.04,35.04,NORMAL,0,0,0
