request_id,tenant_id,tier_id,timestamp,throttle_reason,hourly_count,daily_count,decision,decision_reason
R00001659,T0001,FREE,2025-01-01 16:29:41,TOKEN_EXCEEDED,2,23,GRACE,WITHIN_GRACE_0MIN
R00001721,T0001,FREE,2025-01-01 16:53:05,TOKEN_EXCEEDED,3,24,BLOCK,HARD_BLOCK_TIER
R00001825,T0001,FREE,2025-01-01 17:27:47,TOKEN_EXCEEDED,1,25,BLOCK,HARD_BLOCK_TIER
R00002191,T0001,FREE,2025-01-01 22:21:37,TOKEN_EXCEEDED,1,26,BLOCK,HARD_BLOCK_TIER
R00002209,T0001,FREE,2025-01-01 22:39:17,TOKEN_EXCEEDED,2,27,BLOCK,HARD_BLOCK_TIER
R00002247,T0001,FREE,2025-01-01 23:06:57,TOKEN_EXCEEDED,1,28,BLOCK,HARD_BLOCK_TIER
R00002248,T0001,FREE,2025-01-01 23:08:18,TOKEN_EXCEEDED,2,29,BLOCK,HARD_BLOCK_TIER
R00002282,T0001,FREE,2025-01-01 23:33:49,TOKEN_EXCEEDED,3,30,BLOCK,HARD_BLOCK_TIER
R00002291,T0001,FREE,2025-01-01 23:40:42,TOKEN_EXCEEDED,4,31,BLOCK,HARD_BLOCK_TIER
R00002307,T0001,FREE,2025-01-01 23:57:36,TOKEN_EXCEEDED,5,32,BLOCK,HARD_BLOCK_TIER
R00005722,T0001,FREE,2025-01-03 12:27:36,TOKEN_EXCEEDED,3,26,BLOCK,HARD_BLOCK_TIER
R00005765,T0001,FREE,2025-01-03 12:47:52,TOKEN_EXCEEDED,4,27,BLOCK,HARD_BLOCK_TIER
R00005789,T0001,FREE,2025-01-03 12:57:39,TOKEN_EXCEEDED,5,28,BLOCK,HARD_BLOCK_TIER
R00005814,T0001,FREE,2025-01-03 13:05:12,TOKEN_EXCEEDED,1,29,BLOCK,HARD_BLOCK_TIER
R00005858,T0001,FREE,2025-01-03 13:19:56,TOKEN_EXCEEDED,2,30,BLOCK,HARD_BLOCK_TIER
R00005893,T0001,FREE,2025-01-03 13:30:32,TOKEN_EXCEEDED,3,31,BLOCK,HARD_BLOCK_TIER
R00005912,T0001,FREE,2025-01-03 13:36:12,TOKEN_EXCEEDED,4,32,BLOCK,HARD_BLOCK_TIER
R00005915,T0001,FREE,2025-01-03 13:37:24,TOKEN_EXCEEDED,5,33,BLOCK,HARD_BLOCK_TIER
R00005953,T0001,FREE,2025-01-03 13:51:22,TOKEN_EXCEEDED,6,34,BLOCK,HARD_BLOCK_TIER
R00005961,T0001,FREE,2025-01-03 13:54:28,TOKEN_EXCEEDED,7,35,BLOCK,HARD_BLOCK_TIER
R00005970,T0001,FREE,2025-01-03 13:57:05,TOKEN_EXCEEDED,8,36,BLOCK,HARD_BLOCK_TIER
R00005998,T0001,FREE,2025-01-03 14:07:35,TOKEN_EXCEEDED,1,37,BLOCK,HARD_BLOCK_TIER
R00006022,T0001,FREE,2025-01-03 14:14:07,TOKEN_EXCEEDED,2,38,BLOCK,HARD_BLOCK_TIER
R00006054,T0001,FREE,2025-01-03 14:26:40,TOKEN_EXCEEDED,3,39,BLOCK,HARD_BLOCK_TIER
R00006061,T0001,FREE,2025-01-03 14:29:49,TOKEN_EXCEEDED,4,40,BLOCK,HARD_BLOCK_TIER
R00006206,T0001,FREE,2025-01-03 15:19:28,TOKEN_EXCEEDED,1,41,BLOCK,HARD_BLOCK_TIER
R00006310,T0001,FREE,2025-01-03 15:52:36,TOKEN_EXCEEDED,2,42,BLOCK,HARD_BLOCK_TIER
R00006363,T0001,FREE,2025-01-03 16:09:57,TOKEN_EXCEEDED,1,43,BLOCK,HARD_BLOCK_TIER
R00006427,T0001,FREE,2025-01-03 16:32:56,TOKEN_EXCEEDED,2,44,BLOCK,HARD_BLOCK_TIER
R00006468,T0001,FREE,2025-01-03 16:46:52,TOKEN_EXCEEDED,3,45,BLOCK,HARD_BLOCK_TIER
R00006518,T0001,FREE,2025-01-03 17:04:20,TOKEN_EXCEEDED,1,46,BLOCK,HARD_BLOCK_TIER
R00006573,T0001,FREE,2025-01-03 17:28:31,TOKEN_EXCEEDED,2,47,BLOCK,HARD_BLOCK_TIER
R00006718,T0001,FREE,2025-01-03 18:47:14,TOKEN_EXCEEDED,1,48,BLOCK,HARD_BLOCK_TIER
R00006726,T0001,FREE,2025-01-03 18:51:44,TOKEN_EXCEEDED,2,49,BLOCK,HARD_BLOCK_TIER
R00006787,T0001,FREE,2025-01-03 19:46:27,TOKEN_EXCEEDED,1,50,BLOCK,HARD_BLOCK_TIER
R00006861,T0001,FREE,2025-01-03 21:04:40,TOKEN_EXCEEDED,1,51,BLOCK,HARD_BLOCK_TIER
R00006878,T0001,FREE,2025-01-03 21:18:49,TOKEN_EXCEEDED,2,52,BLOCK,HARD_BLOCK_TIER
R00006890,T0001,FREE,2025-01-03 21:27:25,TOKEN_EXCEEDED,3,53,BLOCK,HARD_BLOCK_TIER
R00006967,T0001,FREE,2025-01-03 22:30:07,TOKEN_EXCEEDED,1,54,BLOCK,HARD_BLOCK_TIER
R00006982,T0001,FREE,2025-01-03 22:44:44,TOKEN_EXCEEDED,2,55,BLOCK,HARD_BLOCK_TIER
R00006988,T0001,FREE,2025-01-03 22:49:24,TOKEN_EXCEEDED,3,56,BLOCK,HARD_BLOCK_TIER
R00004343,T0002,FREE,2025-01-02 18:27:12,TOKEN_EXCEEDED,1,29,GRACE,WITHIN_GRACE_0MIN
R00004404,T0002,FREE,2025-01-02 19:06:50,TOKEN_EXCEEDED,1,30,BLOCK,HARD_BLOCK_TIER
