violation_id,tenant_id,request_id,violation_timestamp,violation_type,violation_number,severity,flat_penalty,pct_penalty,penalty_amount,cumulative_penalty,enforcement_action
VN000263,T0001,R00001659,2025-01-01 16:29:41,TOKEN_EXCEEDED,1,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000264,T0001,R00001721,2025-01-01 16:53:05,TOKEN_EXCEEDED,2,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000265,T0001,R00001825,2025-01-01 17:27:47,TOKEN_EXCEEDED,3,MINOR,0.0,0.0,0.0,0.0,WARNING
VN000266,T0001,R00002191,2025-01-01 22:21:37,TOKEN_EXCEEDED,4,MODERATE,5.0,0.001,5.0,5.0,THROTTLE_50PCT
VN000267,T0001,R00002209,2025-01-01 22:39:17,TOKEN_EXCEEDED,5,MODERATE,5.0,0.001,5.0,10.0,THROTTLE_50PCT
VN000268,T0001,R00002247,2025-01-01 23:06:57,TOKEN_EXCEEDED,6,MODERATE,5.0,0.001,5.0,15.0,THROTTLE_50PCT
VN000269,T0001,R00002248,2025-01-01 23:08:18,TOKEN_EXCEEDED,7,MODERATE,5.0,0.001,5.0,20.0,THROTTLE_50PCT
VN000270,T0001,R00002282,2025-01-01 23:33:49,TOKEN_EXCEEDED,8,MODERATE,5.0,0.001,5.0,25.0,THROTTLE_50PCT
VN000271,T0001,R00002291,2025-01-01 23:40:42,TOKEN_EXCEEDED,9,MODERATE,5.0,0.001,5.0,30.0,THROTTLE_50PCT
VN000272,T0001,R00002307,2025-01-01 23:57:36,TOKEN_EXCEEDED,10,MODERATE,5.0,0.001,5.0,35.0,THROTTLE_50PCT
VN000273,T0001,R00005722,2025-01-03 12:27:36,TOKEN_EXCEEDED,11,MAJOR,25.0,0.005,25.0,60.0,THROTTLE_90PCT
VN000274,T0001,R00005765,2025-01-03 12:47:52,TOKEN_EXCEEDED,12,MAJOR,25.0,0.005,25.0,85.0,THROTTLE_90PCT
VN000275,T0001,R00005789,2025-01-03 12:57:39,TOKEN_EXCEEDED,13,MAJOR,25.0,0.005,25.0,110.0,THROTTLE_90PCT
VN000276,T0001,R00005814,2025-01-03 13:05:12,TOKEN_EXCEEDED,14,MAJOR,25.0,0.005,25.0,135.0,THROTTLE_90PCT
VN000277,T0001,R00005858,2025-01-03 13:19:56,TOKEN_EXCEEDED,15,MAJOR,25.0,0.005,25.0,160.0,THROTTLE_90PCT
VN000278,T0001,R00005893,2025-01-03 13:30:32,TOKEN_EXCEEDED,16,MAJOR,25.0,0.005,25.0,185.0,THROTTLE_90PCT
VN000279,T0001,R00005912,2025-01-03 13:36:12,TOKEN_EXCEEDED,17,MAJOR,25.0,0.005,25.0,210.0,THROTTLE_90PCT
VN000280,T0001,R00005915,2025-01-03 13:37:24,TOKEN_EXCEEDED,18,MAJOR,25.0,0.005,25.0,235.0,THROTTLE_90PCT
VN000281,T0001,R00005953,2025-01-03 13:51:22,TOKEN_EXCEEDED,19,MAJOR,25.0,0.005,25.0,260.0,THROTTLE_90PCT
VN000282,T0001,R00005961,2025-01-03 13:54:28,TOKEN_EXCEEDED,20,MAJOR,25.0,0.005,25.0,285.0,THROTTLE_90PCT
VN000283,T0001,R00005970,2025-01-03 13:57:05,TOKEN_EXCEEDED,21,MAJOR,25.0,0.005,25.0,310.0,THROTTLE_90PCT
VN000284,T0001,R00005998,2025-01-03 14:07:35,TOKEN_EXCEEDED,22,MAJOR,25.0,0.005,25.0,335.0,THROTTLE_90PCT
VN000285,T0001,R00006022,2025-01-03 14:14:07,TOKEN_EXCEEDED,23,MAJOR,25.0,0.005,25.0,360.0,THROTTLE_90PCT
VN000286,T0001,R00006054,2025-01-03 14:26:40,TOKEN_EXCEEDED,24,MAJOR,25.0,0.005,25.0,385.0,THROTTLE_90PCT
VN000287,T0001,R00006061,2025-01-03 14:29:49,TOKEN_EXCEEDED,25,MAJOR,25.0,0.005,25.0,410.0,THROTTLE_90PCT
VN000288,T0001,R00006206,2025-01-03 15:19:28,TOKEN_EXCEEDED,26,SEVERE,100.0,0.01,100.0,510.0,SUSPEND_1HR
VN000289,T0001,R00006310,2025-01-03 15:52:36,TOKEN_EXCEEDED,27,SEVERE,100.0,0.01,100.0,610.0,SUSPEND_1HR
VN000290,T0001,R00006363,2025-01-03 16:09:57,TOKEN_EXCEEDED,28,SEVERE,100.0,0.01,100.0,710.0,SUSPEND_1HR
VN000291,T0001,R00006427,2025-01-03 16:32:56,TOKEN_EXCEEDED,29,SEVERE,100.0,0.01,100.0,810.0,SUSPEND_1HR
VN000292,T0001,R00006468,2025-01-03 16:46:52,TOKEN_EXCEEDED,30,SEVERE,100.0,0.01,100.0,910.0,SUSPEND_1HR
VN000293,T0001,R00006518,2025-01-03 17:04:20,TOKEN_EXCEEDED,31,SEVERE,100.0,0.01,100.0,1010.0,SUSPEND_1HR
VN000294,T0001,R00006573,2025-01-03 17:28:31,TOKEN_EXCEEDED,32,SEVERE,100.0,0.01,100.0,1110.0,SUSPEND_1HR
VN000295,T0001,R00006718,2025-01-03 18:47:14,TOKEN_EXCEEDED,33,SEVERE,100.0,0.01,100.0,1210.0,SUSPEND_1HR
VN000296,T0001,R00006726,2025-01-03 18:51:44,TOKEN_EXCEEDED,34,SEVERE,100.0,0.01,100.0,1310.0,SUSPEND_1HR
VN000297,T0001,R00006787,2025-01-03 19:46:27,TOKEN_EXCEEDED,35,SEVERE,100.0,0.01,100.0,1410.0,SUSPEND_1HR
