request_id,tenant_id,endpoint_id,timestamp,base_tokens,weight_multiplier,surge_multiplier,effective_tokens,hourly_request_count,daily_request_count,daily_token_count,effective_hourly_limit,within_limit,throttle_reason,billable
R00000029,T006,EP005,2025-01-01 01:01:19,379,1.5,1.5,853,1,1,853,22,YES,,YES
R00000023,T005,EP001,2025-01-01 01:15:31,574,0.7,1.0,402,1,1,402,22,YES,,YES
R00000019,T004,EP009,2025-01-01 01:16:49,443,0.1,1.0,44,1,1,44,10,YES,,NO
R00000050,T010,EP010,2025-01-01 01:39:54,312,2.5,1.0,780,1,1,780,82,YES,,YES
R00000090,T018,EP004,2025-01-01 01:42:48,1219,2.0,1.0,2438,1,1,2438,240,YES,,YES
R00000072,T015,EP007,2025-01-01 02:05:38,353,1.0,1.0,353,1,1,353,240,YES,,YES
R00000015,T003,EP008,2025-01-01 02:17:37,613,1.0,1.0,613,1,1,613,10,YES,,NO
R00000061,T013,EP008,2025-01-01 02:42:35,0,1.0,1.0,0,1,1,0,82,YES,,NO
R00000033,T007,EP002,2025-01-01 02:45:22,1021,1.5,1.5,2297,1,1,2297,22,YES,,YES
R00000052,T011,EP001,2025-01-01 02:47:06,1257,1.0,1.0,1257,1,1,1257,82,YES,,YES
R00000075,T015,EP005,2025-01-01 02:57:13,1207,1.1,1.5,1992,2,2,2345,240,YES,,YES
R00000084,T017,EP008,2025-01-01 03:22:49,732,0.8,1.0,586,1,1,586,240,YES,,NO
R00000080,T016,EP007,2025-01-01 03:31:03,1462,1.0,1.0,1462,1,1,1462,240,YES,,YES
R00000009,T002,EP005,2025-01-01 03:33:35,547,2.0,1.5,1641,1,1,1641,10,YES,,NO
R00000003,T001,EP010,2025-01-01 03:36:20,923,1.0,1.0,923,1,1,923,10,YES,,YES
R00000073,T015,EP006,2025-01-01 04:25:18,852,1.1,1.5,1406,1,3,3751,240,YES,,YES
R00000068,T014,EP004,2025-01-01 04:29:30,626,2.5,1.0,1565,1,1,1565,82,YES,,YES
R00000057,T012,EP008,2025-01-01 04:36:55,460,1.0,1.0,460,1,1,460,82,YES,,NO
R00000008,T002,EP003,2025-01-01 05:01:15,350,0.5,1.0,175,1,2,1816,10,YES,,YES
R00000066,T014,EP008,2025-01-01 05:12:10,312,1.0,1.0,312,1,2,1877,82,YES,,NO
R00000099,T020,EP008,2025-01-01 05:28:15,59,0.5,1.0,30,1,1,30,650,YES,,NO
R00000047,T010,EP003,2025-01-01 06:13:12,122,1.0,1.0,122,1,2,902,82,YES,,YES
R00000032,T007,EP003,2025-01-01 06:57:11,1345,0.7,1.0,941,1,2,3238,22,YES,,YES
R00000301,T001,EP001,2025-01-01 07:00:00,400,0.5,1.0,200,1,2,1123,10,YES,,YES
R00000026,T006,EP004,2025-01-01 07:15:34,420,3.0,1.0,1260,1,2,2113,22,YES,,YES
R00000094,T019,EP007,2025-01-01 07:18:18,361,1.0,1.0,361,1,1,361,650,YES,,YES
R00000024,T005,EP004,2025-01-01 07:32:20,1159,3.0,1.0,3477,1,2,3879,22,YES,,YES
R00000040,T008,EP001,2025-01-01 07:38:42,914,0.7,1.0,640,1,1,640,22,YES,,YES
