tenant_id,tier_id,quota_bucket,request_count,tokens_consumed,total_cost,request_limit,token_limit,request_pct,token_pct,quota_used_pct,status,violation_count,overage_requests,overage_tokens
T001,FREE,2025-01-01,22,13339,0.0,80,5000,27.5,266.78,266.78,THROTTLED,18,0,8339
T001,FREE,2025-01-02,5,2141,0.0,50,5000,10.0,42.82,42.82,NORMAL,0,0,0
T001,FREE,2025-01-03,5,6028,0.0,50,5000,10.0,120.56,120.56,OVERAGE,2,0,1028
T002,FREE,2025-01-01,6,6116,0.0,80,5000,7.5,122.32,122.32,OVERAGE,1,0,1116
T002,FREE,2025-01-02,7,7591,0.0,80,5000,8.75,151.82,151.82,OVERAGE,2,0,2591
T002,FREE,2025-01-03,5,2592,0.0,80,5000,6.25,51.84,51.84,NORMAL,0,0,0
T003,FREE,2025-01-01,5,6440,0.0,80,5000,6.25,128.8,128.8,OVERAGE,3,0,1440
T003,FREE,2025-01-02,5,3525,0.0,80,5000,6.25,70.5,70.5,NORMAL,0,0,0
T003,FREE,2025-01-03,5,2512,0.0,80,5000,6.25,50.24,50.24,NORMAL,0,0,0
T004,FREE,2025-01-01,5,4442,0.0,80,5000,6.25,88.84,88.84,WARNING,0,0,0
T004,FREE,2025-01-02,5,3212,0.0,80,5000,6.25,64.24,64.24,NORMAL,0,0,0
T004,FREE,2025-01-03,5,4641,0.0,80,5000,6.25,92.82,92.82,WARNING,0,0,0
T005,STARTER,2025-01-01,5,5296,0.01,200,25000,2.5,21.18,21.18,NORMAL,0,0,0
T005,STARTER,2025-01-02,5,8216,0.02,200,25000,2.5,32.86,32.86,NORMAL,0,0,0
T005,STARTER,2025-01-03,5,4722,0.01,200,25000,2.5,18.89,18.89,NORMAL,0,0,0
T006,STARTER,2025-01-01,5,6204,0.01,200,25000,2.5,24.82,24.82,NORMAL,0,0,0
T006,STARTER,2025-01-02,5,13867,0.03,200,25000,2.5,55.47,55.47,NORMAL,0,0,0
T006,STARTER,2025-01-03,5,2965,0.01,200,25000,2.5,11.86,11.86,NORMAL,0,0,0
T007,STARTER,2025-01-01,37,243990,0.49,200,25000,18.5,975.96,975.96,THROTTLED,32,0,218990
T007,STARTER,2025-01-02,55,46359,0.09,200,25000,27.5,185.44,185.44,THROTTLED,28,0,21359
T007,STARTER,2025-01-03,5,4404,0.01,200,25000,2.5,17.62,17.62,NORMAL,0,0,0
T008,STARTER,2025-01-01,5,6894,0.01,200,25000,2.5,27.58,27.58,NORMAL,0,0,0
T008,STARTER,2025-01-02,5,10328,0.02,200,25000,2.5,41.31,41.31,NORMAL,0,0,0
T008,STARTER,2025-01-03,5,5818,0.01,200,25000,2.5,23.27,23.27,NORMAL,0,0,0
T009,STARTER,2025-01-01,5,4039,0.01,200,25000,2.5,16.16,16.16,NORMAL,0,0,0
T009,STARTER,2025-01-02,5,9304,0.02,200,25000,2.5,37.22,37.22,NORMAL,0,0,0
T009,STARTER,2025-01-03,5,23942,0.05,200,25000,2.5,95.77,95.77,WARNING,0,0,0
T010,PROFESSIONAL,2025-01-01,6,3375,0.01,300,150000,2.0,2.25,2.25,NORMAL,0,0,0
T010,PROFESSIONAL,2025-01-02,5,4892,0.01,300,150000,1.67,3.26,3.26,NORMAL,0,0,0
T010,PROFESSIONAL,2025-01-03,5,5481,0.01,300,150000,1.67,3.65,3.65,NORMAL,0,0,0
