request_id,tenant_id,tier_id,timestamp,throttle_reason,hourly_request_count,daily_request_count,effective_hourly_limit,decision,decision_reason
R00000303,T001,FREE,2025-01-01 08:05:00,TOKEN_EXCEEDED,2,5,10,GRACE,WITHIN_GRACE_0MIN
R00000316,T001,FREE,2025-01-01 10:00:00,TOKEN_EXCEEDED,1,6,10,BLOCK,HARD_BLOCK_TIER
R00000317,T001,FREE,2025-01-01 10:03:00,TOKEN_EXCEEDED,2,7,10,BLOCK,HARD_BLOCK_TIER
R00000318,T001,FREE,2025-01-01 10:06:00,TOKEN_EXCEEDED,3,8,10,BLOCK,HARD_BLOCK_TIER
R00000319,T001,FREE,2025-01-01 10:09:00,TOKEN_EXCEEDED,4,9,10,BLOCK,HARD_BLOCK_TIER
R00000320,T001,FREE,2025-01-01 10:12:00,TOKEN_EXCEEDED,5,10,10,BLOCK,HARD_BLOCK_TIER
R00000321,T001,FREE,2025-01-01 10:15:00,TOKEN_EXCEEDED,6,11,10,BLOCK,HARD_BLOCK_TIER
R00000322,T001,FREE,2025-01-01 10:18:00,TOKEN_EXCEEDED,7,12,10,BLOCK,HARD_BLOCK_TIER
R00000323,T001,FREE,2025-01-01 10:21:00,TOKEN_EXCEEDED,8,13,10,BLOCK,HARD_BLOCK_TIER
R00000324,T001,FREE,2025-01-01 10:24:00,TOKEN_EXCEEDED,9,14,10,BLOCK,HARD_BLOCK_TIER
R00000325,T001,FREE,2025-01-01 10:27:00,TOKEN_EXCEEDED,10,15,10,BLOCK,HARD_BLOCK_TIER
R00000326,T001,FREE,2025-01-01 10:30:00,TOKEN_EXCEEDED,11,16,10,BLOCK,HARD_BLOCK_TIER
R00000327,T001,FREE,2025-01-01 10:33:00,TOKEN_EXCEEDED,12,17,10,BLOCK,HARD_BLOCK_TIER
R00000328,T001,FREE,2025-01-01 10:36:00,HOURLY_EXCEEDED|TOKEN_EXCEEDED,13,18,10,BLOCK,HARD_BLOCK_TIER
R00000329,T001,FREE,2025-01-01 10:39:00,HOURLY_EXCEEDED|TOKEN_EXCEEDED,14,19,10,BLOCK,HARD_BLOCK_TIER
R00000005,T001,FREE,2025-01-01 15:46:45,TOKEN_EXCEEDED,1,20,10,BLOCK,HARD_BLOCK_TIER
R00000002,T001,FREE,2025-01-01 22:18:34,TOKEN_EXCEEDED,1,21,10,BLOCK,HARD_BLOCK_TIER
R00000001,T001,FREE,2025-01-01 22:30:45,TOKEN_EXCEEDED,2,22,10,BLOCK,HARD_BLOCK_TIER
R00000203,T001,FREE,2025-01-03 21:25:48,TOKEN_EXCEEDED,1,4,10,BLOCK,HARD_BLOCK_TIER
R00000202,T001,FREE,2025-01-03 22:17:24,TOKEN_EXCEEDED,1,5,10,BLOCK,HARD_BLOCK_TIER
R00000307,T002,FREE,2025-01-01 23:59:59,TOKEN_EXCEEDED,1,6,10,GRACE,WITHIN_GRACE_0MIN
R00000110,T002,FREE,2025-01-02 06:32:45,TOKEN_EXCEEDED,1,6,10,BLOCK,HARD_BLOCK_TIER
R00000108,T002,FREE,2025-01-02 13:28:51,TOKEN_EXCEEDED,1,7,10,BLOCK,HARD_BLOCK_TIER
R00000013,T003,FREE,2025-01-01 10:44:29,TOKEN_EXCEEDED,1,3,10,ALLOW,EXEMPT_TENANT
R00000011,T003,FREE,2025-01-01 17:30:16,TOKEN_EXCEEDED,1,4,10,ALLOW,EXEMPT_TENANT
R00000012,T003,FREE,2025-01-01 19:40:26,TOKEN_EXCEEDED,1,5,10,ALLOW,EXEMPT_TENANT
R00000332,T007,STARTER,2025-01-01 14:02:19,TOKEN_EXCEEDED,3,6,22,GRACE,WITHIN_GRACE_5MIN
R00000333,T007,STARTER,2025-01-01 14:03:02,TOKEN_EXCEEDED,4,7,22,GRACE,WITHIN_GRACE_5MIN
R00000334,T007,STARTER,2025-01-01 14:04:45,TOKEN_EXCEEDED,5,8,22,GRACE,WITHIN_GRACE_5MIN
R00000335,T007,STARTER,2025-01-01 14:05:09,TOKEN_EXCEEDED,6,9,22,GRACE,WITHIN_GRACE_5MIN
R00000336,T007,STARTER,2025-01-01 14:06:07,TOKEN_EXCEEDED,7,10,22,GRACE,WITHIN_GRACE_5MIN
R00000337,T007,STARTER,2025-01-01 14:07:01,TOKEN_EXCEEDED,8,11,22,GRACE,WITHIN_GRACE_5MIN
R00000338,T007,STARTER,2025-01-01 14:08:12,TOKEN_EXCEEDED,9,12,22,THROTTLE_50,MODERATE_OVERAGE
R00000339,T007,STARTER,2025-01-01 14:09:11,TOKEN_EXCEEDED,10,13,22,THROTTLE_50,MODERATE_OVERAGE
R00000340,T007,STARTER,2025-01-01 14:10:50,TOKEN_EXCEEDED,11,14,22,THROTTLE_50,MODERATE_OVERAGE
R00000341,T007,STARTER,2025-01-01 14:11:47,TOKEN_EXCEEDED,12,15,22,THROTTLE_50,MODERATE_OVERAGE
