tenant_id,tier_id,billing_period,total_requests,total_tokens,overage_requests,overage_tokens,base_cost,overage_cost,penalty_cost,total_due,violation_count
T0001,FREE,2025-01-01 to 2025-01-03,120,36394,0,12254,0.0,0.0,2010.0,2010.0,41
T0002,FREE,2025-01-01 to 2025-01-03,107,42613,0,13096,0.0,0.0,135.0,135.0,14
T0003,FREE,2025-01-01 to 2025-01-03,99,32587,0,4160,0.0,0.0,210.0,210.0,14
T0004,FREE,2025-01-01 to 2025-01-03,116,40591,0,10726,0.0,0.0,1510.0,1510.0,36
T0005,FREE,2025-01-01 to 2025-01-03,100,59621,0,29621,0.0,0.0,2410.0,2410.0,45
T0006,FREE,2025-01-01 to 2025-01-03,132,35129,0,8213,0.0,0.0,410.0,410.0,25
T0007,FREE,2025-01-01 to 2025-01-03,128,37965,0,7965,0.0,0.0,1590.0,1590.0,30
T0008,FREE,2025-01-01 to 2025-01-03,90,31572,0,10269,0.0,0.0,310.0,310.0,21
T0009,FREE,2025-01-01 to 2025-01-03,117,50016,0,20016,0.0,0.0,2910.0,2910.0,50
T0010,FREE,2025-01-01 to 2025-01-03,125,43251,0,13251,0.0,0.0,2710.0,2710.0,48
T0011,FREE,2025-01-01 to 2025-01-03,135,45866,0,15866,0.0,0.0,2510.0,2510.0,46
T0012,FREE,2025-01-01 to 2025-01-03,97,28379,0,152,0.0,0.0,20.0,20.0,5
T0013,FREE,2025-01-01 to 2025-01-03,119,40319,0,13678,0.0,0.0,710.0,710.0,28
T0014,FREE,2025-01-01 to 2025-01-03,116,40484,0,10762,0.0,0.0,410.0,410.0,25
T0015,FREE,2025-01-01 to 2025-01-03,116,56394,0,26394,0.0,0.0,4410.0,4410.0,53
T0016,FREE,2025-01-01 to 2025-01-03,128,42926,0,13989,0.0,0.0,1110.0,1110.0,32
T0017,FREE,2025-01-01 to 2025-01-03,121,44857,0,18474,0.0,0.0,4910.0,4910.0,54
T0018,FREE,2025-01-01 to 2025-01-03,127,42675,0,12898,0.0,0.0,1505.0,1505.0,32
T0019,FREE,2025-01-01 to 2025-01-03,110,32422,0,6303,0.0,0.0,385.0,385.0,24
T0020,FREE,2025-01-01 to 2025-01-03,121,40515,0,10515,0.0,0.0,2010.0,2010.0,41
T0021,FREE,2025-01-01 to 2025-01-03,585,2587917,0,2558813,0.0,0.0,238410.0,238410.0,521
T0022,FREE,2025-01-01 to 2025-01-03,108,23060,0,4796,0.0,0.0,260.0,260.0,19
T0023,FREE,2025-01-01 to 2025-01-03,109,42196,0,12196,0.0,0.0,335.0,335.0,22
T0024,FREE,2025-01-01 to 2025-01-03,123,36937,0,7472,0.0,0.0,385.0,385.0,24
T0025,FREE,2025-01-01 to 2025-01-03,127,41947,0,11947,0.0,0.0,710.0,710.0,26
