endpoint_id,method,path,cost_multiplier,avg_token_estimate,category,rate_limit_override,requires_auth,billable
GET:/api/v1/users,GET,/api/v1/users,1.0,10,READ,,YES,YES
POST:/api/v1/users,POST,/api/v1/users,2.0,50,WRITE,,YES,YES
GET:/api/v1/users/{id},GET,/api/v1/users/{id},1.0,5,READ,,YES,YES
PUT:/api/v1/users/{id},PUT,/api/v1/users/{id},2.0,30,WRITE,,YES,YES
DELETE:/api/v1/users/{id},DELETE,/api/v1/users/{id},2.0,20,WRITE,,YES,YES
GET:/api/v1/search,GET,/api/v1/search,3.0,100,COMPUTE,,YES,YES
POST:/api/v1/search/advanced,POST,/api/v1/search/advanced,5.0,500,COMPUTE,,YES,YES
GET:/api/v1/reports,GET,/api/v1/reports,4.0,200,COMPUTE,,YES,YES
POST:/api/v1/reports/generate,POST,/api/v1/reports/generate,10.0,2000,COMPUTE,,YES,YES
GET:/api/v1/analytics,GET,/api/v1/analytics,5.0,300,COMPUTE,,YES,YES
POST:/api/v1/batch,POST,/api/v1/batch,8.0,1000,BATCH,,YES,YES
GET:/api/v1/health,GET,/api/v1/health,0.1,1,SYSTEM,,NO,NO
GET:/api/v1/config,GET,/api/v1/config,0.5,5,SYSTEM,,NO,NO
POST:/api/v1/webhooks,POST,/api/v1/webhooks,2.0,50,WRITE,,YES,YES
POST:/api/v1/ai/completion,POST,/api/v1/ai/completion,15.0,5000,AI,100.0,YES,YES
POST:/api/v1/ai/embedding,POST,/api/v1/ai/embedding,8.0,1000,AI,100.0,YES,YES
POST:/api/v1/ai/image,POST,/api/v1/ai/image,20.0,10000,AI,100.0,YES,YES
