tenant_id,tenant_name,tier_id,contract_start,timezone,status,exempt_from_throttling
T001,Company_1,FREE,2024-01-01,UTC,ACTIVE,NO
T002,Company_2,FREE,2024-01-01,UTC,ACTIVE,NO
T003,Company_3,FREE,2024-01-01,UTC,ACTIVE,YES
T004,Company_4,FREE,2024-01-01,UTC,ACTIVE,NO
T005,Company_5,STARTER,2024-01-01,UTC,ACTIVE,NO
T006,Company_6,STARTER,2024-01-01,UTC,ACTIVE,NO
T007,Company_7,STARTER,2024-01-01,UTC,ACTIVE,NO
T008,Company_8,STARTER,2024-01-01,UTC,ACTIVE,NO
T009,Company_9,STARTER,2024-01-01,UTC,ACTIVE,NO
T010,Company_10,PROFESSIONAL,2024-01-01,UTC,ACTIVE,NO
T011,Company_11,PROFESSIONAL,2024-01-01,UTC,ACTIVE,NO
T012,Company_12,PROFESSIONAL,2024-01-01,UTC,ACTIVE,NO
T013,Company_13,PROFESSIONAL,2024-01-01,UTC,ACTIVE,NO
T014,Company_14,PROFESSIONAL,2024-01-01,UTC,ACTIVE,NO
T015,Company_15,BUSINESS,2024-01-01,UTC,ACTIVE,NO
T016,Company_16,BUSINESS,2024-01-01,UTC,ACTIVE,NO
T017,Company_17,BUSINESS,2024-01-01,UTC,ACTIVE,NO
T018,Company_18,BUSINESS,2024-01-01,UTC,ACTIVE,NO
T019,Company_19,ENTERPRISE,2024-01-01,UTC,ACTIVE,NO
T020,Company_20,ENTERPRISE,2024-01-01,UTC,ACTIVE,NO
