date,open,high,low,close,volume
2024-01-02,100.4187,100.6976,99.3732,100.0,2489059
2024-01-03,101.1975,101.6837,99.9513,101.0104,2450038
2024-01-04,100.6958,101.689,99.5575,100.7226,4769230
2024-01-05,99.3209,101.4258,98.3653,100.2285,2231914
2024-01-08,99.9399,100.7894,98.8303,99.7296,1325842
2024-01-09,103.3271,104.2794,102.4169,103.1428,2359787
2024-01-10,105.3561,105.6597,104.1864,104.8856,3347416
2024-01-11,104.325,105.229,102.9174,103.7898,4260521
2024-01-12,105.7487,106.3513,103.8641,105.0678,6721247
2024-01-15,107.0155,108.5421,104.319,105.6551,3413657
2024-01-16,101.9688,102.937,99.938,100.9549,3024212
2024-01-17,98.7756,99.1517,97.9434,98.5478,3778688
2024-01-18,100.0259,100.8153,98.2693,99.2924,9227515
2024-01-19,102.4785,103.983,101.5531,102.8191,3299261
2024-01-22,102.5361,103.5569,101.4026,102.2561,7558767
2024-01-23,102.3189,103.1787,99.537,100.8819,1560796
2024-01-24,101.269,102.1688,100.2939,101.169,5791356
2024-01-25,99.7748,102.181,98.2555,99.6342,4951335
2024-01-26,99.155,99.5325,98.1544,98.8959,2130693
2024-01-29,99.6684,100.2922,98.1568,98.8686,2856371
2024-01-30,96.4168,97.3609,94.7861,96.1382,2003924
2024-01-31,98.2969,100.1635,96.2285,98.237,2220194
2024-02-01,95.0457,96.1513,94.1752,95.044,1754461
2024-02-02,92.2161,93.3438,90.8282,91.6519,11104666
2024-02-05,92.1931,92.8658,91.4064,92.1507,3487203
2024-02-06,93.3236,96.2359,92.1252,94.0242,8377099
2024-02-07,95.1593,95.9132,92.8315,94.4786,6405772
2024-02-08,94.2191,94.9744,92.4285,94.1842,3361380
2024-02-09,93.4103,94.6932,92.551,93.3991,5649602
2024-02-12,91.7888,93.1449,90.7281,92.1948,4933628
2024-02-13,94.7221,95.8915,93.6795,94.9746,3391079
2024-02-14,95.7112,96.71,95.2712,95.8656,848781
2024-02-15,94.9237,96.5239,92.7197,94.8155,3181465
2024-02-16,93.3616,93.5819,92.5956,92.9715,2857779
2024-02-19,94.8745,95.5847,93.9806,94.6357,1879914
2024-02-20,97.9565,98.2868,97.0221,97.4963,2453850
2024-02-21,99.8217,100.7672,99.524,100.1714,2486957
2024-02-22,97.5268,99.4222,95.883,97.7103,6095385
2024-02-23,97.0162,97.3862,95.7939,96.8313,1159274
2024-02-26,95.1638,96.351,94.211,95.4698,5219119
2024-02-27,95.0419,95.3787,94.5301,94.9568,6173506
2024-02-28,96.881,97.632,96.5482,97.2693,1774334
2024-02-29,101.3684,101.7762,100.3533,101.2222,4669204
