type,signal_id,trade_id,symbol,date
TIMING_VIOLATION,SIG1000,TRD5000,,
PRICE_DEVIATION,SIG1013,TRD5012,,
TIMING_VIOLATION,SIG1022,TRD5018,,
PRICE_DEVIATION,SIG1029,TRD5025,,
PRICE_DEVIATION,SIG1048,TRD5041,,
TIMING_VIOLATION,SIG1048,TRD5041,,
PRICE_DEVIATION,SIG1054,TRD5046,,
PRICE_DEVIATION,SIG1064,TRD5056,,
TIMING_VIOLATION,SIG1078,TRD5068,,
TIMING_VIOLATION,SIG1109,TRD5092,,
PRICE_DEVIATION,SIG1115,TRD5098,,
PRICE_DEVIATION,SIG1121,TRD5104,,
PRICE_DEVIATION,SIG1133,TRD5115,,
TIMING_VIOLATION,SIG1135,TRD5116,,
TIMING_VIOLATION,SIG1136,TRD5117,,
PRICE_DEVIATION,SIG1141,TRD5120,,
PRICE_DEVIATION,SIG1155,TRD5132,,
PRICE_DEVIATION,SIG1162,TRD5137,,
TIMING_VIOLATION,SIG1173,TRD5145,,
UNMATCHED_TRADE,NONE,TRD5147,,
UNMATCHED_TRADE,NONE,TRD5148,,
UNMATCHED_TRADE,NONE,TRD5149,,
UNMATCHED_TRADE,NONE,TRD5150,,
UNMATCHED_TRADE,NONE,TRD5151,,
UNMATCHED_TRADE,NONE,TRD5152,,
UNMATCHED_TRADE,NONE,TRD5153,,
UNMATCHED_TRADE,NONE,TRD5154,,
UNMATCHED_TRADE,NONE,TRD5155,,
UNMATCHED_TRADE,NONE,TRD5156,,
UNMATCHED_TRADE,NONE,TRD5157,,
UNMATCHED_TRADE,NONE,TRD5158,,
UNMATCHED_TRADE,NONE,TRD5159,,
UNMATCHED_TRADE,NONE,TRD5160,,
UNMATCHED_TRADE,NONE,TRD5161,,
DUPLICATE_TRADE,SIG1173,TRD5162,,
DUPLICATE_TRADE,NONE,TRD5163,,
DUPLICATE_TRADE,NONE,TRD5164,,
DUPLICATE_TRADE,SIG1029,TRD5165,,
DUPLICATE_TRADE,SIG1033,TRD5166,,
DUPLICATE_TRADE,SIG1172,TRD5167,,
DUPLICATE_TRADE,SIG1086,TRD5168,,
DUPLICATE_TRADE,SIG1162,TRD5169,,
SAME_DAY_REVERSAL,REVERSAL,"TRD5170,TRD5171",,
SAME_DAY_REVERSAL,REVERSAL,"TRD5172,TRD5173",,
SAME_DAY_REVERSAL,REVERSAL,"TRD5174,TRD5175",,
SAME_DAY_REVERSAL,REVERSAL,"TRD5176,TRD5177",,
SAME_DAY_REVERSAL,REVERSAL,"TRD5178,TRD5179",,
SAME_DAY_REVERSAL,REVERSAL,"TRD5180,TRD5181",,
POSITION_MISMATCH,,,AAPL,2024-02-20
POSITION_MISMATCH,,,AAPL,2024-02-27
POSITION_MISMATCH,,,AAPL,2024-03-19
POSITION_MISMATCH,,,META,2024-04-09
POSITION_MISMATCH,,,GOOGL,2024-04-16
POSITION_MISMATCH,,,MSFT,2024-05-28
POSITION_MISMATCH,,,AMZN,2024-06-04
POSITION_MISMATCH,,,AMZN,2024-07-30
POSITION_MISMATCH,,,GOOGL,2024-08-13
POSITION_MISMATCH,,,META,2024-09-10
POSITION_MISMATCH,,,AMZN,2024-11-12
