trade_id,signal_id,date,time,symbol,side,quantity,price,status,counterparty
TRD5019,SIG1023,2024-03-19,14:19:44,META,SELL,500,316.72,PARTIAL,BROKER_A
TRD5042,SIG1049,2024-05-01,14:21:16,META,SELL,500,333.66,FILLED,EXCHANGE_DIRECT
TRD5154,NONE,2024-09-02,10:48:44,AAPL,BUY,100,164.41,FILLED,BROKER_C
TRD5098,SIG1115,2024-09-05,14:09:58,MSFT,SELL,75,399.03,PARTIAL,EXCHANGE_DIRECT
TRD5146,SIG1174,2024-12-13,11:39:57,META,BUY,500,518.4,PARTIAL,EXCHANGE_DIRECT
TRD5015,SIG1019,2024-03-12,14:00:47,MSFT,BUY,1000,385.3,FILLED,BROKER_C
TRD5024,SIG1028,2024-03-27,14:42:16,GOOGL,SELL,1000,149.58,PARTIAL,BROKER_A
TRD5068,SIG1078,2024-06-21,18:43:41,META,SELL,500,335.53,FILLED,EXCHANGE_DIRECT
TRD5115,SIG1133,2024-10-01,13:29:23,META,SELL,500,449.11,PARTIAL,EXCHANGE_DIRECT
TRD5096,SIG1113,2024-09-02,12:37:24,AMZN,SELL,125,177.3,PARTIAL,BROKER_A
TRD5095,SIG1112,2024-08-30,9:37:14,AMZN,SELL,500,176.62,FILLED,EXCHANGE_DIRECT
TRD5160,NONE,2024-03-14,13:25:35,AMZN,SELL,200,147.39,FILLED,BROKER_A
TRD5069,SIG1080,2024-06-24,13:44:36,META,BUY,250,336.04,PARTIAL,BROKER_B
TRD5111,SIG1129,2024-09-25,14:00:02,META,BUY,1000,428.38,FILLED,BROKER_A
TRD5045,SIG1053,2024-05-07,12:31:01,AMZN,SELL,750,174.89,PARTIAL,BROKER_A
TRD5016,SIG1020,2024-03-14,12:27:32,AAPL,SELL,750,192.75,PARTIAL,BROKER_C
TRD5051,SIG1059,2024-05-13,10:20:01,AMZN,BUY,500,173.84,FILLED,BROKER_B
TRD5127,SIG1149,2024-10-30,11:31:29,AMZN,SELL,50,194.01,PARTIAL,BROKER_A
TRD5097,SIG1114,2024-09-04,15:55:08,META,SELL,500,387.99,FILLED,BROKER_B
TRD5056,SIG1064,2024-05-22,10:24:20,META,SELL,250,354.14,PARTIAL,BROKER_C
TRD5174,REVERSAL,2024-11-11,9:25:56,AMZN,BUY,500,201.53,FILLED,BROKER_A
TRD5122,SIG1143,2024-10-23,15:28:19,META,BUY,2000,443.98,FILLED,EXCHANGE_DIRECT
TRD5144,SIG1172,2024-12-12,13:48:43,GOOGL,SELL,250,115.43,PARTIAL,BROKER_B
TRD5030,SIG1036,2024-04-08,14:55:03,GOOGL,SELL,1000,156.84,FILLED,BROKER_B
TRD5009,SIG1010,2024-02-26,14:15:15,AAPL,BUY,1500,188.49,PARTIAL,BROKER_A
TRD5123,SIG1144,2024-10-24,13:36:53,AAPL,SELL,100,196.48,FILLED,BROKER_C
TRD5060,SIG1068,2024-06-04,12:04:23,MSFT,BUY,2000,299.37,FILLED,BROKER_C
TRD5018,SIG1022,2024-03-18,8:44:15,AMZN,BUY,200,144.74,FILLED,BROKER_A
TRD5165,SIG1029,2024-03-27,9:59:30,MSFT,BUY,150,421.8,PARTIAL,BROKER_A
TRD5143,SIG1169,2024-12-04,9:42:28,MSFT,SELL,100,396.55,FILLED,EXCHANGE_DIRECT
TRD5172,REVERSAL,2024-08-28,10:17:25,AAPL,BUY,500,165.96,FILLED,BROKER_A
TRD5055,SIG1063,2024-05-17,12:54:39,MSFT,SELL,100,323.7,FILLED,BROKER_C
TRD5090,SIG1106,2024-08-23,14:40:42,MSFT,SELL,50,349.34,PARTIAL,BROKER_C
TRD5082,SIG1095,2024-08-06,15:35:32,GOOGL,BUY,500,132.12,FILLED,BROKER_A
TRD5066,SIG1076,2024-06-19,9:38:30,META,BUY,2000,317.0,FILLED,EXCHANGE_DIRECT
TRD5029,SIG1035,2024-04-05,15:31:51,GOOGL,SELL,200,156.68,FILLED,EXCHANGE_DIRECT
TRD5119,SIG1140,2024-10-21,13:40:52,AAPL,BUY,25,196.24,PARTIAL,EXCHANGE_DIRECT
TRD5065,SIG1075,2024-06-17,15:50:26,AAPL,BUY,500,164.29,PARTIAL,EXCHANGE_DIRECT
TRD5067,SIG1077,2024-06-20,15:38:40,META,BUY,250,322.49,PARTIAL,BROKER_A
TRD5031,SIG1037,2024-04-09,10:18:14,GOOGL,BUY,100,154.2,PARTIAL,BROKER_C
TRD5012,SIG1013,2024-03-01,14:54:59,MSFT,SELL,50,440.96,PARTIAL,BROKER_A
TRD5041,SIG1048,2024-04-26,18:59:37,AAPL,BUY,1000,190.53,PARTIAL,EXCHANGE_DIRECT
TRD5126,SIG1148,2024-10-29,11:04:01,AMZN,SELL,100,192.41,PARTIAL,BROKER_A
TRD5093,SIG1110,2024-08-29,14:56:41,AAPL,BUY,100,163.38,FILLED,BROKER_C
TRD5114,SIG1132,2024-09-30,11:54:19,AAPL,SELL,75,182.68,PARTIAL,BROKER_C
TRD5085,SIG1100,2024-08-15,13:27:10,MSFT,BUY,2000,340.48,FILLED,BROKER_B
TRD5117,SIG1136,2024-10-10,8:54:47,MSFT,SELL,50,374.33,PARTIAL,BROKER_C
TRD5038,SIG1044,2024-04-23,14:53:48,GOOGL,BUY,200,160.69,FILLED,EXCHANGE_DIRECT
TRD5118,SIG1137,2024-10-16,10:17:05,AMZN,SELL,1500,193.25,PARTIAL,BROKER_A
TRD5150,NONE,2024-07-15,11:52:42,AAPL,SELL,100,164.04,FILLED,BROKER_A
TRD5075,SIG1088,2024-07-18,10:20:12,AAPL,BUY,125,164.11,PARTIAL,EXCHANGE_DIRECT
TRD5161,NONE,2024-11-20,13:33:50,META,SELL,100,496.28,FILLED,BROKER_A
TRD5002,SIG1002,2024-02-13,12:52:43,AMZN,BUY,75,150.39,PARTIAL,BROKER_B
TRD5108,SIG1126,2024-09-24,13:52:46,GOOGL,SELL,125,126.46,PARTIAL,BROKER_C
TRD5046,SIG1054,2024-05-08,9:52:44,GOOGL,BUY,1000,178.37,PARTIAL,EXCHANGE_DIRECT
TRD5162,SIG1173,2024-12-12,8:06:04,AMZN,BUY,500,205.09,FILLED,BROKER_C
TRD5153,NONE,2024-06-24,12:02:16,GOOGL,SELL,200,146.3,FILLED,BROKER_B
TRD5109,SIG1127,2024-09-24,9:51:27,MSFT,BUY,1000,369.36,FILLED,BROKER_C
TRD5148,NONE,2024-04-25,12:44:35,GOOGL,SELL,500,155.97,FILLED,BROKER_A
TRD5026,SIG1030,2024-03-29,12:57:24,MSFT,SELL,100,389.5,FILLED,EXCHANGE_DIRECT
