date,symbol,open,high,low,close,volume
2024-01-02,AAPL,185.28,188.33,182.35,185.0,19595018
2024-01-02,GOOGL,139.91,142.57,139.28,140.0,34782763
2024-01-02,MSFT,375.09,382.35,369.11,375.0,7706405
2024-01-02,AMZN,155.04,158.74,151.67,155.0,36050220
2024-01-02,META,349.58,355.5,341.93,350.0,25266692
2024-01-03,AAPL,186.57,188.61,184.2,186.38,40795248
2024-01-03,GOOGL,139.95,141.06,137.33,139.71,11858720
2024-01-03,MSFT,379.39,387.55,373.26,378.64,42891498
2024-01-03,AMZN,158.55,161.31,154.86,158.54,38987168
2024-01-03,META,348.25,356.28,345.51,348.77,36893511
2024-01-04,AAPL,185.39,187.78,182.06,185.73,21206138
2024-01-04,GOOGL,142.79,146.43,141.04,143.03,18748593
2024-01-04,MSFT,382.8,388.3,377.99,382.96,28205574
2024-01-04,AMZN,157.71,159.8,156.64,157.45,43314123
2024-01-04,META,351.21,359.92,343.65,351.62,41785236
2024-01-05,AAPL,184.35,188.6,183.03,184.44,41266643
2024-01-05,GOOGL,142.21,143.63,138.73,142.05,23134108
2024-01-05,MSFT,383.82,391.58,377.37,384.32,48902459
2024-01-05,AMZN,153.09,156.28,149.58,153.0,43790651
2024-01-05,META,343.14,347.61,338.15,342.56,39416441
2024-01-08,AAPL,182.64,185.63,179.77,182.88,11586829
2024-01-08,GOOGL,139.85,140.81,136.49,139.92,11082483
2024-01-08,MSFT,386.81,392.26,383.9,386.09,24462404
2024-01-08,AMZN,150.78,153.17,148.44,150.89,9754910
2024-01-08,META,335.34,338.27,330.92,335.15,34259049
2024-01-09,AAPL,186.69,188.11,185.2,186.95,25691019
2024-01-09,GOOGL,139.2,142.92,136.12,139.45,36276585
2024-01-09,MSFT,387.22,390.25,377.91,386.47,10462322
2024-01-09,AMZN,147.46,148.62,145.93,147.58,7803130
2024-01-09,META,332.3,340.58,329.39,332.29,32684874
2024-01-10,AAPL,187.11,190.53,184.55,187.26,24173752
2024-01-10,GOOGL,136.83,140.14,134.84,137.03,13758013
2024-01-10,MSFT,388.37,393.74,385.3,388.58,38012647
2024-01-10,AMZN,146.34,146.94,143.74,146.18,26660486
2024-01-10,META,330.12,334.13,327.52,330.76,11169936
2024-01-11,AAPL,185.62,187.32,181.0,185.59,15854065
2024-01-11,GOOGL,141.19,143.88,140.1,140.92,26953431
2024-01-11,MSFT,387.89,394.7,382.32,388.5,42996068
2024-01-11,AMZN,143.49,145.84,140.56,143.72,19610416
2024-01-11,META,335.4,339.95,329.22,335.08,22751432
2024-01-12,AAPL,182.17,185.97,180.9,182.2,47990060
2024-01-12,GOOGL,141.52,142.96,139.77,141.36,24692140
2024-01-12,MSFT,377.11,385.72,368.33,377.48,45579289
2024-01-12,AMZN,140.61,143.13,138.97,140.63,45280298
2024-01-12,META,336.29,341.92,328.16,336.11,28328360
2024-01-15,AAPL,183.99,187.89,181.53,184.25,35610250
2024-01-15,GOOGL,141.46,142.67,140.21,141.72,8243795
2024-01-15,MSFT,376.18,378.81,374.62,376.83,38187876
2024-01-15,AMZN,139.85,141.46,137.41,139.93,39859408
2024-01-15,META,328.56,331.21,321.28,328.35,9427804
2024-01-16,AAPL,182.37,185.95,178.66,182.25,5942523
2024-01-16,GOOGL,140.51,144.18,138.06,140.75,39615041
2024-01-16,MSFT,382.97,387.62,374.79,382.78,10462388
2024-01-16,AMZN,140.79,143.61,139.02,140.73,28863595
2024-01-16,META,318.51,326.87,316.21,319.09,18176991
2024-01-17,AAPL,183.5,186.27,180.7,183.15,38663293
2024-01-17,GOOGL,140.11,142.48,136.8,139.94,20222037
2024-01-17,MSFT,379.62,382.57,372.32,378.97,24443459
2024-01-17,AMZN,142.12,144.6,141.28,142.15,15831172
2024-01-17,META,324.01,327.4,322.14,324.5,34061486
2024-01-18,AAPL,185.57,189.69,184.29,185.73,43093145
2024-01-18,GOOGL,138.41,139.57,136.81,138.18,25724277
2024-01-18,MSFT,377.75,384.61,373.66,377.23,34527282
2024-01-18,AMZN,142.74,145.19,142.16,142.92,47182462
2024-01-18,META,329.02,332.35,322.25,329.62,37669095
2024-01-19,AAPL,184.63,186.11,181.66,184.4,42831636
2024-01-19,GOOGL,137.92,139.97,135.97,137.79,27876224
2024-01-19,MSFT,370.71,377.06,366.85,371.01,44299531
2024-01-19,AMZN,140.22,142.97,137.09,140.14,25770086
2024-01-19,META,333.23,337.21,330.39,333.89,49631447
2024-01-22,AAPL,187.86,190.61,186.47,188.16,14181603
2024-01-22,GOOGL,137.67,140.35,135.89,137.64,13461113
2024-01-22,MSFT,376.43,384.44,371.41,376.65,5235332
2024-01-22,AMZN,141.13,141.78,139.56,140.98,14111625
2024-01-22,META,331.11,334.58,324.4,330.5,11699962
2024-01-23,AAPL,189.01,193.42,188.2,189.16,21573928
2024-01-23,GOOGL,140.84,143.61,139.85,140.87,31686995
2024-01-23,MSFT,376.29,381.44,372.28,376.45,5144821
2024-01-23,AMZN,144.69,146.37,143.3,144.62,9184578
2024-01-23,META,316.86,321.38,312.9,316.75,7918411
2024-01-24,AAPL,191.5,194.55,188.8,191.44,32156944
2024-01-24,GOOGL,141.15,144.03,138.28,141.05,42127223
2024-01-24,MSFT,374.77,377.22,365.84,374.77,20040724
2024-01-24,AMZN,145.0,147.6,143.49,144.83,28277107
2024-01-24,META,306.25,308.75,300.67,306.32,24530871
2024-01-25,AAPL,190.52,192.63,188.34,190.83,38104840
2024-01-25,GOOGL,142.08,145.16,140.08,141.8,23956162
2024-01-25,MSFT,383.29,391.01,374.41,383.08,23445720
2024-01-25,AMZN,143.83,145.45,141.68,143.63,31449621
2024-01-25,META,301.7,305.78,296.55,302.08,6178851
2024-01-26,AAPL,189.08,193.54,185.74,189.44,28313544
2024-01-26,GOOGL,143.6,147.14,140.87,143.72,24334556
2024-01-26,MSFT,385.5,393.34,376.74,384.93,41118948
2024-01-26,AMZN,142.38,144.49,139.22,142.4,8627068
2024-01-26,META,305.05,309.32,299.81,304.77,37827870
2024-01-29,AAPL,189.91,191.26,187.28,189.71,11090933
2024-01-29,GOOGL,145.9,148.39,144.89,145.75,8103110
2024-01-29,MSFT,380.3,385.04,373.45,380.98,16114045
2024-01-29,AMZN,141.87,143.06,138.87,141.64,39172921
2024-01-29,META,302.65,308.93,295.54,302.71,26940703
2024-01-30,AAPL,185.3,186.81,184.37,185.65,11266041
2024-01-30,GOOGL,146.39,148.31,143.73,146.37,45492500
2024-01-30,MSFT,381.72,389.44,380.26,382.45,30207568
2024-01-30,AMZN,141.9,142.51,139.3,141.65,16707100
2024-01-30,META,301.76,308.9,295.49,301.48,34437857
2024-01-31,AAPL,181.5,184.68,178.86,181.72,48740239
2024-01-31,GOOGL,145.55,147.23,142.18,145.49,11806107
2024-01-31,MSFT,380.1,384.33,377.48,380.52,30255025
2024-01-31,AMZN,139.79,140.8,138.69,139.78,37526643
2024-01-31,META,300.11,306.39,296.38,300.63,8677640
2024-02-01,AAPL,182.81,185.53,178.88,182.84,47556416
2024-02-01,GOOGL,149.66,152.2,147.1,149.45,23529449
2024-02-01,MSFT,381.73,387.57,372.44,381.5,28062619
2024-02-01,AMZN,140.55,142.37,137.02,140.38,40382518
2024-02-01,META,299.88,303.29,293.72,300.24,19859677
2024-02-02,AAPL,177.7,180.25,173.81,177.52,44502353
2024-02-02,GOOGL,149.62,152.74,146.37,149.39,25305770
2024-02-02,MSFT,382.58,389.64,372.5,381.84,7934206
2024-02-02,AMZN,146.09,149.5,144.03,146.11,27401562
2024-02-02,META,298.76,304.66,296.67,299.23,22118900
2024-02-05,AAPL,178.56,182.69,174.63,178.36,28549833
2024-02-05,GOOGL,149.19,152.43,147.31,149.32,33556208
2024-02-05,MSFT,375.72,380.12,372.76,375.27,28986299
2024-02-05,AMZN,148.57,151.58,147.41,148.77,19254275
2024-02-05,META,303.61,310.19,297.28,303.18,49258466
2024-02-06,AAPL,180.3,182.19,176.71,180.56,45229536
2024-02-06,GOOGL,147.5,148.6,145.02,147.41,32688411
2024-02-06,MSFT,382.52,391.84,379.74,383.16,27734304
2024-02-06,AMZN,145.78,147.45,144.74,145.51,35056399
2024-02-06,META,306.42,308.81,304.01,306.26,24237035
2024-02-07,AAPL,186.39,187.62,184.06,186.64,28732982
2024-02-07,GOOGL,145.46,148.64,141.93,145.33,37917342
2024-02-07,MSFT,379.49,388.39,376.7,379.97,29335718
2024-02-07,AMZN,145.86,147.38,143.47,145.74,41973660
2024-02-07,META,303.57,307.31,299.03,303.62,42271216
2024-02-08,AAPL,182.22,183.89,180.38,182.34,42169019
2024-02-08,GOOGL,145.24,146.9,142.25,145.47,20657363
2024-02-08,MSFT,373.92,381.46,369.51,373.99,32941785
2024-02-08,AMZN,146.75,150.05,144.55,146.84,49059722
2024-02-08,META,298.95,301.04,295.36,298.79,19629680
2024-02-09,AAPL,186.78,187.83,182.63,186.64,43508176
2024-02-09,GOOGL,143.67,146.96,141.04,143.83,33929685
2024-02-09,MSFT,372.47,377.86,365.15,372.18,14568996
2024-02-09,AMZN,148.45,150.38,146.95,148.73,47223716
2024-02-09,META,292.76,298.27,289.63,292.33,34924320
2024-02-12,AAPL,187.09,191.6,185.1,187.27,30219828
2024-02-12,GOOGL,146.34,148.61,144.26,146.57,43905362
2024-02-12,MSFT,363.21,367.72,361.16,363.14,9982426
2024-02-12,AMZN,149.11,150.03,147.64,149.16,46313444
2024-02-12,META,293.43,300.2,288.06,293.69,45984657
2024-02-13,AAPL,189.63,193.44,184.77,189.44,48326466
2024-02-13,GOOGL,144.1,145.57,142.76,143.97,17668453
2024-02-13,MSFT,356.24,358.29,351.82,355.71,29331431
2024-02-13,AMZN,150.13,151.85,146.65,150.37,26094558
2024-02-13,META,295.02,300.26,289.62,295.25,18496360
2024-02-14,AAPL,190.32,191.27,188.82,190.14,43351874
2024-02-14,GOOGL,144.8,147.14,143.66,144.7,13339858
2024-02-14,MSFT,351.29,355.32,348.67,351.88,6560162
2024-02-14,AMZN,150.96,154.67,149.72,150.91,28465056
2024-02-14,META,296.27,303.21,292.93,296.79,10171984
2024-02-15,AAPL,187.85,192.52,185.97,188.16,42317905
2024-02-15,GOOGL,148.85,151.06,146.44,148.62,24369233
2024-02-15,MSFT,354.29,359.4,351.17,354.55,32086554
2024-02-15,AMZN,148.37,150.19,146.24,148.14,33408839
2024-02-15,META,300.35,305.96,294.16,300.24,28056369
2024-02-16,AAPL,185.17,187.81,182.63,185.46,34350091
2024-02-16,GOOGL,150.54,152.83,148.75,150.27,27781972
2024-02-16,MSFT,361.26,363.39,353.88,361.07,21283389
2024-02-16,AMZN,146.21,147.09,142.98,146.23,17456643
2024-02-16,META,305.88,308.85,300.61,305.3,13824397
2024-02-19,AAPL,186.69,188.59,182.72,186.61,28245768
