report_date,symbol,reported_position,avg_cost,market_value
2024-02-13,AAPL,0,189.23,0.0
2024-02-13,GOOGL,-150,134.25,-21595.5
2024-02-13,MSFT,25,390.5,8892.75
2024-02-13,AMZN,75,154.76,11277.75
2024-02-13,META,0,345.59,0.0
2024-02-20,AAPL,-75,176.96,-13810.5
2024-02-20,GOOGL,-1150,138.65,-172833.5
2024-02-20,MSFT,25,375.91,9282.75
2024-02-20,AMZN,150,149.94,21967.5
2024-02-20,META,0,339.53,0.0
2024-02-27,AAPL,1125,184.19,213738.75
2024-02-27,GOOGL,-150,142.86,-22417.5
2024-02-27,MSFT,-975,387.13,-365742.0
2024-02-27,AMZN,500,157.1,71110.0
2024-02-27,META,100,333.57,30286.0
2024-03-05,AAPL,1625,186.74,322546.25
2024-03-05,GOOGL,-150,145.19,-22282.5
2024-03-05,MSFT,-1025,369.37,-401800.0
2024-03-05,AMZN,500,161.11,71250.0
2024-03-05,META,-275,356.61,-85841.25
2024-03-12,AAPL,1625,182.9,321928.75
2024-03-12,GOOGL,-150,141.01,-21546.0
2024-03-12,MSFT,975,388.39,376759.5
2024-03-12,AMZN,500,157.75,71950.0
2024-03-12,META,-125,346.83,-40911.25
2024-03-19,AAPL,175,184.52,33467.0
2024-03-19,GOOGL,-150,135.42,-22276.5
2024-03-19,MSFT,1100,364.64,412115.0
2024-03-19,AMZN,500,161.87,71975.0
2024-03-19,META,-625,357.33,-198493.75
2024-03-26,AAPL,2175,192.32,402201.0
2024-03-26,GOOGL,-2150,139.43,-324327.5
2024-03-26,MSFT,1150,367.58,439196.5
2024-03-26,AMZN,2000,156.92,291500.0
2024-03-26,META,-625,332.76,-205425.0
2024-04-02,AAPL,2175,193.63,397329.0
2024-04-02,GOOGL,-3150,140.86,-495621.0
2024-04-02,MSFT,1350,366.85,514444.5
2024-04-02,AMZN,2000,154.72,311880.0
2024-04-02,META,-625,342.18,-205250.0
2024-04-09,AAPL,2425,180.87,429782.75
2024-04-09,GOOGL,-4250,146.33,-652927.5
2024-04-09,MSFT,1350,363.31,509760.0
2024-04-09,AMZN,1900,150.97,292467.0
2024-04-09,META,375,346.64,123851.25
2024-04-16,AAPL,2050,178.34,360205.5
2024-04-16,GOOGL,-4150,146.96,-669934.5
2024-04-16,MSFT,675,371.95,262183.5
2024-04-16,AMZN,1925,147.8,303572.5
2024-04-16,META,-625,352.52,-210431.25
2024-04-23,AAPL,1800,189.19,302184.0
2024-04-23,GOOGL,-4450,140.48,-712667.5
2024-04-23,MSFT,675,390.24,262062.0
2024-04-23,AMZN,1925,155.11,322957.25
2024-04-23,META,-1125,361.92,-380385.0
2024-04-30,AAPL,2800,179.1,478240.0
2024-04-30,GOOGL,-4950,134.79,-798138.0
2024-04-30,MSFT,675,386.56,255210.75
2024-04-30,AMZN,2025,150.09,356663.25
2024-04-30,META,-1125,344.25,-386932.5
2024-05-07,AAPL,2800,182.32,488488.0
2024-05-07,GOOGL,-5950,137.3,-946347.5
2024-05-07,MSFT,175,368.67,62256.25
2024-05-07,AMZN,1275,151.81,222997.5
2024-05-07,META,-1625,348.97,-536087.5
2024-05-14,AAPL,2800,186.55,493276.0
2024-05-14,GOOGL,-4950,134.0,-778981.5
2024-05-14,MSFT,200,375.02,67238.0
2024-05-14,AMZN,500,153.17,88615.0
2024-05-14,META,-2525,334.39,-822796.5
2024-05-21,AAPL,2700,178.29,466182.0
2024-05-21,GOOGL,-4950,138.73,-772893.0
2024-05-21,MSFT,100,390.25,32219.0
2024-05-21,AMZN,500,152.15,92370.0
2024-05-21,META,-2525,359.76,-841178.5
2024-05-28,AAPL,2700,187.42,464670.0
2024-05-28,GOOGL,-4950,141.88,-796900.5
2024-05-28,MSFT,100,364.1,29889.0
2024-05-28,AMZN,1500,156.18,278415.0
2024-05-28,META,-2825,359.98,-910384.5
2024-06-04,AAPL,2700,178.14,456570.0
2024-06-04,GOOGL,-4950,139.01,-747994.5
2024-06-04,MSFT,1900,374.15,567093.0
2024-06-04,AMZN,2500,150.34,474850.0
2024-06-04,META,-2825,332.99,-833120.75
2024-06-11,AAPL,700,191.16,117544.0
2024-06-11,GOOGL,-4900,142.47,-751464.0
2024-06-11,MSFT,1900,365.58,576992.0
2024-06-11,AMZN,2100,152.59,390243.0
2024-06-11,META,-2825,345.92,-856766.0
2024-06-18,AAPL,1200,178.84,194628.0
2024-06-18,GOOGL,-4900,137.17,-737205.0
2024-06-18,MSFT,1900,383.54,577562.0
2024-06-18,AMZN,2100,152.49,397635.0
