signal_id,date,symbol,signal_type,target_quantity,limit_price,valid_from,valid_until,priority
SIG1000,2024-02-13,GOOGL,SELL,200,143.6,09:30:00,16:00:00,LOW
SIG1001,2024-02-13,MSFT,BUY,100,356.03,09:30:00,16:00:00,HIGH
SIG1002,2024-02-13,AMZN,BUY,100,150.38,09:30:00,16:00:00,LOW
SIG1003,2024-02-15,AAPL,BUY,500,188.53,09:30:00,16:00:00,MEDIUM
SIG1004,2024-02-15,META,BUY,500,299.82,09:30:00,16:00:00,LOW
SIG1005,2024-02-16,GOOGL,SELL,1000,150.32,09:30:00,16:00:00,HIGH
SIG1006,2024-02-19,AMZN,BUY,100,146.06,09:30:00,16:00:00,HIGH
SIG1007,2024-02-21,AMZN,BUY,200,145.88,09:30:00,16:00:00,HIGH
SIG1008,2024-02-23,GOOGL,BUY,1000,149.97,09:30:00,16:00:00,MEDIUM
SIG1009,2024-02-23,MSFT,SELL,1000,371.99,09:30:00,16:00:00,MEDIUM
SIG1010,2024-02-26,AAPL,BUY,2000,188.44,09:30:00,16:00:00,LOW
SIG1011,2024-02-27,AMZN,BUY,200,142.73,09:30:00,16:00:00,LOW
SIG1012,2024-02-29,META,SELL,500,316.71,09:30:00,16:00:00,HIGH
SIG1013,2024-03-01,MSFT,SELL,200,391.31,09:30:00,16:00:00,LOW
SIG1014,2024-03-05,AMZN,SELL,100,142.48,09:30:00,16:00:00,MEDIUM
SIG1015,2024-03-06,MSFT,BUY,1000,384.34,09:30:00,16:00:00,HIGH
SIG1016,2024-03-07,AAPL,SELL,200,200.37,09:30:00,16:00:00,MEDIUM
SIG1017,2024-03-11,META,BUY,200,325.45,09:30:00,16:00:00,LOW
SIG1018,2024-03-12,GOOGL,BUY,100,143.25,09:30:00,16:00:00,MEDIUM
SIG1019,2024-03-12,MSFT,BUY,1000,385.56,09:30:00,16:00:00,HIGH
SIG1020,2024-03-14,AAPL,SELL,1000,192.99,09:30:00,16:00:00,MEDIUM
SIG1021,2024-03-14,MSFT,BUY,500,392.65,09:30:00,16:00:00,HIGH
SIG1022,2024-03-18,AMZN,BUY,200,144.61,09:30:00,16:00:00,HIGH
SIG1023,2024-03-19,META,SELL,1000,316.84,09:30:00,16:00:00,MEDIUM
SIG1024,2024-03-22,GOOGL,SELL,2000,150.0,09:30:00,16:00:00,HIGH
SIG1025,2024-03-22,MSFT,BUY,100,384.85,09:30:00,16:00:00,LOW
SIG1026,2024-03-22,AMZN,BUY,2000,141.74,09:30:00,16:00:00,HIGH
